file_id,data_format,data_type,sample_type,tissue_type,created_datetime,updated_datetime,case_id
ac728bb8-2b0c-4a0a-9c80-23e0fb768393,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:16:19.205415-06:00,2024-07-30T09:13:15.356860-05:00,e7e95597-ef88-4442-8c01-8d633822e7b5
a6f08f65-910e-446e-b568-fe0159eb4bce,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:08:47.218083-05:00,2024-07-29T14:17:54.966036-05:00,e7e95597-ef88-4442-8c01-8d633822e7b5
d3cd5fe0-d0b7-4ddd-b6f0-5e4ba9d1f199,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:29:44.359578-05:00,2024-07-29T17:10:54.435236-05:00,06f936e9-5a90-40d3-b91a-713f2b4e6e11
58508378-0fc5-45f9-bf10-1cb171c3e662,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:00:12.510785-06:00,2024-07-30T09:09:30.048315-05:00,06f936e9-5a90-40d3-b91a-713f2b4e6e11
1f8056d2-b99e-4a81-bb13-999bda6719d6,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:13:43.935982-06:00,2024-07-30T09:03:56.623052-05:00,ebedab7c-dd7c-448e-8324-78c86f13be8b
7743da8d-3be6-446f-9ac1-3bf15433e839,TXT,Isoform Expression Quantification,Solid Tissue Normal,Normal,2018-03-20T11:29:44.359578-05:00,2024-07-29T17:03:05.248170-05:00,ebedab7c-dd7c-448e-8324-78c86f13be8b
0a37dfe6-d225-4003-a914-aeaf66a54f6c,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:20:51.233296-05:00,2024-07-29T16:55:05.715368-05:00,ebedab7c-dd7c-448e-8324-78c86f13be8b
369d20fb-7c1a-4386-8732-c1c5bce0a344,TSV,Gene Expression Quantification,Solid Tissue Normal,Normal,2021-12-13T18:16:48.554689-06:00,2024-07-30T09:01:59.548092-05:00,ebedab7c-dd7c-448e-8324-78c86f13be8b
7523828a-8a62-4d05-bb1d-8015e7622736,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:10:35.037680-06:00,2024-07-30T09:13:05.287403-05:00,1029514b-a32c-4c43-a440-a5ba2709f717
0b00ec44-e713-4b76-847e-78c1ee37ccc5,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:10:33.757547-05:00,2024-07-29T16:55:12.951905-05:00,1029514b-a32c-4c43-a440-a5ba2709f717
14d0f6a4-e201-49a1-aa16-4343e98fa957,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:20:51.233296-05:00,2024-07-29T17:31:43.296695-05:00,f3104468-bf17-434b-8a7e-bc3b253121ea
4f21ab62-06c5-4b62-b709-2134ef0247d5,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:54:00.305360-06:00,2024-07-30T09:10:57.955023-05:00,f3104468-bf17-434b-8a7e-bc3b253121ea
7fbd92f1-242f-4829-8e4f-7c8335251223,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:10:33.757547-05:00,2024-07-29T17:03:52.433222-05:00,17ee3278-dc2a-4021-a903-e4ed11e3218b
5bd14c65-859a-4e3c-ba5b-225ecb2a8f56,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:58:06.133627-06:00,2024-07-30T09:12:30.233743-05:00,17ee3278-dc2a-4021-a903-e4ed11e3218b
a422753c-ed27-46a4-a96f-fa2e3d301a2f,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:55:22.639926-06:00,2024-07-30T09:10:11.208805-05:00,19da59a8-b67a-438d-900a-92a71e03bef3
84ac1fe9-e761-4548-910c-c05d3d351a11,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:08:47.218083-05:00,2024-07-29T17:04:01.325635-05:00,19da59a8-b67a-438d-900a-92a71e03bef3
fd5c6054-a277-425a-9f78-bb1135fde6d3,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:08:45.057202-06:00,2024-07-30T09:17:25.057045-05:00,1c28f311-e0b0-4292-b29a-c6757665a4a4
