accession_id,0961f723-1c0b-4a2a-8a86-861bf407085b,5359d1b9-dfba-4f3e-b0c4-7fbf51dfb72c,f83b6eb6-444b-4fe0-9f53-3f152537500d,95434759-f95d-4e7a-bc24-c8d8a2dc6d2c,e6a87bcc-c44d-4a20-8f52-e9c4f2923246,6ede932d-8018-4760-8001-179f8bfd3861,5cc5f8c9-a224-4d70-b406-89f0d35cd711,f9b78f39-e96f-4ca4-9149-5c19c68b0d5e,22a58527-ff76-4eb6-a212-a7600e6d8963,a8ae4c3f-e77d-4664-b9ae-278d0b6e4e81,e4617ffc-d0b4-4ebd-88fc-0b5e9d2eefbf,5cf76542-49f0-4d0c-8427-437c55f51f61,bf63f154-6eb1-4a9e-a683-3aa4cdbb7125,4d85e3a8-263a-4f3a-8b40-0aa1f20944d3,0a4647df-3e2f-445a-88a5-01c2e6a811c8,e70cc642-063e-4ea4-8fcc-9f5cfe3ce9a9,080fe4c3-1515-46fa-95b9-46e630d31b6c,1ffe7970-0f26-4dbb-a868-82f62c81ceca,f697950a-6bbf-430c-98f2-ee7e61840a5f,597d6fb5-0322-4689-99c7-50fa624944b9,448acb1c-e015-4b7d-9afa-2f7a711ec5a4,acd05696-1ab3-4e43-8520-2a141acb9e25,e0aeb03a-23d3-4013-b7e1-c120e03f10df,cd88f5a8-72ec-466b-9c0c-cd829a3d3624,f6bfc040-7f92-4499-b5b3-68615c2e7b33,003bb8e8-01b8-4c6a-82b6-d0b003d5143b,809f13dc-caad-4bde-9b5e-606e5d229d42,841108cf-9214-42f6-bd8d-1cd80c14e943,8f45a07f-25c0-4820-b3b9-e2e0bbc54940,2f539f92-b73d-4e77-ba07-f94b1fb254f6,c37cdc8b-c959-47cf-8475-85b3dc948a60,ed578987-fae3-426c-9435-c72ab01d4b82,d8f4fee7-bb7b-48d1-8d15-7ee33cc5f339,efa0d6a5-c470-4963-b530-641084d80e4b,2355503e-8013-4092-9733-eabd4ca15ce6,0983589f-38ab-4ffe-aa77-0936d573b23a,ae89d22f-6bff-493e-8ec8-59987ccc1785,e7b54d74-6e25-460a-bee5-d07b4d410773,97911982-e3ec-49cd-b7e3-3fd0b5e7cd43,f7361347-012a-4bcc-8fac-5e649cb43430,c0f81986-03c5-494e-9a43-27e1d6ae140d,44877412-0b2c-4dbf-a414-94ef673887f6,e6c86b12-3456-4c01-b1f3-bb0c385e7c63,bcb36504-3626-47e9-bf05-de36428737c4,dab318b3-2e82-4f0b-92db-3a4b7e98bcec,a9a3d49c-6d6d-4989-b3ec-c0679684621a,8eb51180-16da-4fd3-9054-92d6f9f88da1,7d31346d-1d85-4ffd-ab8d-0f8cec91f81b,9042f38b-948f-4f8d-a1e1-8f7050550500,4af362e9-6809-4f30-a59c-49627ab987c2,9829840b-4803-4e25-8325-a74a2ca16dc2,d0f845cb-f147-4d1b-9759-b842c3894b95,807ab4ca-7f1c-4df0-a657-00f77d5b8eb1,563757fe-ab75-4fed-bda6-014e6e2ddb53,6874f5d8-0d77-46df-89a7-51e7b1351075,f4c820c4-0ed2-4e06-9bc4-24f0259fa80a,d883c427-a678-4ff1-b7de-49ba0d305b2f,2a86ab10-4cd3-47d3-8f09-f92165a6da71,60f0ab3d-cce7-44c8-b56e-dc96f5c44a9b,989c8235-bae1-4452-a4cd-156b600f8233,a473ce1d-15e1-4ca2-bcba-fa36367a7f0d,59cab2cc-e8c4-42c3-a47c-1056cc7fd1af,dc77fc58-c2e0-40b8-940d-b5e7ad227d92,d3beada8-7594-46d9-8e60-7c5637ba157c,90825e80-0e8b-4430-89d2-207cf4be6619,0563f81d-6fe3-4648-be83-ffcfb27df35f,dafd5e8a-1a86-42fb-88e2-92fd09d596da,813b35dc-d0ed-43f0-93f7-abb9bb6f197a,187a4656-8ce6-4df5-82fa-93a0a6bf9248,4cb946b2-4aec-4300-9c26-0fc36d0b95d0,5338c9ca-40ab-4fa9-9b55-dccb572321ca,fe9a6609-5a92-436b-8d60-140e4cd7dc9b,244aedc7-2e00-4543-a9de-c1e4ae0c92bf,c4393731-c0be-451e-a40d-b73b3754de1a,f084f7fb-d15c-43bb-bb99-f056b771fa62,193602bb-7069-4a72-8131-804a0bd923f5,a3ee5904-e876-4ee4-a9b0-ff5d0b3d275f,0bc59ba8-158b-4309-b4d5-bb541f892fbf,3f7848d9-ee82-4648-92d8-e0188275abf4,5fab925b-4cc8-4126-8fb9-8f7655f7bde1,54f6fcc7-e68d-42dc-b1c9-90fa90b083b6,8a37c9f4-a187-4536-9c29-41a3aecba27d,8dbb8398-24b8-4204-bd68-97b22c3353a0,5a79be00-de6f-44ab-a0ac-29ec7bbd2087,118c6c30-50e6-47e2-8a1e-2f0af7b992ef,740e84ea-f42a-4e1c-99bd-39f35627be12,d2d4e49b-9070-4123-a0a1-26c1ae412f90
MIMAT0000062,47203.619106,34113.267388,20151.3959,39048.494316,13744.344501000001,19929.142465,26947.180685,16952.773275,16926.217651,29492.822530999998,12346.031078,27070.081850000002,14708.402868,29138.407825,27519.255452999998,23444.011081,14424.051032000001,20971.152224999998,31719.339537,24642.793976,22634.492048,38684.843211,16577.869384,33975.216371,13552.977189000001,11368.652848,30965.575402000002,69735.314663,23455.610809,56261.432706,33950.610998,50049.856249000004,24349.789688,16791.232198,24948.490560000002,8366.300696,20219.166489,20224.012785,18173.317868,32642.039713,19561.893122999998,13606.071302,85291.610326,34667.731932,16618.005087999998,16409.095007,13156.910635999999,35594.682244999996,15602.806322999999,18851.943836,31382.52664,29476.93472,25558.088859,30373.083049,36746.893033,23294.592233,11182.821784,37318.371199,30577.157094,24021.841657,19676.811614,16682.48001,21022.916806999998,17704.213912,26219.033969,23427.688706,36067.417159,43373.138376,10262.995255,23675.069602,38540.295198,27344.542911,23581.48073,13424.641381000001,36884.403185,21894.870481,24042.776002,26489.421077,19392.008713,33565.565703,26376.180174999998,14471.782204,15647.255996,17824.986102000003,22048.672126999998,28051.84435,15553.368251
MIMAT0000063,44226.48627,18967.999927999997,23865.539337000002,29848.559887,18232.475514,33958.088836,17090.933109,28824.284048,15564.777016,12088.587835,19979.394153,14372.895561,28128.765375,16257.541654,22870.686857,36679.68412,13423.787865,29492.534947,26016.764006999998,20140.787292,18892.534202,15060.884485,14841.832503,25766.411640000002,15902.888547000002,11651.164728000002,17273.217043,46417.647731000005,10994.79705,53436.130878,22311.927497999997,54908.493821,53226.541465999995,18943.710404,44736.793465,6656.786907000001,10878.231941,18971.53601,19607.566918999997,22431.637397,17396.343352,32261.288881,35979.435191,21944.73165,24790.001212,19687.780688,9235.987692,40232.54357,14127.592753,29583.110661,20581.348805,11588.112293,73323.100741,21536.031186,21349.647699999998,16963.463467,12456.754252,45445.129825,24073.278455,13833.962582999999,11515.936381000001,28097.809675,16603.238027,10921.090537,27485.108188000002,26597.342416,26096.599691,40461.295862,7054.410027,56500.264317999994,35759.99414,7926.714363,19823.577403,10658.127529,23211.973287,30658.565935,40626.08326200001,30582.02936,32638.797145,14136.322963999999,16171.567367,9808.259422,11170.621439,11319.562962,55349.948544,21144.827882999998,22802.223128
MIMAT0000064,244.524699,4058.9809600000003,2868.103948,3280.272327,6207.287520000001,1851.4567020000002,6489.088522,1740.972135,2726.562082,2311.969583,814.115007,6929.496188,1896.299542,893.825862,902.841145,4824.264335,2718.9924250000004,2584.782983,4636.011634,1806.573673,2975.683941,2719.203631,2782.7901460000003,4693.332455,563.568861,10501.942215000001,2118.817497,356.032453,3659.461324,584.023477,3371.916999,8117.6055320000005,8279.511492000001,3709.918934,855.291506,1591.8822699999998,1723.7813689999998,2470.560589,2438.839715,2625.468855,2157.04716,1988.831156,1038.799923,2817.934018,2755.869704,2560.6300029999998,1951.04523,1016.7155750000001,6467.641719,743.905074,7348.836701,1374.2542080000003,1760.225474,1473.457454,2000.5626479999999,2145.609302,1704.884641,4603.07312,1274.19616,864.8559859999999,5027.663124,4274.3578959999995,3231.811643,1078.397993,2269.770278,2950.095121,1331.602955,1033.457117,3020.691497,1204.740006,1348.081414,1642.03272,2516.826434,8357.321725,1106.602731,1738.545108,837.016166,5692.700543,3087.5660669999997,893.414832,966.1119679999999,1654.3372080000001,2504.695533,3789.777733,2088.144487,4128.726318,2354.167968
MIMAT0000065,452.99539,412.347825,421.514333,524.913328,319.399172,336.628491,966.055933,479.79547,346.916606,874.955904,362.442161,728.445288,461.349123,707.80919,707.579998,466.64769700000005,303.921637,604.190147,286.951517,477.98928399999994,300.39192099999997,388.828965,137.685684,647.7819420000001,298.520718,296.999662,1148.882623,160.805998,466.78812,482.651527,809.280421,168.580003,429.473547,408.976802,450.752134,312.39846,455.451249,353.483147,379.472895,365.170478,442.135803,232.606367,263.431702,450.23028500000004,332.89646799999997,653.6482390000001,232.98471800000002,509.160882,418.972398,306.41270399999996,1062.68061,450.927163,413.870964,256.449711,411.192791,314.184448,478.262292,409.808993,707.09771,668.2412439999999,96.825,214.015139,494.396639,586.186338,344.335761,122.29485400000002,625.642023,139.74757599999998,594.8635469999999,605.7732219999999,719.5376759999999,155.74132799999998,1061.594943,636.7373150000001,244.865286,712.3114909999999,838.223982,412.620012,420.427456,263.585122,176.458806,255.84473300000002,239.24713699999998,581.859378,320.830616,218.789506,239.877328
MIMAT0000066,1435.377833,1292.119809,1012.838725,1783.1358069999999,789.590387,273.165742,1676.974015,1021.278929,1020.045245,1110.353813,547.342858,2134.7295919999997,1284.174307,927.7187289999999,841.9428680000001,837.6158330000001,1122.530491,899.6679,1046.253356,1964.648868,1451.763568,955.438018,820.9829579999999,917.759678,795.14443,348.559146,2102.636053,1772.7199970000001,1693.173797,1325.9047679999999,2234.549915,888.9098299999999,1076.598843,483.876623,830.407714,126.30925400000001,1525.343291,827.341636,324.004699,1664.8236200000001,604.33947,468.015223,2666.520349,699.313846,718.2634810000001,1878.259534,992.7408839999999,1019.1248539999999,699.9188459999999,638.593211,1209.6354099999999,380.37393299999997,1280.112509,828.435145,277.366264,713.261124,621.4829229999999,1156.646688,959.197825,1423.590283,836.1138289999999,577.840872,1012.706052,1067.614014,1830.1018880000001,1302.3328999999999,903.939994,1333.661302,1822.9689309999999,1165.035769,1551.259659,1204.39959,3109.320826,1118.6238130000002,1232.1746699999999,858.169895,1074.9558260000001,1077.738841,577.464589,2023.158605,1988.690755,4052.881602,646.213915,1678.61454,901.306542,1081.156769,791.000438
MIMAT0000067,4281.502542,15610.517553,3249.875502,9797.219524,3688.3605709999997,2503.5594340000002,5440.463707,2865.0643800000003,3797.218508,13989.154308,2800.187662,5811.168731,2445.279222,18362.446385,5186.98671,3526.715158,3970.776946,3102.660253,6820.176178,4976.859552,3355.2914849999997,20062.638895,1626.5724870000001,13654.453189999998,2601.2972369999998,2066.6404110000003,7915.582352,8531.754872,9355.458169000001,15448.37923,15705.43209,7524.630902999999,3132.630567,4051.7236740000003,2910.692789,1801.112104,11498.649786,6598.670524,5538.895535,6947.819684,5882.499137,2154.177851,21785.22107,7277.939657,2861.393802,3202.9634300000002,2584.3547270000004,10200.082561000001,2836.87387,2473.1482739999997,4946.016047,4186.158278,3933.755737,8340.975538,9421.819049,7118.046377000001,2319.486094,3537.121863,13705.217356,5370.817891,2922.467998,2493.276361,3994.0313690000003,4577.799479,6844.028989,5902.3357670000005,10256.160953,7832.230499,5160.281344999999,3368.053746,8976.925867,6663.133075,6049.357539,3123.595219,9435.161717,3903.345074,2686.181751,3979.5156819999997,4200.120143,11082.652627,2695.408277,3999.07896,2994.288901,4282.050673,3209.09057,9639.192533,2262.974937
MIMAT0000068,207.39978100000002,179.722779,117.421848,237.170141,107.526814,171.993245,170.917588,98.24383300000001,119.626418,86.916149,289.769749,178.903882,281.577606,69.756251,317.057705,176.251826,229.396792,136.662059,159.880427,134.865744,189.803773,171.022365,100.912491,179.024868,209.032815,89.483399,451.176773,102.198194,164.130845,149.788404,186.170104,101.221616,219.59507299999999,168.821818,118.020277,141.73633900000002,168.552824,164.321896,102.13191499999999,77.013754,169.39818499999998,57.918051,206.764862,180.468089,177.233846,175.814839,104.923833,249.761883,141.941583,112.594064,50.447171000000004,283.235428,100.212258,144.022158,158.649188,156.05187899999999,151.392379,108.61058,169.926639,303.63289199999997,209.995456,247.306382,353.90907999999996,167.921973,289.12821,75.808506,63.409665,199.80375199999997,307.026349,190.58034,133.063051,139.648056,275.341626,194.141323,62.001148,141.939821,234.316216,153.40282399999998,131.279718,217.72294200000002,178.223396,142.219573,192.384296,248.85120999999998,118.44846600000001,126.561313,239.877328
MIMAT0000069,2265.6908909999997,1226.897837,959.246185,652.21789,1346.312048,1388.822465,1354.955371,739.113497,1363.281046,465.725697,1153.559571,955.104389,2761.0069759999997,723.573315,1869.480488,1740.6966280000001,1503.305877,884.419292,402.044593,1186.191262,632.940678,1010.019624,1776.230839,1507.924425,2436.666816,360.06415,2159.747038,469.128246,707.732201,1413.15525,1605.844306,389.79524599999996,2470.930377,2754.6489890000003,1921.73977,740.5000530000001,1528.929519,731.8056539999999,677.944616,673.22549,1145.236376,837.0092569999999,961.263106,1119.466116,2808.923256,2140.2410480000003,676.893244,994.228975,1779.6537899999998,1118.098283,1166.864986,1866.0817909999998,2071.619494,444.376061,1114.141796,1216.372378,859.753887,885.680088,876.009857,1470.877374,419.990915,3028.314206,1746.230449,1368.795167,1610.979127,422.668176,741.8930770000001,591.9713509999999,3372.492523,3075.376795,661.26416,400.25521000000003,1817.254742,1194.89362,557.22549,1198.215906,2688.597382,1712.065132,2641.381194,417.166297,803.769863,387.15328200000005,1097.5770690000002,1063.273357,1361.765152,737.488935,1026.91285
MIMAT0000070,1181.5719040000001,442.78474800000004,336.007138,976.582934,320.035426,1352.0324640000001,1408.6251450000002,1159.50572,407.189916,5138.193055000001,946.581179,769.072861,2255.8425709999997,949.000295,2978.215814,981.1351759999999,1046.841196,1580.676505,1140.515104,645.4737200000001,3461.1737569999996,272.388206,2879.426681,936.691043,2067.102265,347.706923,6574.426083,198.01730500000002,1071.446156,704.055935,844.886727,157.905723,581.052446,348.343613,760.0221290000001,4016.827094,1183.456002,2758.1239029999997,1192.125985,1127.201296,337.488274,415.70214400000003,181.333888,1671.209702,1413.20672,2550.18556,582.192758,3498.272548,3439.880884,1735.40506,2378.6937479999997,10202.610471,1197.451551,1872.288045,743.240862,848.089946,501.91735199999994,2004.257085,1664.266559,3015.174178,1697.681648,567.140117,2678.2308849999995,1423.485351,612.689995,460.572428,1548.6049189999999,2961.6208800000004,2552.1565,3243.2689989999994,666.250127,1621.267209,6920.252909,582.423969,434.79284900000005,1759.0088240000002,513.321604,750.7780720000001,735.3326050000001,2039.806086,3223.020109,296.478899,1144.43991,2334.676825,553.805413,504.56226300000003,1598.851763
MIMAT0000071,749.6377630000001,120.298311,140.90622,333.084538,181.96845199999998,412.967739,217.156163,365.558453,171.157796,1645.612434,166.502618,165.361357,407.224365,264.83729200000005,457.220408,338.235649,142.062986,547.799065,361.94428999999997,264.08594500000004,717.646495,77.45389899999999,1179.3078110000001,296.728575,418.74874300000005,97.579515,508.287756,209.313592,231.75275299999998,363.627743,271.116571,98.645067,206.963496,143.855212,317.80158400000005,507.16540000000003,420.784355,766.1986049999999,328.40693600000003,538.359299,183.78722000000002,217.659774,88.455556,549.86371,437.254554,535.277852,116.761394,1084.175377,487.495923,484.546602,199.595326,916.169471,463.127835,597.835567,321.975107,241.776376,156.983576,968.537643,452.461374,375.80792299999996,657.187212,117.708326,459.125295,365.885032,204.324857,150.901836,624.937471,1448.404646,557.2848,344.859665,391.086956,264.760255,913.726291,128.271945,401.04538700000006,734.516802,59.182961999999996,299.527416,287.485968,1246.112935,530.258715,79.76335800000001,226.91481000000002,368.29979399999996,127.077164,241.34165700000003,323.14052999999996
