file_id,case_id,tissue_type,sample_type,experimental_strategy,data_type,data_format
e9fe2319-2624-4ac1-9c41-d0ac44608f02,de75d0b9-0f47-4732-8df5-05c350cfcd32,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
17b9eed9-f422-4589-984d-800667aed1e7,de75d0b9-0f47-4732-8df5-05c350cfcd32,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
8437bf97-2354-40cf-8dc4-631c5d7ae63a,1fef9454-b3e8-4d9d-a9aa-aa1f1a32b80c,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
5478889a-c160-472a-9c42-791c2e4da271,1fef9454-b3e8-4d9d-a9aa-aa1f1a32b80c,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
70a0fb72-e7ca-4fe5-8eed-7377dfc26b0c,2021ed1f-dc75-4701-b8b8-1386466e4802,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
15f5f60a-13f0-41a2-8711-171d19c2903a,2021ed1f-dc75-4701-b8b8-1386466e4802,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
7882ff91-e415-48ae-9151-26b55f1cfc57,20e8106b-1290-4735-abe4-7621e08e3dc8,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
1d1d18b8-76d7-473e-bfc5-06d0a4f53a5d,20e8106b-1290-4735-abe4-7621e08e3dc8,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
cd925bc2-7870-4fbd-829e-8797bd839539,214a4507-d974-4b3e-8525-7408fccc6a0f,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
b4ac6e06-8760-4cb2-883c-c829eaefdc4c,214a4507-d974-4b3e-8525-7408fccc6a0f,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
edc9e931-6c62-4e0e-9c68-b6891ba007ac,2199b7a1-bd47-4bb5-b36a-a3e291e3e259,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
fdd73b76-517e-4554-ba4d-1c67b1b758f8,2199b7a1-bd47-4bb5-b36a-a3e291e3e259,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
0525bcb6-d206-46c8-b37d-b9b7cc90fef6,21ef1730-e5a7-47ce-b419-d000bb59ae15,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
24a2cd1a-ff32-4704-ae91-088c7a94de24,21ef1730-e5a7-47ce-b419-d000bb59ae15,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
ad18b7e0-57ec-41c5-99a1-0c9d8740e0f1,22eaba28-be67-4730-9846-860bc1fca29a,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
2a30b4b5-e925-469c-8555-9cc602ea4e1f,22eaba28-be67-4730-9846-860bc1fca29a,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
7076d394-c6a7-4e0e-b728-842fdaf4af34,233b02f3-c4f0-4a67-9db5-e68d5cdaccb6,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
1db8a1bb-fef2-4e06-9cd5-a1f6579573a5,233b02f3-c4f0-4a67-9db5-e68d5cdaccb6,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
502fcba1-9d3c-4117-86fb-70a26c090692,2399caeb-ead2-4003-af38-809db4ac2e2b,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
cd5d99fe-041b-44c2-a01b-d860e35620d8,2399caeb-ead2-4003-af38-809db4ac2e2b,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
054d6883-9f0f-451e-a26d-cf0ff741afa4,23dabeef-8e3c-44bc-9a12-a9522d17be5c,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
391a3465-d22e-424b-af09-3e6342159bbb,23dabeef-8e3c-44bc-9a12-a9522d17be5c,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
28ecd88f-6249-425c-99e1-9055989feff8,23e7a78a-1d56-4ad1-9bb4-72ec0178aff2,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
707a22be-e7f0-4d3e-91d4-deb6e30628c0,23e7a78a-1d56-4ad1-9bb4-72ec0178aff2,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
09385f52-e4ad-4ae0-9f09-91e8dd5fc953,a2db9dd1-44d5-48b5-817c-a21a85fadb21,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
2e5887ce-ef0e-4d35-bb09-f84e6a4aeb77,a2db9dd1-44d5-48b5-817c-a21a85fadb21,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
9c1ea2bf-d320-44f8-832d-a831d8689c6e,a32cb96a-78bf-456e-a6ab-2d47b2c67ad4,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
35fd75aa-21e8-49c0-8b40-159839c3cc19,a32cb96a-78bf-456e-a6ab-2d47b2c67ad4,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
a4fc84b0-29ff-4994-b493-1102a044838d,1e68e760-a4cf-4100-bf9c-e50fa8d126f6,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
671eaa5a-e0a3-4a53-8e38-ad77f217392f,1e68e760-a4cf-4100-bf9c-e50fa8d126f6,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
9ba501e5-2be7-4edc-bbff-f6604ccb0692,1f601832-eee3-48fb-acf5-80c4a454f26e,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
9ccdf2cc-ca01-4ef7-bed9-f955fd0396c2,1f601832-eee3-48fb-acf5-80c4a454f26e,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
742a677b-e99b-4916-bb92-3536c55ee5e3,4f608829-ffc4-4527-886e-6bc764ab29f5,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
7fdf1402-fbd8-4d8e-9b84-e4a01495f3f8,4f608829-ffc4-4527-886e-6bc764ab29f5,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
6e8e0eef-1fc8-446c-9038-3a06657784ec,4fba3deb-db94-44b5-a0f2-a575d270779e,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
11158ce6-cd7a-4450-8b57-395270b20a70,4fba3deb-db94-44b5-a0f2-a575d270779e,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
c6fd0f95-d74a-49e3-9a70-fec12e63ff1a,50619f8c-10aa-464a-a227-90a7aa6ffd43,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
1d47e720-1a02-45f4-b0dc-99861916e3e1,50619f8c-10aa-464a-a227-90a7aa6ffd43,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
fc8e0387-e751-4595-8c61-650e808da79b,515b1400-e896-4f2a-81bd-70895441a0bd,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
89e048e0-2bdb-4c62-9c0e-2e6e796238dd,515b1400-e896-4f2a-81bd-70895441a0bd,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
5dfadec2-3a10-40a9-99be-4984e917ba88,518f231c-f5f9-4a39-a97b-7fd5666d3e50,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
e793b2cf-64db-413d-a40f-f64b4c338a78,518f231c-f5f9-4a39-a97b-7fd5666d3e50,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
1d15f05d-2ac2-4b83-987e-6f4b157b0b74,12d31787-e54d-4729-ace8-9141043c92b8,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
3cdba1e4-b7d4-47ea-8cae-68a8262515d4,12d31787-e54d-4729-ace8-9141043c92b8,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
11b8df13-22dd-4ca1-a819-a5c350b80e63,13b860c3-8048-4dc9-9eb0-7480bc660837,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
7d8935d4-33df-4a11-a352-e4e1acc563a4,13b860c3-8048-4dc9-9eb0-7480bc660837,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
88d0452c-0693-4572-9bfd-bd856805c7e9,13ca97a1-75bb-4a49-b8c3-181e5b2c9e86,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
1d7e99d8-052d-491a-8088-91cb0790cb17,13ca97a1-75bb-4a49-b8c3-181e5b2c9e86,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
e7d55838-b9ad-4147-8ad2-cbe0dd6d5f24,157ec9e0-ca6e-4da1-9233-f976cf0db433,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
a127fb1e-aa3b-4b6d-98b5-c141ffba9ae7,157ec9e0-ca6e-4da1-9233-f976cf0db433,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
f979b428-649b-42ac-9eae-31ff4daa7b8f,16a8d916-ad46-4690-b1a5-3b2b323f4336,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
c1e1a3ff-caba-4adb-b8de-27d2a8ec3ec8,16a8d916-ad46-4690-b1a5-3b2b323f4336,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
69aebf68-5357-4269-84fb-ee91a6bd67fd,17baef7c-d97d-4b98-ab53-503ef856523d,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
a626fa2c-5e31-4504-a993-7f86aa21e8ab,17baef7c-d97d-4b98-ab53-503ef856523d,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
ef99ae23-c33f-49f4-9757-7bb6d944b622,36fe6152-f61e-4948-9ccc-23ac01a9d77d,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
7f1cbb4f-aecf-42be-91cc-fb35d03447df,36fe6152-f61e-4948-9ccc-23ac01a9d77d,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
1d7789a1-1ff1-4865-a9c9-dfb40e57aff5,378778d2-b331-4867-a93b-c64028c8b4c7,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
c2cf4ba8-f4c8-4be0-b61a-2e3bd8119638,378778d2-b331-4867-a93b-c64028c8b4c7,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
c7db3ef0-0440-4fcf-a18b-c70b3f88e327,38a8b734-9acc-42f9-b5b7-e51b0dfc6504,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
db7aa78b-4bb9-4d89-9219-bc93eaa277a2,38a8b734-9acc-42f9-b5b7-e51b0dfc6504,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
575ef8e2-dfbc-48b3-9836-089b94498e09,3927f736-3b5c-48c8-9d9e-83669ec44770,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
c329df5e-f892-4e34-a575-947b80e0f6fa,3927f736-3b5c-48c8-9d9e-83669ec44770,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
6c491aa2-ab02-4e44-8d1b-1ebf3125469b,39cde586-df95-435f-b9a6-73b0c0ee5e92,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
5d720a05-3673-45be-9163-08e0fc332f80,39cde586-df95-435f-b9a6-73b0c0ee5e92,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
b5604d13-4cde-44fa-be67-203bc5da0caf,5fd9552a-c742-4388-940d-295d1107ae00,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
58764dda-7c61-4705-a834-4d654c60ef2b,5fd9552a-c742-4388-940d-295d1107ae00,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
c1ac2f8b-9ff2-47b9-a685-6cf10a7a925f,606fbc6a-b41b-441d-9401-51e54912bf5e,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
70f8d4a3-81e0-4d82-860e-ae359c3cac74,606fbc6a-b41b-441d-9401-51e54912bf5e,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
aa4061d1-8b1e-4aed-b0d7-fe3a5466737e,60df7543-6da5-4c75-943b-5800c1e08234,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
ada5cdcf-f9e0-4209-aa92-ac3b921bbdf4,60df7543-6da5-4c75-943b-5800c1e08234,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
56e43b33-6dc7-496b-bdee-75e5fed5d502,626b4ff0-2188-4a14-aac8-6703c624917f,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
355ae847-d5f0-43ab-90e6-920c6ef8711c,626b4ff0-2188-4a14-aac8-6703c624917f,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
f6cb208f-cc43-4245-8392-dc5ada57bb9b,6412854a-f874-469e-9d1f-8bd3ae5bd41d,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
8e6ba6ce-5f0b-424d-bf39-2b2bf2f9adf7,6412854a-f874-469e-9d1f-8bd3ae5bd41d,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
fb69a4f1-3642-4012-a9be-68afbfeea487,6439621e-da61-4723-91cc-c5d87d0a4abc,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
fc203d80-6254-402c-8c8b-a5500bfa909e,6439621e-da61-4723-91cc-c5d87d0a4abc,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
196aed5b-6812-47c5-ad7b-4dd1743ed0b5,3ecb0147-276d-486c-9af0-ce437c24ba83,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
e955427b-ab30-4634-b168-e46461dda626,3ecb0147-276d-486c-9af0-ce437c24ba83,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
121a48ed-798d-4102-bb8f-e736570e18d6,3efa245d-177d-4ef9-94f7-f554c54e345e,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
ff5b35ac-1ea0-49b7-8156-0f44760b7ee8,3efa245d-177d-4ef9-94f7-f554c54e345e,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
0a7421d4-5722-427a-9643-da1074e5c25c,417dea5f-f68e-4dab-940e-43ae8c67e5e6,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
6f335026-6df0-43f8-8076-fb6534e4420f,417dea5f-f68e-4dab-940e-43ae8c67e5e6,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
7843d077-04e2-41d2-bd64-73edd83e9c1f,42621dfa-abfd-4c7d-8bc5-a02a09d1c2b4,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
51948358-b1bb-46d7-a25c-8d3fe81557f0,42621dfa-abfd-4c7d-8bc5-a02a09d1c2b4,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
e20d0db7-984a-4bcf-9f1e-54ec63d55a2f,b8b6cebc-26dc-43ae-a94a-20da6018f7ae,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
15d2a81f-6250-4152-abe8-a862a70a8399,b8b6cebc-26dc-43ae-a94a-20da6018f7ae,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
318c3a49-64bc-4704-8739-d4cf31cef51f,97b5f490-1cd9-4833-b903-5f4c6e45670d,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
4f513085-a7f0-495c-9a87-34f70d757900,97b5f490-1cd9-4833-b903-5f4c6e45670d,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
f20fdb15-6b29-46af-bc5b-ea583dfa13c2,9848307d-1bd5-40c1-b655-a33297aaf74f,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
7774e389-c3c5-4abf-846c-4e8eead7e521,9848307d-1bd5-40c1-b655-a33297aaf74f,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
fb336b62-9f4e-4cb8-b987-99cb4ef60da5,98e0b4de-52fc-4945-9bf5-11e29368f939,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
ef181439-d071-40e0-a185-f29343085f8c,98e0b4de-52fc-4945-9bf5-11e29368f939,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
6d779189-cfd2-48bf-ada2-ca78e2818468,991e1427-3c01-423d-abfd-4584302ca72c,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
e748021e-b8ec-4b17-8b59-ce9d0a3d42e1,991e1427-3c01-423d-abfd-4584302ca72c,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
0c279a15-1250-4923-bcde-96cc3fd32d42,993103b1-e5a1-4c33-8629-be53ebc41d64,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
94daa651-5d59-4a69-bfd0-b95e146cee04,993103b1-e5a1-4c33-8629-be53ebc41d64,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
eb914a22-6e3f-4296-89d4-a960902fba2b,9938ce5c-e74e-446e-a932-f096f85cc3b1,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
82c32328-fe75-4968-9bdb-5c8fb341e394,9938ce5c-e74e-446e-a932-f096f85cc3b1,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
f16f009f-c863-43a8-94bf-f24ed4fde296,995fdab7-7284-4d33-befa-ec22aa7c6479,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
e4e099ea-7207-48b8-a578-d5e6d83054b0,995fdab7-7284-4d33-befa-ec22aa7c6479,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
6ab7d63d-a094-4b23-be06-1f93f8dae8a4,b8a615f9-d19b-4b09-8ec8-0674e5c648cd,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
e18e1661-70dd-4b36-ae6c-c0265fbe01bb,b8a615f9-d19b-4b09-8ec8-0674e5c648cd,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
2a73a18d-eca4-475b-9c37-283feb92915f,7fe4670d-4626-459d-869b-ab15f478c6a7,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
638736e2-e96a-4f66-942d-0fb9662a5079,7fe4670d-4626-459d-869b-ab15f478c6a7,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
12b68e56-a83f-4b65-bb66-59e8522acbc9,81e7a3d3-be70-4834-8018-4d2cc077a4e6,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
3f8e6f58-24eb-4c97-95f3-8dedd4a9d05a,81e7a3d3-be70-4834-8018-4d2cc077a4e6,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
70f60c0b-b581-4735-9535-69fd9ac480fd,f801aeed-dc43-49d7-a319-84c8851979d9,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
2e7a0005-4efb-4121-91d9-c2ca2cb5201d,f801aeed-dc43-49d7-a319-84c8851979d9,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
ffeede9a-d9a9-4836-8c56-39f12a5fde0e,f9eb88f7-9293-46bf-ace4-a746e4ff80dc,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
0dbc2812-7acb-4f6c-a1bd-b9911b317d36,f9eb88f7-9293-46bf-ace4-a746e4ff80dc,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
5bd1aec2-6ba0-4396-8114-2e7e7f49edfa,fb356957-f620-4d99-b675-1355a1d9f932,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
5b318f75-dda6-4410-bfc0-2fd52030cae7,fb356957-f620-4d99-b675-1355a1d9f932,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
520792ea-db7f-4eb0-a34b-98b5bb2b7eb3,fb57c598-b45b-478a-9d34-ca1f050d5b7c,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
158cc60a-89b0-40f0-8536-8c0f0e31429b,fb57c598-b45b-478a-9d34-ca1f050d5b7c,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
ed717bf7-f59f-4563-992d-36119b9bede0,fc18d029-9be2-4fa0-9aef-6d647dc55f0b,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
abefed1d-9f40-4a97-9435-4d9df47f7ebd,fc18d029-9be2-4fa0-9aef-6d647dc55f0b,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
fa2c92c8-c2a3-4d66-8607-25e26e3a95d2,fcef8cb5-fb2c-4bfb-82cd-6b9f3145182c,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
95775d9a-4f7f-47c9-806b-acea8e01d40e,fcef8cb5-fb2c-4bfb-82cd-6b9f3145182c,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
fe6096b0-5c9e-4aa4-85c6-a4d3420d95e0,fe15c48b-116d-461e-9b40-68514730fd18,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
9b980569-4da2-43ee-a06a-18ee09baf41d,fe15c48b-116d-461e-9b40-68514730fd18,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
c7646bc5-436b-4ad5-b5ae-894b2e843cda,bef7b135-a727-45e8-850a-cc4cd56c49aa,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
a0992897-79c4-4e33-974a-a65248ee43fa,bef7b135-a727-45e8-850a-cc4cd56c49aa,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
ac7c3a38-5d88-488e-86f7-1c72a26fe5ef,bfd49783-1767-469b-9d79-7822301c5efc,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
21abffb3-3e07-4022-86ff-51a41036cfc4,bfd49783-1767-469b-9d79-7822301c5efc,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
1c3a771f-43db-4b45-93f8-f8e6d2ab6847,bfd55808-dddd-44c3-97d7-41600497b992,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
21278eb3-c93c-4b8a-b68b-2dec7b9f9fa3,bfd55808-dddd-44c3-97d7-41600497b992,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
c7019746-2fcf-4b4b-b7e5-025413e1014f,c0427237-b476-4af4-b664-7bd479922ea5,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
b64af68f-e463-4f68-86a1-15399cc15691,c0427237-b476-4af4-b664-7bd479922ea5,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
0d0092fd-33be-4e11-93e8-42f353fbb8d1,8332806e-f547-4aae-89af-6d5bec831fd2,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
90e074a0-ca6d-4031-aa26-f79e5c662ba7,8332806e-f547-4aae-89af-6d5bec831fd2,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
8acfb9e1-3fc2-4736-a1e3-44593ca8d1fe,83f26720-007c-42c9-a7de-7484bf8afa89,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
892928f7-8239-4d15-812b-046f9192d7de,83f26720-007c-42c9-a7de-7484bf8afa89,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
aaab4fd3-9025-4add-b199-7ae99245b0e6,83f943c7-3975-4b4f-985d-9c057741793b,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
895b7107-2c08-4106-b119-6fbb597392da,83f943c7-3975-4b4f-985d-9c057741793b,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
1deadf31-dc7d-4361-8041-ab0a27edebb3,844ad251-3ee4-42f6-ad00-59a7a1670eea,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
428c71b7-7fa6-4b34-b85c-bc67329db834,844ad251-3ee4-42f6-ad00-59a7a1670eea,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
3e0cc1e4-0882-4e9b-9373-34bcbce097d7,8577ffcb-242e-40e2-98d4-2831d952be34,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
25e9d1e2-2fc3-4ee0-bf29-421adfcaf781,8577ffcb-242e-40e2-98d4-2831d952be34,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
baf89520-278b-461f-9c85-daad7f717a6b,2e1e3bf0-1708-4b65-936c-48b89eb8966a,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
89dfc6f3-9f78-4e03-a2e7-e9010c7814a2,2e1e3bf0-1708-4b65-936c-48b89eb8966a,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
5ea3601c-639a-4e8a-8b71-9586e2d5ea83,316e021c-5175-4ab3-bdb6-2bf9683f657a,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
80563e43-422f-458b-a543-6b1dad9171e5,316e021c-5175-4ab3-bdb6-2bf9683f657a,Tumor,Primary Tumor,RNA-Seq,Gene Expression Quantification,TSV
bf53b78f-1699-40b5-a76c-fb4b6c7e0de0,31c31cce-1b4d-4f12-922f-84f389403170,Tumor,Primary Tumor,miRNA-Seq,miRNA Expression Quantification,TXT
