accession_id,is_expressed
MIMAT0000062,1
MIMAT0000063,1
MIMAT0000064,1
MIMAT0000065,1
MIMAT0000066,1
MIMAT0000067,1
MIMAT0000068,1
MIMAT0000069,1
MIMAT0000070,1
MIMAT0000071,1
MIMAT0000072,1
MIMAT0000073,1
MIMAT0000074,1
MIMAT0000075,1
MIMAT0000076,1
MIMAT0000077,1
MIMAT0000078,1
MIMAT0000079,1
MIMAT0000080,1
MIMAT0000081,1
MIMAT0000082,1
MIMAT0000083,1
MIMAT0000084,1
MIMAT0000085,1
MIMAT0000086,1
MIMAT0000087,1
MIMAT0000088,1
MIMAT0000089,1
MIMAT0000090,1
MIMAT0000091,1
MIMAT0000092,1
MIMAT0000093,1
MIMAT0000094,1
MIMAT0000095,1
MIMAT0000096,1
MIMAT0000097,1
MIMAT0000098,1
MIMAT0000099,1
MIMAT0000100,1
MIMAT0000101,1
MIMAT0000103,1
MIMAT0000104,1
MIMAT0000222,1
MIMAT0000226,1
MIMAT0000227,1
MIMAT0000228,0
MIMAT0000231,1
MIMAT0000232,1
MIMAT0000242,1
MIMAT0000243,1
MIMAT0000244,1
MIMAT0000245,1
MIMAT0000250,1
MIMAT0000252,1
MIMAT0000253,1
MIMAT0000254,1
MIMAT0000255,1
MIMAT0000256,1
MIMAT0000257,1
MIMAT0000258,1
MIMAT0000259,1
MIMAT0000261,1
MIMAT0000262,1
MIMAT0000263,1
MIMAT0000264,1
MIMAT0000265,1
MIMAT0000266,1
MIMAT0000267,1
MIMAT0000268,0
MIMAT0000269,1
MIMAT0000270,1
MIMAT0000271,1
MIMAT0000272,1
MIMAT0000273,1
MIMAT0000274,1
MIMAT0000275,1
MIMAT0000276,1
MIMAT0000278,1
MIMAT0000279,1
MIMAT0000280,1
MIMAT0000281,1
MIMAT0000318,1
MIMAT0000414,1
MIMAT0000415,1
MIMAT0000416,1
MIMAT0000417,1
MIMAT0000418,1
MIMAT0000419,1
MIMAT0000420,1
MIMAT0000423,1
MIMAT0000424,1
MIMAT0000425,1
MIMAT0000426,1
MIMAT0000427,1
MIMAT0000428,1
MIMAT0000430,1
MIMAT0000431,1
MIMAT0000432,1
MIMAT0000433,1
MIMAT0000434,1
MIMAT0000435,1
MIMAT0000436,1
MIMAT0000437,1
MIMAT0000438,1
MIMAT0000439,1
MIMAT0000440,1
MIMAT0000441,1
MIMAT0000443,1
MIMAT0000444,1
MIMAT0000445,1
MIMAT0000446,1
MIMAT0000447,1
MIMAT0000448,1
MIMAT0000449,1
MIMAT0000450,1
MIMAT0000451,1
MIMAT0000452,1
MIMAT0000453,1
MIMAT0000454,1
MIMAT0000455,1
MIMAT0000456,1
MIMAT0000457,1
MIMAT0000458,1
MIMAT0000459,1
MIMAT0000460,1
MIMAT0000461,1
