accession_id,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143
MIMAT0000062,15868,28998,49811,10962,20083,81120,21828,76258,25178,339513,29860,26205,27867,23501,19540,44700,41206,43563,37695,21243,64370,59354,109271,17324,35515,25603,31250,32647,94350,27178,41034,11073,69682,24756,32423,13575,184624,13729,36797,54673,55528,35229,79791,45866,96771,59343,130734,54800,15681,25558,81617,11903,18136,45392,36868,31019
MIMAT0000063,20715,89908,67531,6183,38497,50804,47014,32421,49145,274597,26371,33125,12006,11443,54865,60451,78330,55338,72940,11796,42832,20490,167435,13919,60550,32936,40599,33063,107887,38294,68427,9906,65183,20726,14091,17788,239469,15656,44078,58891,30139,33280,47659,42999,124280,54503,95620,63216,17932,19561,60530,14327,16079,40233,26816,40579
MIMAT0000064,915,3128,6580,601,2147,5503,2754,4303,2739,19367,1995,2606,2833,1495,3110,3466,1121,3139,5094,1178,9345,3366,7340,4295,1675,955,1613,12481,2694,3687,1864,1654,4499,2728,2590,2466,11566,811,7732,3635,4093,680,6106,6028,4247,9713,3829,1070,3705,1883,7084,912,2828,4304,3829,5011
MIMAT0000065,192,982,512,138,121,1335,561,737,557,541,568,367,241,156,290,1002,1065,470,307,159,836,234,418,806,681,373,321,683,340,320,318,243,417,1071,153,100,2001,464,399,680,393,653,877,276,552,1177,717,765,205,194,669,157,418,1269,407,593
MIMAT0000066,1364,1527,725,1017,919,2217,1151,3200,1074,13747,1435,2082,1689,1485,815,1821,1236,1818,1044,1914,2441,3002,3090,942,3295,537,1308,1933,2637,1332,1168,761,5347,1570,694,416,4370,898,1757,3197,2056,1133,1906,1618,2787,2936,3627,558,1013,881,2897,1609,441,782,1281,1689
MIMAT0000067,982,3267,7791,1178,3009,24161,4055,37520,4109,45829,5759,2920,9854,1644,1684,5425,5488,5816,6475,2492,19537,12719,27861,4826,5363,3357,3689,6435,14816,5047,4516,2484,13644,5821,7559,1583,44633,3823,6965,12775,15393,3925,31327,11773,17111,14532,31355,15861,3125,5079,29686,1050,4560,6034,6480,6860
MIMAT0000068,54,262,252,165,191,267,164,333,82,896,443,152,185,168,55,295,409,143,308,188,393,278,248,314,210,185,314,253,501,154,333,122,275,205,57,64,632,134,253,268,206,279,415,163,729,327,390,308,143,143,292,219,291,320,194,220
MIMAT0000069,834,2832,2167,3861,781,871,2327,1240,994,2387,2105,2330,457,1296,807,2583,3315,1045,4213,1967,1397,1268,1858,1763,2899,1105,2967,1560,1233,1898,4400,1584,1218,1234,347,1634,2908,1707,2701,1511,844,1846,3238,479,3847,1581,2115,1798,817,721,1363,2551,1272,1207,1179,2549
MIMAT0000070,89,527,385,467,130,359,948,659,186,3305,1395,584,1185,272,303,2884,655,216,675,707,2219,446,420,1042,1400,378,403,531,777,364,1074,369,872,652,152,144,998,478,353,420,1051,2185,720,629,1720,912,1688,1952,479,503,689,261,1436,1264,632,710
MIMAT0000071,14,123,175,89,31,190,253,454,98,2605,272,89,273,97,93,480,216,53,258,138,770,117,290,175,271,119,134,253,188,220,434,47,403,149,103,44,828,122,174,200,339,483,417,164,602,404,587,896,105,265,432,114,331,232,238,281
MIMAT0000072,2,10,21,3,1,6,49,34,4,29,33,11,12,5,2,72,37,5,7,17,118,10,5,49,16,12,14,13,7,18,50,7,20,12,6,0,45,7,14,20,22,121,30,17,26,37,25,54,10,3,25,18,27,55,11,30
MIMAT0000073,6,84,15,36,12,46,47,72,19,87,125,36,59,53,18,185,71,8,137,74,199,19,34,79,90,38,40,41,49,46,192,43,43,69,10,19,54,47,64,36,71,143,53,41,152,54,66,30,39,41,29,15,97,78,35,108
MIMAT0000074,37,202,130,108,49,179,160,252,55,296,585,144,248,153,60,402,285,57,299,205,701,312,114,310,303,138,188,201,260,166,391,111,154,201,63,55,238,167,176,162,327,764,248,181,576,235,645,239,134,145,185,54,274,329,138,251
MIMAT0000075,17,188,178,136,85,187,323,380,80,2679,660,148,616,100,103,876,280,72,286,264,1081,106,200,342,428,214,195,220,347,212,405,114,395,324,73,51,451,152,184,171,484,1104,436,353,767,380,560,589,175,236,273,47,653,410,192,340
MIMAT0000076,96431,771681,1689344,213782,215909,688857,221835,1244063,454814,2139438,322516,460338,479717,352846,144736,289190,727502,178554,883494,365653,1114472,268554,1087625,172396,810114,689598,592743,385465,279255,444327,533114,178123,946580,466812,541746,492598,1602378,457112,370299,428647,743554,400835,955250,699618,1010585,695432,454262,934688,416355,370273,857434,450246,216986,155033,482105,554494
MIMAT0000077,32638,111559,156005,56349,105807,224417,60090,251792,118199,988638,74504,99432,55691,97285,74471,38028,114910,109337,269099,135411,192560,120259,336658,39835,112674,90039,116503,201579,133974,152706,106223,53251,229092,166651,142171,47498,478228,74810,157718,175997,188474,78552,225973,110395,206846,240511,136552,155775,81869,126870,263827,84873,60291,40617,206042,134682
MIMAT0000078,1190,7957,8407,2874,2581,8490,4956,6790,5772,44031,4907,3598,2362,6071,3970,2932,5783,6773,29981,7846,6531,12407,19871,2694,11061,1485,5584,8564,6726,6902,11862,3338,12123,6939,4735,1984,17333,3369,8994,6306,6096,7489,6323,4511,5324,7773,9319,30658,3054,3665,13563,6342,3421,2927,8368,7916
MIMAT0000079,12,25,15,12,5,32,19,28,17,11,10,24,4,39,8,23,38,19,29,20,42,51,5,27,16,11,13,35,8,11,17,9,29,12,18,2,113,22,31,31,29,26,12,12,38,19,25,12,21,11,27,20,5,18,21,15
MIMAT0000080,1077,3389,3504,783,505,4740,2697,3875,1441,9007,1012,3250,1109,1925,984,2080,2757,2819,6103,3311,3817,6165,2995,1399,3980,510,2659,3925,1391,2675,3935,825,2847,2307,1418,502,6186,1601,3197,3096,3574,3525,4159,1373,2963,2885,4391,13973,742,1131,4486,4369,1208,1655,3076,3666
MIMAT0000081,13514,19196,22667,26761,8761,18343,17941,33817,5870,70798,24330,21859,11926,11301,16149,45064,35358,15953,29762,8465,42818,6285,32378,10727,15257,4430,15139,18071,24146,18710,26115,14825,20754,9002,14056,13926,37374,13442,27335,11334,23010,12249,26707,9954,35058,35611,27754,14044,5787,9316,25235,10714,20958,28207,12868,26944
