accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000063,hsa-let-7b-5p,SYT7,-0.3887901572112098,0.0015318106335108
MIMAT0000063,hsa-let-7b-5p,INPP5A,-0.3241968557758031,0.0073929351882168
MIMAT0000063,hsa-let-7b-5p,PITPNM3,-0.4335611756664388,0.0004219053217458
MIMAT0000063,hsa-let-7b-5p,KLF8,-0.3718386876281613,0.0023879410359517
MIMAT0000063,hsa-let-7b-5p,CCNY,-0.3145591250854409,0.0091095871502012
MIMAT0000063,hsa-let-7b-5p,KCNQ4,-0.3695830485304169,0.0025289033406437
MIMAT0000063,hsa-let-7b-5p,PLAGL2,-0.3440874914559125,0.004706797365279
MIMAT0000063,hsa-let-7b-5p,PUDP,-0.4073137388926863,0.0009177934766614
MIMAT0000063,hsa-let-7b-5p,HMGA1,-0.3326042378673958,0.0061294883151165
MIMAT0000063,hsa-let-7b-5p,GEMIN7,-0.3228981544771018,0.0076067373316731
MIMAT0000063,hsa-let-7b-5p,NR6A1,-0.4415584415584416,0.0003287723910628
MIMAT0000063,hsa-let-7b-5p,CLPB,-0.3272043745727956,0.0069174844655347
MIMAT0000063,hsa-let-7b-5p,IRGQ,-0.3328092959671907,0.0061011543070079
MIMAT0000063,hsa-let-7b-5p,CLCN5,-0.3191387559808613,0.008255705464631
MIMAT0000063,hsa-let-7b-5p,PHF8,-0.3312371838687628,0.006321292581157
MIMAT0000063,hsa-let-7b-5p,PDE12,-0.325768967874231,0.0071410260882492
MIMAT0000063,hsa-let-7b-5p,MFAP3L,-0.3648667122351333,0.0028474613842714
MIMAT0000063,hsa-let-7b-5p,DENND11,-0.3268626110731374,0.0069701566617361
MIMAT0000063,hsa-let-7b-5p,GAN,-0.342241968557758,0.004914033668484
MIMAT0000064,hsa-let-7c-5p,MLLT10,-0.3213260423786739,0.0078726093277237
MIMAT0000064,hsa-let-7c-5p,PXMP4,-0.3328092959671907,0.0061011543070079
MIMAT0000064,hsa-let-7c-5p,MTDH,-0.3289131920710868,0.006659216414846
MIMAT0000064,hsa-let-7c-5p,CYB561D1,-0.366097060833903,0.002761140713014
MIMAT0000064,hsa-let-7c-5p,MDM4,-0.3769651401230348,0.0020929850278737
MIMAT0000065,hsa-let-7d-5p,SCYL3,-0.3656185919343814,0.0027944332788806
MIMAT0000065,hsa-let-7d-5p,YBX2,-0.3371155160628845,0.0055316549740109
