accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000064,hsa-let-7c-5p,PARD6B,-0.3053168879962602,1.6993540554228726e-06
MIMAT0000069,hsa-miR-16-5p,ETV1,-0.3250883009851619,3.474575110291625e-07
MIMAT0000069,hsa-miR-16-5p,MYLK,-0.3340028048548227,1.635540739908435e-07
MIMAT0000069,hsa-miR-16-5p,ZNF532,-0.4217042955832193,2.4982055752597567e-11
MIMAT0000069,hsa-miR-16-5p,TLE4,-0.3150516387624011,7.889337424841956e-07
MIMAT0000069,hsa-miR-16-5p,PLSCR4,-0.3383031494018041,1.1273623606562005e-07
MIMAT0000069,hsa-miR-16-5p,NRBP1,-0.3047920598369029,1.7697588593145933e-06
MIMAT0000069,hsa-miR-16-5p,KLF7,-0.342682488702668,7.672972786846476e-08
MIMAT0000069,hsa-miR-16-5p,ACVR2A,-0.3129577367245528,9.32660382807932e-07
MIMAT0000069,hsa-miR-16-5p,CCNJL,-0.3409911352736465,8.908494011581685e-08
MIMAT0000069,hsa-miR-16-5p,FBXO10,-0.3171661868816305,6.653922876175583e-07
MIMAT0000069,hsa-miR-16-5p,FOXO1,-0.3400464445868033,9.679509784618678e-08
MIMAT0000069,hsa-miR-16-5p,SEMA3D,-0.3065699828592205,1.541882599407361e-06
MIMAT0000069,hsa-miR-16-5p,LUZP1,-0.3006475405578545,2.4318872196023e-06
MIMAT0000070,hsa-miR-17-5p,CROT,-0.3173717038627352,6.54423537982281e-07
MIMAT0000070,hsa-miR-17-5p,LIMA1,-0.3102989680904479,1.151379214067376e-06
MIMAT0000070,hsa-miR-17-5p,CYBRD1,-0.300645376318022,2.432287769682676e-06
MIMAT0000070,hsa-miR-17-5p,ENPP5,-0.3205076873798846,5.070357874867033e-07
MIMAT0000070,hsa-miR-17-5p,ARL1,-0.3670676192571,8.063705085848611e-09
MIMAT0000070,hsa-miR-17-5p,SNX21,-0.3520417438578873,3.304890566704732e-08
MIMAT0000070,hsa-miR-17-5p,SLC49A4,-0.3322887269075609,1.8940484073607705e-07
MIMAT0000070,hsa-miR-17-5p,CHST7,-0.3378573159963294,1.1720094788642693e-07
MIMAT0000070,hsa-miR-17-5p,SAR1B,-0.3003250688228266,2.492266147134155e-06
MIMAT0000070,hsa-miR-17-5p,CYP2U1,-0.3213008812784597,4.751265145268729e-07
MIMAT0000070,hsa-miR-17-5p,MALSU1,-0.3073188098412313,1.454523596657453e-06
MIMAT0000070,hsa-miR-17-5p,C2CD2,-0.3375716363384524,1.20150496385462e-07
MIMAT0000070,hsa-miR-17-5p,FRZB,-0.3251488997004692,3.457101581939044e-07
MIMAT0000070,hsa-miR-17-5p,ZBTB21,-0.3181302699239918,6.154141838311006e-07
MIMAT0000070,hsa-miR-17-5p,ST6GALNAC3,-0.3284142853935263,2.630403313395081e-07
MIMAT0000075,hsa-miR-20a-5p,ARL1,-0.3842332921316204,1.4694137249094727e-09
MIMAT0000075,hsa-miR-20a-5p,SLC49A4,-0.3331349446820298,1.7618824406587637e-07
MIMAT0000075,hsa-miR-20a-5p,SAR1B,-0.3111397752653357,1.077407738703851e-06
MIMAT0000075,hsa-miR-20a-5p,MALSU1,-0.3416826099000986,8.38189085457854e-08
MIMAT0000080,hsa-miR-24-3p,STRADB,-0.3256672351403293,3.311037754456343e-07
MIMAT0000080,hsa-miR-24-3p,NAV2,-0.3475660958844815,4.961075804258292e-08
MIMAT0000084,hsa-miR-27a-3p,LIFR,-0.3085719047041916,1.3187917173111452e-06
MIMAT0000091,hsa-miR-33a-5p,NAV3,-0.3060083626227123,1.6106585160487376e-06
MIMAT0000091,hsa-miR-33a-5p,RUNX1T1,-0.3937732638936939,5.46194760205049e-10
MIMAT0000091,hsa-miR-33a-5p,TTC28,-0.3226470384542134,4.2531964364687634e-07
MIMAT0000091,hsa-miR-33a-5p,CDH6,-0.3163750714199144,7.09276961580613e-07
MIMAT0000091,hsa-miR-33a-5p,SLC16A7,-0.3045352211286637,1.805217298793548e-06
MIMAT0000091,hsa-miR-33a-5p,SYT11,-0.313864553214329,8.675895233270285e-07
MIMAT0000091,hsa-miR-33a-5p,CACNA1C,-0.3040433973606444,1.8750136534879089e-06
MIMAT0000091,hsa-miR-33a-5p,PALM2AKAP2,-0.3534333500701213,2.9089943810864137e-08
MIMAT0000091,hsa-miR-33a-5p,MSRB3,-0.3223364700382637,4.363467139137137e-07
MIMAT0000091,hsa-miR-33a-5p,CSRNP3,-0.3236869556936821,3.903039695677996e-07
MIMAT0000091,hsa-miR-33a-5p,RGMA,-0.3039858804993334,1.8833418702960017e-06
MIMAT0000091,hsa-miR-33a-5p,TCF4,-0.3065927073774607,1.5391595165769865e-06
MIMAT0000092,hsa-miR-92a-3p,EPB41L4A,-0.3195391900548851,5.487792396710877e-07
MIMAT0000092,hsa-miR-92a-3p,SAR1B,-0.3263890091244351,3.117452481362596e-07
MIMAT0000095,hsa-miR-96-5p,FHL1,-0.3348955537856883,1.5146605585322076e-07
MIMAT0000095,hsa-miR-96-5p,CELF2,-0.3500614644112401,3.958704515369698e-08
MIMAT0000095,hsa-miR-96-5p,FOXN3,-0.320450335024326,5.094207465890778e-07
MIMAT0000095,hsa-miR-96-5p,TNS1,-0.3175860495227018,6.431677006508655e-07
MIMAT0000095,hsa-miR-96-5p,PCSK5,-0.3329812836539293,1.7852058059177562e-07
MIMAT0000095,hsa-miR-96-5p,ASPN,-0.3161608116765068,7.216299561714721e-07
MIMAT0000095,hsa-miR-96-5p,EBF3,-0.3021235521235521,2.172845761551271e-06
MIMAT0000095,hsa-miR-96-5p,CORO1C,-0.3305919628789583,2.1882481932868026e-07
MIMAT0000095,hsa-miR-96-5p,BACH2,-0.372643142822515,4.688967545566587e-09
MIMAT0000095,hsa-miR-96-5p,SEMA5A,-0.3030050207672505,2.030904311766356e-06
MIMAT0000095,hsa-miR-96-5p,ADAM23,-0.3842358934847723,1.4690235582532581e-09
MIMAT0000095,hsa-miR-96-5p,PRRX1,-0.326539423792787,3.07849751106934e-07
MIMAT0000095,hsa-miR-96-5p,ADGRL2,-0.3667845455962047,8.28648003032411e-09
MIMAT0000095,hsa-miR-96-5p,SLC16A7,-0.3848144947877524,1.3846858975144164e-09
MIMAT0000095,hsa-miR-96-5p,CCND2,-0.3332994269092924,1.737240352561632e-07
MIMAT0000095,hsa-miR-96-5p,RHOJ,-0.3247528438111398,3.572842810571317e-07
MIMAT0000095,hsa-miR-96-5p,FOXP2,-0.4159379035971917,4.835489854176853e-11
