accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000063,hsa-let-7b-5p,SENP5,-0.3059587471352177,0.0003388987979148
MIMAT0000063,hsa-let-7b-5p,PEG10,-0.3513021737620668,4.173751268169375e-05
MIMAT0000065,hsa-let-7d-5p,CPEB4,-0.3597819293006458,2.718874011871445e-05
MIMAT0000065,hsa-let-7d-5p,CALU,-0.30061115355233,0.0004248538634118
MIMAT0000065,hsa-let-7d-5p,PDE12,-0.3017153969025626,0.0004056202485295
MIMAT0000065,hsa-let-7d-5p,CSRNP3,-0.3160572193511592,0.0002185699276006
MIMAT0000067,hsa-let-7f-5p,MAP3K9,-0.3322244600319466,0.000104817839756
MIMAT0000067,hsa-let-7f-5p,TMEM251,-0.3037224807278283,0.0003726901664143
MIMAT0000068,hsa-miR-15a-5p,SLC38A7,-0.3085700395860822,0.0003030104716147
MIMAT0000069,hsa-miR-16-5p,ANKIB1,-0.3560663934995485,3.285455824466955e-05
MIMAT0000069,hsa-miR-16-5p,MYLK,-0.3401833460656989,7.189940032868707e-05
MIMAT0000069,hsa-miR-16-5p,CRISPLD2,-0.3127786651850822,0.0002524458269508
MIMAT0000069,hsa-miR-16-5p,PPP6R3,-0.3257240086117091,0.0001415447011378
MIMAT0000069,hsa-miR-16-5p,TBX18,-0.3233696784498923,0.0001575545852592
MIMAT0000069,hsa-miR-16-5p,ADGRL2,-0.3448225571220223,5.7444195413435366e-05
MIMAT0000069,hsa-miR-16-5p,EFNB2,-0.348371414681575,4.8266243918283454e-05
MIMAT0000069,hsa-miR-16-5p,CCNJL,-0.3127028139160451,0.000253283874513
MIMAT0000069,hsa-miR-16-5p,CAB39,-0.3209181193138412,0.000175991432789
MIMAT0000069,hsa-miR-16-5p,GALNT1,-0.362851586915758,2.3211509662844973e-05
MIMAT0000069,hsa-miR-16-5p,PTPRD,-0.3052920341690395,0.0003486666987128
MIMAT0000069,hsa-miR-16-5p,SHROOM4,-0.3276824779498576,0.0001293878900903
MIMAT0000069,hsa-miR-16-5p,ZMAT3,-0.3258767969997916,0.0001405595863208
MIMAT0000069,hsa-miR-16-5p,BACE1,-0.3146051809153413,0.0002330201413281
MIMAT0000069,hsa-miR-16-5p,SLC39A10,-0.3295089936801166,0.0001189282215898
MIMAT0000069,hsa-miR-16-5p,SH3BGRL2,-0.3023890547954718,0.0003942816727386
MIMAT0000070,hsa-miR-17-5p,GNB5,-0.3525036460865337,3.930721030432592e-05
MIMAT0000074,hsa-miR-19b-3p,BCL3,-0.3160844503090492,0.000218306999829
MIMAT0000074,hsa-miR-19b-3p,CHST7,-0.3213556496978956,0.0001725614939003
MIMAT0000077,hsa-miR-22-3p,RSBN1,-0.3590388221404264,2.824305771006684e-05
MIMAT0000077,hsa-miR-22-3p,STAG2,-0.3330092367525522,0.0001010389218511
MIMAT0000077,hsa-miR-22-3p,ACVR2B,-0.3518508229738176,4.061083275086382e-05
MIMAT0000077,hsa-miR-22-3p,ZNF740,-0.3015695534412111,0.000408113988274
MIMAT0000077,hsa-miR-22-3p,MSL2,-0.3696853948190846,1.6227957598247675e-05
MIMAT0000077,hsa-miR-22-3p,C5orf24,-0.3548024168345023,3.502114327130531e-05
MIMAT0000077,hsa-miR-22-3p,C17orf58,-0.3647822765469824,2.0996345478308928e-05
MIMAT0000077,hsa-miR-22-3p,ASB14,-0.307563025210084,0.0003164150862236
MIMAT0000078,hsa-miR-23a-3p,GPBP1,-0.3141120911174386,0.000238123960784
MIMAT0000078,hsa-miR-23a-3p,SRGAP3,-0.3174873255087158,0.0002051493195591
MIMAT0000080,hsa-miR-24-3p,AQR,-0.3363705812903673,8.623892687725219e-05
MIMAT0000080,hsa-miR-24-3p,NEDD4L,-0.3118827696367803,0.0002625090899964
MIMAT0000080,hsa-miR-24-3p,ERBB3,-0.3115910827140773,0.0002658643066686
MIMAT0000080,hsa-miR-24-3p,GBA2,-0.3540593096742829,3.635644574429234e-05
MIMAT0000080,hsa-miR-24-3p,STRADB,-0.3107438016528925,0.0002758354026665
MIMAT0000080,hsa-miR-24-3p,TMED8,-0.3178692964789221,0.0002016956353084
MIMAT0000080,hsa-miR-24-3p,EIF5,-0.3767067157441488,1.1139666289167527e-05
MIMAT0000080,hsa-miR-24-3p,MLEC,-0.3390721577887353,7.583119038097456e-05
MIMAT0000080,hsa-miR-24-3p,CREBL2,-0.3442044586429612,5.920001076283748e-05
MIMAT0000080,hsa-miR-24-3p,NEK4,-0.3292034169039516,0.0001206217178611
MIMAT0000080,hsa-miR-24-3p,ACVR1B,-0.3383359955552468,7.854504897292748e-05
MIMAT0000080,hsa-miR-24-3p,ZNF740,-0.3285714285714285,0.0001241952614776
MIMAT0000080,hsa-miR-24-3p,DALRD3,-0.3043961386207375,0.0003621991692026
MIMAT0000080,hsa-miR-24-3p,RSBN1L,-0.372838391554969,1.3720103116916418e-05
MIMAT0000080,hsa-miR-24-3p,SVIP,-0.354399611084103,3.57391587086816e-05
