node_a,node_b,association
hsa-miR-199b-3p,hsa-miR-199a-3p,1.0
hsa-miR-365a-3p,hsa-miR-365b-3p,1.0
hsa-miR-330-5p,hsa-miR-874-3p,0.5
hsa-miR-378a-3p,hsa-miR-378c,0.4787234042553192
hsa-miR-141-3p,hsa-miR-200a-3p,0.4418604651162791
hsa-let-7b-5p,hsa-let-7c-5p,0.38461538461538464
hsa-miR-497-5p,hsa-miR-299-5p,0.3333333333333333
hsa-miR-497-5p,hsa-miR-503-5p,0.3333333333333333
hsa-miR-20b-5p,hsa-miR-106a-5p,0.3248407643312102
hsa-miR-181b-5p,hsa-miR-181d-5p,0.3125
hsa-miR-132-3p,hsa-miR-212-3p,0.2857142857142857
hsa-miR-200b-3p,hsa-miR-200c-3p,0.2857142857142857
hsa-miR-20b-5p,hsa-miR-93-5p,0.2857142857142857
hsa-miR-221-3p,hsa-miR-222-3p,0.2857142857142857
hsa-miR-29c-3p,hsa-miR-29a-3p,0.25
hsa-miR-1271-5p,hsa-miR-26b-5p,0.25
hsa-miR-15a-5p,hsa-miR-16-5p,0.23410404624277456
hsa-miR-200b-3p,hsa-miR-429,0.23076923076923078
hsa-miR-181b-5p,hsa-miR-181a-5p,0.22857142857142856
hsa-miR-93-5p,hsa-miR-106a-5p,0.225
hsa-miR-135b-5p,hsa-miR-135a-5p,0.21212121212121213
hsa-miR-30e-5p,hsa-miR-30a-5p,0.20689655172413793
hsa-miR-181c-5p,hsa-miR-181a-5p,0.18518518518518517
hsa-miR-132-3p,hsa-miR-205-5p,0.15384615384615385
hsa-miR-181c-5p,hsa-miR-181b-5p,0.15217391304347827
hsa-miR-132-3p,hsa-miR-187-3p,0.14285714285714285
hsa-miR-331-3p,hsa-miR-125a-5p,0.14285714285714285
hsa-miR-106a-5p,hsa-miR-106b-5p,0.14007782101167315
hsa-miR-30a-5p,hsa-miR-30d-5p,0.13636363636363635
hsa-miR-181d-5p,hsa-miR-181a-5p,0.13513513513513514
hsa-miR-34c-5p,hsa-miR-129-5p,0.13333333333333333
hsa-miR-205-5p,hsa-miR-187-3p,0.125
hsa-miR-130a-3p,hsa-miR-33a-5p,0.125
hsa-miR-136-5p,hsa-miR-493-5p,0.125
hsa-miR-130a-3p,hsa-miR-212-3p,0.125
hsa-miR-93-5p,hsa-miR-17-5p,0.125
hsa-miR-128-3p,hsa-miR-708-5p,0.125
hsa-miR-106a-5p,hsa-miR-17-5p,0.11940298507462686
hsa-miR-20b-5p,hsa-miR-17-5p,0.11864406779661017
hsa-miR-200a-3p,hsa-miR-200b-3p,0.11475409836065574
hsa-miR-204-5p,hsa-miR-125b-5p,0.1111111111111111
hsa-miR-195-5p,hsa-miR-424-5p,0.1111111111111111
hsa-miR-9-5p,hsa-miR-96-5p,0.10714285714285714
hsa-miR-200a-3p,hsa-miR-429,0.10638297872340426
hsa-miR-181c-5p,hsa-miR-181d-5p,0.10638297872340426
hsa-miR-205-5p,hsa-miR-34c-5p,0.10526315789473684
hsa-miR-146b-5p,hsa-miR-34c-5p,0.10526315789473684
hsa-miR-200c-3p,hsa-miR-181b-5p,0.10344827586206896
hsa-miR-30c-5p,hsa-miR-19b-3p,0.1
hsa-miR-136-5p,hsa-miR-199b-3p,0.1
hsa-miR-146b-5p,hsa-miR-135a-5p,0.1
hsa-miR-30a-5p,hsa-miR-222-3p,0.1
hsa-miR-136-5p,hsa-miR-199a-3p,0.1
hsa-miR-136-5p,hsa-miR-130a-3p,0.1
hsa-let-7e-5p,hsa-miR-98-5p,0.09230769230769231
hsa-miR-493-5p,hsa-miR-199b-3p,0.09090909090909091
hsa-miR-493-5p,hsa-miR-199a-3p,0.09090909090909091
hsa-miR-493-5p,hsa-miR-130a-3p,0.09090909090909091
hsa-miR-33b-5p,hsa-miR-19b-3p,0.09090909090909091
hsa-miR-196a-5p,hsa-let-7c-5p,0.09090909090909091
hsa-miR-205-5p,hsa-miR-129-5p,0.09090909090909091
hsa-miR-146b-5p,hsa-miR-129-5p,0.09090909090909091
hsa-miR-200a-3p,hsa-let-7c-5p,0.09090909090909091
hsa-miR-30d-5p,hsa-miR-129-5p,0.09090909090909091
hsa-miR-21-5p,hsa-miR-410-3p,0.09090909090909091
hsa-miR-21-5p,hsa-miR-33a-5p,0.09090909090909091
hsa-miR-181a-5p,hsa-miR-100-5p,0.09090909090909091
hsa-miR-9-5p,hsa-miR-205-5p,0.09090909090909091
hsa-miR-15a-5p,hsa-miR-107,0.08847184986595175
hsa-miR-141-3p,hsa-miR-200b-3p,0.08823529411764706
hsa-miR-141-3p,hsa-miR-195-5p,0.08450704225352113
hsa-let-7c-5p,hsa-miR-130a-3p,0.08333333333333333
hsa-miR-182-5p,hsa-miR-181d-5p,0.08333333333333333
hsa-miR-381-3p,hsa-miR-187-3p,0.08333333333333333
hsa-miR-30c-5p,hsa-miR-299-5p,0.08333333333333333
hsa-miR-200b-3p,hsa-miR-135b-5p,0.08196721311475409
hsa-miR-429,hsa-miR-195-5p,0.08064516129032258
hsa-miR-196a-5p,hsa-miR-181a-5p,0.08
hsa-miR-20b-5p,hsa-miR-106b-5p,0.07819905213270142
hsa-miR-182-5p,hsa-miR-146b-5p,0.07692307692307693
hsa-miR-130a-3p,hsa-miR-199b-3p,0.07692307692307693
hsa-miR-381-3p,hsa-miR-410-3p,0.07692307692307693
hsa-miR-130a-3p,hsa-miR-199a-3p,0.07692307692307693
hsa-miR-132-3p,hsa-miR-130a-3p,0.07692307692307693
hsa-miR-200c-3p,hsa-miR-429,0.07692307692307693
hsa-miR-200b-3p,hsa-miR-30a-5p,0.07547169811320754
hsa-miR-135b-5p,hsa-miR-30a-5p,0.075
hsa-miR-200c-3p,hsa-miR-181a-5p,0.075
hsa-miR-141-3p,hsa-miR-429,0.07407407407407407
hsa-let-7b-5p,hsa-miR-196a-5p,0.07246376811594203
hsa-let-7b-5p,hsa-miR-181d-5p,0.07228915662650602
hsa-let-7d-5p,hsa-let-7e-5p,0.07194244604316546
hsa-miR-200c-3p,hsa-let-7b-5p,0.07142857142857142
hsa-miR-181a-5p,hsa-miR-129-5p,0.07142857142857142
hsa-miR-150-5p,hsa-miR-582-5p,0.07142857142857142
hsa-miR-30c-5p,hsa-miR-497-5p,0.07142857142857142
hsa-miR-182-5p,hsa-miR-370-5p,0.07142857142857142
hsa-miR-200a-3p,hsa-miR-31-5p,0.06976744186046512
hsa-miR-200a-3p,hsa-miR-182-5p,0.06896551724137931
hsa-miR-16-5p,hsa-miR-107,0.06845238095238096
hsa-miR-16-5p,hsa-miR-15b-5p,0.06827309236947791
hsa-miR-200c-3p,hsa-miR-181d-5p,0.06779661016949153
hsa-miR-146b-5p,hsa-miR-205-5p,0.06666666666666667
hsa-miR-381-3p,hsa-miR-221-3p,0.06666666666666667
hsa-miR-146b-5p,hsa-miR-30d-5p,0.06666666666666667
hsa-miR-320b,hsa-miR-19b-3p,0.06666666666666667
hsa-miR-370-5p,hsa-miR-493-5p,0.06666666666666667
hsa-miR-196a-5p,hsa-miR-148a-3p,0.06666666666666667
hsa-miR-181a-5p,hsa-miR-342-3p,0.06666666666666667
hsa-miR-150-5p,hsa-miR-328-3p,0.06666666666666667
hsa-miR-93-5p,hsa-miR-106b-5p,0.06666666666666667
hsa-miR-200c-3p,hsa-miR-30a-5p,0.06521739130434782
hsa-miR-15a-5p,hsa-miR-15b-5p,0.06462585034013606
hsa-miR-141-3p,hsa-let-7c-5p,0.06451612903225806
hsa-miR-30e-5p,hsa-miR-181b-5p,0.06382978723404255
hsa-miR-135b-5p,hsa-miR-429,0.06382978723404255
hsa-miR-9-5p,hsa-miR-154-5p,0.0625
hsa-miR-381-3p,hsa-miR-222-3p,0.0625
hsa-miR-410-3p,hsa-miR-96-5p,0.0625
hsa-miR-196a-5p,hsa-miR-30e-5p,0.0625
hsa-miR-196a-5p,hsa-miR-187-3p,0.0625
hsa-miR-21-5p,hsa-miR-130a-3p,0.0625
hsa-miR-429,hsa-miR-21-5p,0.0625
hsa-miR-200a-3p,hsa-let-7b-5p,0.06172839506172839
hsa-miR-20b-5p,hsa-miR-15a-5p,0.06060606060606061
hsa-miR-152-3p,hsa-miR-148b-3p,0.060240963855421686
hsa-miR-106b-5p,hsa-miR-142-5p,0.05970149253731343
hsa-miR-30c-5p,hsa-miR-320b,0.058823529411764705
hsa-miR-200a-3p,hsa-miR-135b-5p,0.058823529411764705
hsa-miR-424-5p,hsa-miR-100-5p,0.058823529411764705
hsa-miR-200a-3p,hsa-miR-30d-5p,0.058823529411764705
hsa-miR-34c-5p,hsa-miR-222-3p,0.058823529411764705
hsa-miR-200b-3p,hsa-miR-181b-5p,0.058823529411764705
hsa-miR-200b-3p,hsa-miR-135a-5p,0.058823529411764705
hsa-miR-141-3p,hsa-let-7b-5p,0.05747126436781609
hsa-miR-200c-3p,hsa-miR-222-3p,0.05714285714285714
hsa-miR-181c-5p,hsa-miR-196a-5p,0.05714285714285714
hsa-miR-301a-3p,hsa-miR-130b-3p,0.05714285714285714
hsa-miR-532-3p,hsa-miR-1306-5p,0.05714285714285714
hsa-miR-200c-3p,hsa-miR-195-5p,0.056338028169014086
hsa-miR-18a-5p,hsa-miR-106a-5p,0.056291390728476824
hsa-miR-193b-3p,hsa-miR-152-3p,0.055944055944055944
hsa-miR-200a-3p,hsa-miR-21-5p,0.05555555555555555
hsa-miR-429,hsa-miR-135a-5p,0.05555555555555555
hsa-miR-196a-5p,hsa-miR-455-5p,0.05555555555555555
hsa-miR-381-3p,hsa-miR-199a-3p,0.05555555555555555
hsa-miR-181c-5p,hsa-miR-30a-5p,0.05555555555555555
hsa-miR-381-3p,hsa-miR-199b-3p,0.05555555555555555
hsa-miR-381-3p,hsa-miR-132-3p,0.05555555555555555
hsa-miR-31-5p,hsa-miR-187-3p,0.05555555555555555
hsa-miR-181a-5p,hsa-miR-30d-5p,0.05555555555555555
hsa-miR-181a-5p,hsa-miR-205-5p,0.05555555555555555
hsa-miR-424-5p,hsa-miR-212-3p,0.05555555555555555
hsa-miR-181c-5p,hsa-miR-424-5p,0.05555555555555555
hsa-let-7d-5p,hsa-miR-17-5p,0.054878048780487805
hsa-miR-182-5p,hsa-miR-195-5p,0.0547945205479452
hsa-miR-429,hsa-miR-182-5p,0.05454545454545454
hsa-miR-135b-5p,hsa-miR-181b-5p,0.05454545454545454
hsa-miR-135b-5p,hsa-miR-200c-3p,0.05454545454545454
hsa-miR-181d-5p,hsa-miR-146b-5p,0.05405405405405406
hsa-miR-181d-5p,hsa-miR-30d-5p,0.05405405405405406
hsa-miR-200a-3p,hsa-miR-181a-5p,0.05405405405405406
hsa-miR-200b-3p,hsa-let-7b-5p,0.053763440860215055
hsa-miR-200a-3p,hsa-miR-181d-5p,0.05357142857142857
hsa-miR-1306-5p,hsa-miR-150-5p,0.05263157894736842
hsa-miR-381-3p,hsa-miR-205-5p,0.05263157894736842
hsa-miR-542-3p,hsa-miR-96-5p,0.05263157894736842
hsa-miR-200c-3p,hsa-miR-30d-5p,0.05263157894736842
hsa-miR-200a-3p,hsa-miR-181b-5p,0.05263157894736842
hsa-miR-31-5p,hsa-miR-410-3p,0.05263157894736842
hsa-miR-342-3p,hsa-miR-96-5p,0.05263157894736842
hsa-miR-20b-5p,hsa-miR-16-5p,0.052346570397111915
hsa-miR-106b-5p,hsa-miR-148b-3p,0.05194805194805195
hsa-miR-429,hsa-miR-30a-5p,0.05128205128205128
hsa-miR-363-3p,hsa-miR-16-5p,0.05067567567567568
