accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000062,hsa-let-7a-5p,MMP11,-0.3399863294600136,0.0051780132770078
MIMAT0000062,hsa-let-7a-5p,SNX17,-0.3256322624743678,0.0071626351523462
MIMAT0000062,hsa-let-7a-5p,GIPC1,-0.4277511961722489,0.0005038145488281
MIMAT0000062,hsa-let-7a-5p,SURF4,-0.4029391660970608,0.0010385369767887
MIMAT0000063,hsa-let-7b-5p,FAM214B,-0.6013670539986331,4.758972847914999e-07
MIMAT0000063,hsa-let-7b-5p,IGF1,-0.5452494873547505,6.953208235333164e-06
MIMAT0000063,hsa-let-7b-5p,RRAGD,-0.3108680792891319,0.0098514263055251
MIMAT0000063,hsa-let-7b-5p,ADRB1,-0.544565960355434,7.163062079120235e-06
MIMAT0000063,hsa-let-7b-5p,EPHA3,-0.387218045112782,0.0015977617664975
MIMAT0000063,hsa-let-7b-5p,ATP2B4,-0.5328092959671907,1.182663185852788e-05
MIMAT0000063,hsa-let-7b-5p,BCAT1,-0.4810663021189337,8.733796799148122e-05
MIMAT0000063,hsa-let-7b-5p,TRHDE,-0.6260423786739577,1.2346505578095518e-07
MIMAT0000063,hsa-let-7b-5p,MGLL,-0.588174982911825,9.355518186483396e-07
MIMAT0000063,hsa-let-7b-5p,PLXNA2,-0.4414900888585099,0.0003294825165087
MIMAT0000063,hsa-let-7b-5p,ACER3,-0.6494190020505811,3.0713595686890886e-08
MIMAT0000063,hsa-let-7b-5p,MEF2C,-0.3408065618591935,0.0050806354772101
MIMAT0000063,hsa-let-7b-5p,ARHGAP28,-0.3634313055365687,0.0029511503471241
MIMAT0000063,hsa-let-7b-5p,SCD,-0.5541353383458648,4.695776073661878e-06
MIMAT0000063,hsa-let-7b-5p,GRK3,-0.5684210526315789,2.4386980713116915e-06
MIMAT0000063,hsa-let-7b-5p,PPP1R16B,-0.5732057416267943,1.944695094189651e-06
MIMAT0000063,hsa-let-7b-5p,KATNAL1,-0.3617908407382091,0.003073688023821
MIMAT0000063,hsa-let-7b-5p,ATP8B4,-0.6054682159945317,3.8330556461225147e-07
MIMAT0000063,hsa-let-7b-5p,NUMBL,-0.3393711551606288,0.0052521018808048
MIMAT0000063,hsa-let-7b-5p,SOX6,-0.4265892002734108,0.0005218178650888
MIMAT0000063,hsa-let-7b-5p,GHR,-0.574982911825017,1.7862500602534446e-06
MIMAT0000063,hsa-let-7b-5p,CERT1,-0.419958988380041,0.0006360613156484
MIMAT0000063,hsa-let-7b-5p,PCYOX1,-0.3810663021189337,0.0018806433371847
MIMAT0000063,hsa-let-7b-5p,ARID3A,-0.6045796308954204,4.01806256450353e-07
MIMAT0000063,hsa-let-7b-5p,PRRX1,-0.3312371838687628,0.006321292581157
MIMAT0000063,hsa-let-7b-5p,ATPAF1,-0.3970608339029391,0.001223013815066
MIMAT0000063,hsa-let-7b-5p,ACVR1C,-0.6425837320574163,4.6698140886491366e-08
MIMAT0000063,hsa-let-7b-5p,HIF3A,-0.5082023239917978,3.18628971563552e-05
MIMAT0000063,hsa-let-7b-5p,KLHL31,-0.6345864661654135,7.52595189162132e-08
MIMAT0000063,hsa-let-7b-5p,TNFSF9,-0.4225636118800813,0.0005887478047062
MIMAT0000063,hsa-let-7b-5p,GALNT15,-0.4531784005468215,0.0002263225378616
MIMAT0000063,hsa-let-7b-5p,SYT11,-0.4131237183868763,0.0007768539123174
MIMAT0000063,hsa-let-7b-5p,LYVE1,-0.4747778537252222,0.0001090331678977
MIMAT0000063,hsa-let-7b-5p,GNS,-0.4037593984962406,0.001014873721053
MIMAT0000063,hsa-let-7b-5p,CPM,-0.5719753930280246,2.061949230992476e-06
MIMAT0000063,hsa-let-7b-5p,PAX3,-0.468215994531784,0.0001368171402242
MIMAT0000063,hsa-let-7b-5p,ALPK3,-0.5466165413533836,6.550483469493497e-06
MIMAT0000063,hsa-let-7b-5p,ANGPTL2,-0.5216678058783323,1.870140266687185e-05
MIMAT0000063,hsa-let-7b-5p,RDX,-0.4565276828434724,0.0002027254090404
MIMAT0000063,hsa-let-7b-5p,DIPK2B,-0.5119617224880384,2.7520449492215107e-05
MIMAT0000063,hsa-let-7b-5p,DIAPH2,-0.579835953520164,1.412674691754459e-06
MIMAT0000063,hsa-let-7b-5p,TSPAN18,-0.4969924812030075,4.882674549895351e-05
MIMAT0000063,hsa-let-7b-5p,WNT9B,-0.3629528366370472,0.0029864406301761
MIMAT0000063,hsa-let-7b-5p,BTG2,-0.4433356117566644,0.000310787700481
MIMAT0000063,hsa-let-7b-5p,CCDC141,-0.5549555707450445,4.526096304194025e-06
MIMAT0000063,hsa-let-7b-5p,CD200R1,-0.4924128503075871,5.788347152224953e-05
MIMAT0000063,hsa-let-7b-5p,ANKRD33B,-0.4120300751879699,0.0008018013430644
MIMAT0000063,hsa-let-7b-5p,CFL2,-0.5437457279562543,7.422627547184208e-06
MIMAT0000063,hsa-let-7b-5p,TMEM135,-0.378673957621326,0.0020020686969713
MIMAT0000063,hsa-let-7b-5p,PARM1,-0.5543403964456596,4.652811382597248e-06
MIMAT0000063,hsa-let-7b-5p,CRTAP,-0.4155844155844156,0.0007232441135503
MIMAT0000063,hsa-let-7b-5p,HAS2,-0.4332877648667123,0.0004254728000183
MIMAT0000063,hsa-let-7b-5p,PDP2,-0.5723171565276828,2.028735251534643e-06
MIMAT0000063,hsa-let-7b-5p,BNC2,-0.511825017088175,2.766829737591351e-05
MIMAT0000063,hsa-let-7b-5p,FZD4,-0.6602187286397813,1.549997293380865e-08
MIMAT0000063,hsa-let-7b-5p,CADM2,-0.5814080656185919,1.3082169117562597e-06
MIMAT0000063,hsa-let-7b-5p,SLC9A9,-0.5380041011619958,9.498268383555256e-06
MIMAT0000063,hsa-let-7b-5p,FIGN,-0.4347231715652768,0.0004070423538965
MIMAT0000063,hsa-let-7b-5p,PLCXD3,-0.5294600136705401,1.3596422360923262e-05
MIMAT0000063,hsa-let-7b-5p,GJC1,-0.5982911825017088,5.586414710304474e-07
MIMAT0000063,hsa-let-7b-5p,TOB2,-0.374231032125769,0.0022460309153516
MIMAT0000063,hsa-let-7b-5p,SNN,-0.5162679425837321,2.3219159404858663e-05
MIMAT0000063,hsa-let-7b-5p,NAT8L,-0.544565960355434,7.163062079120235e-06
MIMAT0000063,hsa-let-7b-5p,COL4A1,-0.590498974709501,8.323299709704628e-07
MIMAT0000063,hsa-let-7b-5p,DCUN1D3,-0.3999316473000684,0.0011295658010124
MIMAT0000063,hsa-let-7b-5p,ITSN1,-0.6037593984962406,4.196221642099074e-07
MIMAT0000063,hsa-let-7b-5p,VGLL3,-0.4683526999316473,0.0001361779761235
MIMAT0000063,hsa-let-7b-5p,ITGA1,-0.3642515379357485,0.0028915019106319
MIMAT0000063,hsa-let-7b-5p,TMEM233,-0.4613807245386193,0.0001724824179282
MIMAT0000063,hsa-let-7b-5p,SMIM3,-0.5555023923444976,4.416157221260856e-06
MIMAT0000064,hsa-let-7c-5p,FAM214B,-0.4498974709501026,0.000251825646735
MIMAT0000064,hsa-let-7c-5p,ADIPOR2,-0.3118933697881066,0.0096403908625949
MIMAT0000064,hsa-let-7c-5p,IGF1,-0.3966507177033493,0.0012369100197113
MIMAT0000064,hsa-let-7c-5p,GAB2,-0.3200956937799043,0.0080861865809258
MIMAT0000064,hsa-let-7c-5p,EPHA3,-0.3648667122351333,0.0028474613842714
MIMAT0000064,hsa-let-7c-5p,GYG2,-0.4861927546138073,7.265437779342968e-05
MIMAT0000064,hsa-let-7c-5p,ATP2B4,-0.3911825017088175,0.0014360750738476
MIMAT0000064,hsa-let-7c-5p,BCAT1,-0.3879699248120301,0.0015659126076615
MIMAT0000064,hsa-let-7c-5p,TRHDE,-0.5064935064935066,3.403786135944992e-05
MIMAT0000064,hsa-let-7c-5p,MGLL,-0.4178400546821599,0.0006770381082914
MIMAT0000064,hsa-let-7c-5p,ACER3,-0.3879699248120301,0.0015659126076615
MIMAT0000064,hsa-let-7c-5p,SCD,-0.3675324675324676,0.0026633408945518
MIMAT0000064,hsa-let-7c-5p,PPP1R16B,-0.4444976076555024,0.0002995143816125
MIMAT0000064,hsa-let-7c-5p,ATP8B4,-0.3687628161312372,0.0025819456775536
MIMAT0000064,hsa-let-7c-5p,NUMBL,-0.3420369104579631,0.0049375404049964
MIMAT0000064,hsa-let-7c-5p,GHR,-0.3785372522214628,0.0020092115862376
MIMAT0000064,hsa-let-7c-5p,NNT,-0.3255639097744361,0.0071734606871509
MIMAT0000064,hsa-let-7c-5p,HBEGF,-0.403691045796309,0.0010168271349233
MIMAT0000064,hsa-let-7c-5p,ATPAF1,-0.3396445659603554,0.0052190612401753
MIMAT0000064,hsa-let-7c-5p,HIF3A,-0.3605604921394395,0.0031684909131939
MIMAT0000064,hsa-let-7c-5p,KLHL31,-0.4782638414217362,9.646598037101095e-05
MIMAT0000064,hsa-let-7c-5p,TNFSF9,-0.3634716930074947,0.0029481882851804
MIMAT0000064,hsa-let-7c-5p,PXDN,-0.5125768967874232,2.6864088862584143e-05
MIMAT0000064,hsa-let-7c-5p,GALNT15,-0.4223513328776487,0.0005924821008124
MIMAT0000064,hsa-let-7c-5p,SYT11,-0.3779904306220096,0.0020380084508685
MIMAT0000064,hsa-let-7c-5p,LYVE1,-0.3610389610389611,0.0031313235237493
MIMAT0000064,hsa-let-7c-5p,CTIF,-0.3938482570061518,0.0013356832647277
