miRNA_region_id,d2d4e49b-9070-4123-a0a1-26c1ae412f90,740e84ea-f42a-4e1c-99bd-39f35627be12,118c6c30-50e6-47e2-8a1e-2f0af7b992ef,5a79be00-de6f-44ab-a0ac-29ec7bbd2087,8dbb8398-24b8-4204-bd68-97b22c3353a0,8a37c9f4-a187-4536-9c29-41a3aecba27d,54f6fcc7-e68d-42dc-b1c9-90fa90b083b6,5fab925b-4cc8-4126-8fb9-8f7655f7bde1,3f7848d9-ee82-4648-92d8-e0188275abf4,0bc59ba8-158b-4309-b4d5-bb541f892fbf,a3ee5904-e876-4ee4-a9b0-ff5d0b3d275f,193602bb-7069-4a72-8131-804a0bd923f5,f084f7fb-d15c-43bb-bb99-f056b771fa62,c4393731-c0be-451e-a40d-b73b3754de1a,244aedc7-2e00-4543-a9de-c1e4ae0c92bf,fe9a6609-5a92-436b-8d60-140e4cd7dc9b,5338c9ca-40ab-4fa9-9b55-dccb572321ca,4cb946b2-4aec-4300-9c26-0fc36d0b95d0,187a4656-8ce6-4df5-82fa-93a0a6bf9248,813b35dc-d0ed-43f0-93f7-abb9bb6f197a,dafd5e8a-1a86-42fb-88e2-92fd09d596da,0563f81d-6fe3-4648-be83-ffcfb27df35f,90825e80-0e8b-4430-89d2-207cf4be6619,d3beada8-7594-46d9-8e60-7c5637ba157c,dc77fc58-c2e0-40b8-940d-b5e7ad227d92,59cab2cc-e8c4-42c3-a47c-1056cc7fd1af,a473ce1d-15e1-4ca2-bcba-fa36367a7f0d,989c8235-bae1-4452-a4cd-156b600f8233,60f0ab3d-cce7-44c8-b56e-dc96f5c44a9b,2a86ab10-4cd3-47d3-8f09-f92165a6da71,d883c427-a678-4ff1-b7de-49ba0d305b2f,f4c820c4-0ed2-4e06-9bc4-24f0259fa80a,6874f5d8-0d77-46df-89a7-51e7b1351075,563757fe-ab75-4fed-bda6-014e6e2ddb53,807ab4ca-7f1c-4df0-a657-00f77d5b8eb1,d0f845cb-f147-4d1b-9759-b842c3894b95,9829840b-4803-4e25-8325-a74a2ca16dc2,4af362e9-6809-4f30-a59c-49627ab987c2,9042f38b-948f-4f8d-a1e1-8f7050550500,7d31346d-1d85-4ffd-ab8d-0f8cec91f81b,8eb51180-16da-4fd3-9054-92d6f9f88da1,a9a3d49c-6d6d-4989-b3ec-c0679684621a,dab318b3-2e82-4f0b-92db-3a4b7e98bcec,bcb36504-3626-47e9-bf05-de36428737c4,e6c86b12-3456-4c01-b1f3-bb0c385e7c63,44877412-0b2c-4dbf-a414-94ef673887f6,c0f81986-03c5-494e-9a43-27e1d6ae140d,f7361347-012a-4bcc-8fac-5e649cb43430,97911982-e3ec-49cd-b7e3-3fd0b5e7cd43,e7b54d74-6e25-460a-bee5-d07b4d410773,ae89d22f-6bff-493e-8ec8-59987ccc1785,0983589f-38ab-4ffe-aa77-0936d573b23a,2355503e-8013-4092-9733-eabd4ca15ce6,efa0d6a5-c470-4963-b530-641084d80e4b,d8f4fee7-bb7b-48d1-8d15-7ee33cc5f339,ed578987-fae3-426c-9435-c72ab01d4b82,c37cdc8b-c959-47cf-8475-85b3dc948a60,2f539f92-b73d-4e77-ba07-f94b1fb254f6,8f45a07f-25c0-4820-b3b9-e2e0bbc54940,841108cf-9214-42f6-bd8d-1cd80c14e943,809f13dc-caad-4bde-9b5e-606e5d229d42,003bb8e8-01b8-4c6a-82b6-d0b003d5143b,f6bfc040-7f92-4499-b5b3-68615c2e7b33,cd88f5a8-72ec-466b-9c0c-cd829a3d3624,e0aeb03a-23d3-4013-b7e1-c120e03f10df,acd05696-1ab3-4e43-8520-2a141acb9e25,448acb1c-e015-4b7d-9afa-2f7a711ec5a4,597d6fb5-0322-4689-99c7-50fa624944b9,f697950a-6bbf-430c-98f2-ee7e61840a5f,1ffe7970-0f26-4dbb-a868-82f62c81ceca,080fe4c3-1515-46fa-95b9-46e630d31b6c,e70cc642-063e-4ea4-8fcc-9f5cfe3ce9a9,0a4647df-3e2f-445a-88a5-01c2e6a811c8,4d85e3a8-263a-4f3a-8b40-0aa1f20944d3,bf63f154-6eb1-4a9e-a683-3aa4cdbb7125,5cf76542-49f0-4d0c-8427-437c55f51f61,e4617ffc-d0b4-4ebd-88fc-0b5e9d2eefbf,a8ae4c3f-e77d-4664-b9ae-278d0b6e4e81,22a58527-ff76-4eb6-a212-a7600e6d8963,f9b78f39-e96f-4ca4-9149-5c19c68b0d5e,5cc5f8c9-a224-4d70-b406-89f0d35cd711,6ede932d-8018-4760-8001-179f8bfd3861,e6a87bcc-c44d-4a20-8f52-e9c4f2923246,95434759-f95d-4e7a-bc24-c8d8a2dc6d2c,f83b6eb6-444b-4fe0-9f53-3f152537500d,5359d1b9-dfba-4f3e-b0c4-7fbf51dfb72c,0961f723-1c0b-4a2a-8a86-861bf407085b,non_zero_samples,%_non_zero_samples
MIMAT0000062,15553.368251,28051.84435,22048.672126999998,17824.986102000003,15647.255996,14471.782204,26376.180174999998,33565.565703,19392.008713,26489.421077,24042.776002,21894.870481,36884.403185,13424.641381000001,23581.48073,27344.542911,38540.295198,23675.069602,10262.995255,43373.138376,36067.417159,23427.688706,26219.033969,17704.213912,21022.916806999998,16682.48001,19676.811614,24021.841657,30577.157094,37318.371199,11182.821784,23294.592233,36746.893033,30373.083049,25558.088859,29476.93472,31382.52664,18851.943836,15602.806322999999,35594.682244999996,13156.910635999999,16409.095007,16618.005087999998,34667.731932,85291.610326,13606.071302,19561.893122999998,32642.039713,18173.317868,20224.012785,20219.166489,8366.300696,24948.490560000002,16791.232198,24349.789688,50049.856249000004,33950.610998,56261.432706,23455.610809,69735.314663,30965.575402000002,11368.652848,13552.977189000001,33975.216371,16577.869384,38684.843211,22634.492048,24642.793976,31719.339537,20971.152224999998,14424.051032000001,23444.011081,27519.255452999998,29138.407825,14708.402868,27070.081850000002,12346.031078,29492.822530999998,16926.217651,16952.773275,26947.180685,19929.142465,13744.344501000001,39048.494316,20151.3959,34113.267388,47203.619106,87,100.0
MIMAT0000063,22802.223128,21144.827882999998,55349.948544,11319.562962,11170.621439,9808.259422,16171.567367,14136.322963999999,32638.797145,30582.02936,40626.08326200001,30658.565935,23211.973287,10658.127529,19823.577403,7926.714363,35759.99414,56500.264317999994,7054.410027,40461.295862,26096.599691,26597.342416,27485.108188000002,10921.090537,16603.238027,28097.809675,11515.936381000001,13833.962582999999,24073.278455,45445.129825,12456.754252,16963.463467,21349.647699999998,21536.031186,73323.100741,11588.112293,20581.348805,29583.110661,14127.592753,40232.54357,9235.987692,19687.780688,24790.001212,21944.73165,35979.435191,32261.288881,17396.343352,22431.637397,19607.566918999997,18971.53601,10878.231941,6656.786907000001,44736.793465,18943.710404,53226.541465999995,54908.493821,22311.927497999997,53436.130878,10994.79705,46417.647731000005,17273.217043,11651.164728000002,15902.888547000002,25766.411640000002,14841.832503,15060.884485,18892.534202,20140.787292,26016.764006999998,29492.534947,13423.787865,36679.68412,22870.686857,16257.541654,28128.765375,14372.895561,19979.394153,12088.587835,15564.777016,28824.284048,17090.933109,33958.088836,18232.475514,29848.559887,23865.539337000002,18967.999927999997,44226.48627,87,100.0
MIMAT0000064,2354.167968,4128.726318,2088.144487,3789.777733,2504.695533,1654.3372080000001,966.1119679999999,893.414832,3087.5660669999997,5692.700543,837.016166,1738.545108,1106.602731,8357.321725,2516.826434,1642.03272,1348.081414,1204.740006,3020.691497,1033.457117,1331.602955,2950.095121,2269.770278,1078.397993,3231.811643,4274.3578959999995,5027.663124,864.8559859999999,1274.19616,4603.07312,1704.884641,2145.609302,2000.5626479999999,1473.457454,1760.225474,1374.2542080000003,7348.836701,743.905074,6467.641719,1016.7155750000001,1951.04523,2560.6300029999998,2755.869704,2817.934018,1038.799923,1988.831156,2157.04716,2625.468855,2438.839715,2470.560589,1723.7813689999998,1591.8822699999998,855.291506,3709.918934,8279.511492000001,8117.6055320000005,3371.916999,584.023477,3659.461324,356.032453,2118.817497,10501.942215000001,563.568861,4693.332455,2782.7901460000003,2719.203631,2975.683941,1806.573673,4636.011634,2584.782983,2718.9924250000004,4824.264335,902.841145,893.825862,1896.299542,6929.496188,814.115007,2311.969583,2726.562082,1740.972135,6489.088522,1851.4567020000002,6207.287520000001,3280.272327,2868.103948,4058.9809600000003,244.524699,87,100.0
MIMAT0000065,239.877328,218.789506,320.830616,581.859378,239.24713699999998,255.84473300000002,176.458806,263.585122,420.427456,412.620012,838.223982,712.3114909999999,244.865286,636.7373150000001,1061.594943,155.74132799999998,719.5376759999999,605.7732219999999,594.8635469999999,139.74757599999998,625.642023,122.29485400000002,344.335761,586.186338,494.396639,214.015139,96.825,668.2412439999999,707.09771,409.808993,478.262292,314.184448,411.192791,256.449711,413.870964,450.927163,1062.68061,306.41270399999996,418.972398,509.160882,232.98471800000002,653.6482390000001,332.89646799999997,450.23028500000004,263.431702,232.606367,442.135803,365.170478,379.472895,353.483147,455.451249,312.39846,450.752134,408.976802,429.473547,168.580003,809.280421,482.651527,466.78812,160.805998,1148.882623,296.999662,298.520718,647.7819420000001,137.685684,388.828965,300.39192099999997,477.98928399999994,286.951517,604.190147,303.921637,466.64769700000005,707.579998,707.80919,461.349123,728.445288,362.442161,874.955904,346.916606,479.79547,966.055933,336.628491,319.399172,524.913328,421.514333,412.347825,452.99539,87,100.0
MIMAT0000066,791.000438,1081.156769,901.306542,1678.61454,646.213915,4052.881602,1988.690755,2023.158605,577.464589,1077.738841,1074.9558260000001,858.169895,1232.1746699999999,1118.6238130000002,3109.320826,1204.39959,1551.259659,1165.035769,1822.9689309999999,1333.661302,903.939994,1302.3328999999999,1830.1018880000001,1067.614014,1012.706052,577.840872,836.1138289999999,1423.590283,959.197825,1156.646688,621.4829229999999,713.261124,277.366264,828.435145,1280.112509,380.37393299999997,1209.6354099999999,638.593211,699.9188459999999,1019.1248539999999,992.7408839999999,1878.259534,718.2634810000001,699.313846,2666.520349,468.015223,604.33947,1664.8236200000001,324.004699,827.341636,1525.343291,126.30925400000001,830.407714,483.876623,1076.598843,888.9098299999999,2234.549915,1325.9047679999999,1693.173797,1772.7199970000001,2102.636053,348.559146,795.14443,917.759678,820.9829579999999,955.438018,1451.763568,1964.648868,1046.253356,899.6679,1122.530491,837.6158330000001,841.9428680000001,927.7187289999999,1284.174307,2134.7295919999997,547.342858,1110.353813,1020.045245,1021.278929,1676.974015,273.165742,789.590387,1783.1358069999999,1012.838725,1292.119809,1435.377833,87,100.0
MIMAT0000067,2262.974937,9639.192533,3209.09057,4282.050673,2994.288901,3999.07896,2695.408277,11082.652627,4200.120143,3979.5156819999997,2686.181751,3903.345074,9435.161717,3123.595219,6049.357539,6663.133075,8976.925867,3368.053746,5160.281344999999,7832.230499,10256.160953,5902.3357670000005,6844.028989,4577.799479,3994.0313690000003,2493.276361,2922.467998,5370.817891,13705.217356,3537.121863,2319.486094,7118.046377000001,9421.819049,8340.975538,3933.755737,4186.158278,4946.016047,2473.1482739999997,2836.87387,10200.082561000001,2584.3547270000004,3202.9634300000002,2861.393802,7277.939657,21785.22107,2154.177851,5882.499137,6947.819684,5538.895535,6598.670524,11498.649786,1801.112104,2910.692789,4051.7236740000003,3132.630567,7524.630902999999,15705.43209,15448.37923,9355.458169000001,8531.754872,7915.582352,2066.6404110000003,2601.2972369999998,13654.453189999998,1626.5724870000001,20062.638895,3355.2914849999997,4976.859552,6820.176178,3102.660253,3970.776946,3526.715158,5186.98671,18362.446385,2445.279222,5811.168731,2800.187662,13989.154308,3797.218508,2865.0643800000003,5440.463707,2503.5594340000002,3688.3605709999997,9797.219524,3249.875502,15610.517553,4281.502542,87,100.0
MIMAT0000068,239.877328,126.561313,118.44846600000001,248.85120999999998,192.384296,142.219573,178.223396,217.72294200000002,131.279718,153.40282399999998,234.316216,141.939821,62.001148,194.141323,275.341626,139.648056,133.063051,190.58034,307.026349,199.80375199999997,63.409665,75.808506,289.12821,167.921973,353.90907999999996,247.306382,209.995456,303.63289199999997,169.926639,108.61058,151.392379,156.05187899999999,158.649188,144.022158,100.212258,283.235428,50.447171000000004,112.594064,141.941583,249.761883,104.923833,175.814839,177.233846,180.468089,206.764862,57.918051,169.39818499999998,77.013754,102.13191499999999,164.321896,168.552824,141.73633900000002,118.020277,168.821818,219.59507299999999,101.221616,186.170104,149.788404,164.130845,102.198194,451.176773,89.483399,209.032815,179.024868,100.912491,171.022365,189.803773,134.865744,159.880427,136.662059,229.396792,176.251826,317.057705,69.756251,281.577606,178.903882,289.769749,86.916149,119.626418,98.24383300000001,170.917588,171.993245,107.526814,237.170141,117.421848,179.722779,207.39978100000002,87,100.0
MIMAT0000069,1026.91285,737.488935,1361.765152,1063.273357,1097.5770690000002,387.15328200000005,803.769863,417.166297,2641.381194,1712.065132,2688.597382,1198.215906,557.22549,1194.89362,1817.254742,400.25521000000003,661.26416,3075.376795,3372.492523,591.9713509999999,741.8930770000001,422.668176,1610.979127,1368.795167,1746.230449,3028.314206,419.990915,1470.877374,876.009857,885.680088,859.753887,1216.372378,1114.141796,444.376061,2071.619494,1866.0817909999998,1166.864986,1118.098283,1779.6537899999998,994.228975,676.893244,2140.2410480000003,2808.923256,1119.466116,961.263106,837.0092569999999,1145.236376,673.22549,677.944616,731.8056539999999,1528.929519,740.5000530000001,1921.73977,2754.6489890000003,2470.930377,389.79524599999996,1605.844306,1413.15525,707.732201,469.128246,2159.747038,360.06415,2436.666816,1507.924425,1776.230839,1010.019624,632.940678,1186.191262,402.044593,884.419292,1503.305877,1740.6966280000001,1869.480488,723.573315,2761.0069759999997,955.104389,1153.559571,465.725697,1363.281046,739.113497,1354.955371,1388.822465,1346.312048,652.21789,959.246185,1226.897837,2265.6908909999997,87,100.0
MIMAT0000070,1598.851763,504.56226300000003,553.805413,2334.676825,1144.43991,296.478899,3223.020109,2039.806086,735.3326050000001,750.7780720000001,513.321604,1759.0088240000002,434.79284900000005,582.423969,6920.252909,1621.267209,666.250127,3243.2689989999994,2552.1565,2961.6208800000004,1548.6049189999999,460.572428,612.689995,1423.485351,2678.2308849999995,567.140117,1697.681648,3015.174178,1664.266559,2004.257085,501.91735199999994,848.089946,743.240862,1872.288045,1197.451551,10202.610471,2378.6937479999997,1735.40506,3439.880884,3498.272548,582.192758,2550.18556,1413.20672,1671.209702,181.333888,415.70214400000003,337.488274,1127.201296,1192.125985,2758.1239029999997,1183.456002,4016.827094,760.0221290000001,348.343613,581.052446,157.905723,844.886727,704.055935,1071.446156,198.01730500000002,6574.426083,347.706923,2067.102265,936.691043,2879.426681,272.388206,3461.1737569999996,645.4737200000001,1140.515104,1580.676505,1046.841196,981.1351759999999,2978.215814,949.000295,2255.8425709999997,769.072861,946.581179,5138.193055000001,407.189916,1159.50572,1408.6251450000002,1352.0324640000001,320.035426,976.582934,336.007138,442.78474800000004,1181.5719040000001,87,100.0
MIMAT0000071,323.14052999999996,241.34165700000003,127.077164,368.29979399999996,226.91481000000002,79.76335800000001,530.258715,1246.112935,287.485968,299.527416,59.182961999999996,734.516802,401.04538700000006,128.271945,913.726291,264.760255,391.086956,344.859665,557.2848,1448.404646,624.937471,150.901836,204.324857,365.885032,459.125295,117.708326,657.187212,375.80792299999996,452.461374,968.537643,156.983576,241.776376,321.975107,597.835567,463.127835,916.169471,199.595326,484.546602,487.495923,1084.175377,116.761394,535.277852,437.254554,549.86371,88.455556,217.659774,183.78722000000002,538.359299,328.40693600000003,766.1986049999999,420.784355,507.16540000000003,317.80158400000005,143.855212,206.963496,98.645067,271.116571,363.627743,231.75275299999998,209.313592,508.287756,97.579515,418.74874300000005,296.728575,1179.3078110000001,77.45389899999999,717.646495,264.08594500000004,361.94428999999997,547.799065,142.062986,338.235649,457.220408,264.83729200000005,407.224365,165.361357,166.502618,1645.612434,171.157796,365.558453,217.156163,412.967739,181.96845199999998,333.084538,140.90622,120.298311,749.6377630000001,87,100.0
