mirna,1d47e720-1a02-45f4-b0dc-99861916e3e1,e1271843-3bd3-4f0b-8e6f-fc763ad65776,8b18c127-13dc-4ca5-b3e8-38ccbd21b010,9adf1983-85b9-4ef6-aff4-dea772ff91a2,3cdba1e4-b7d4-47ea-8cae-68a8262515d4,6b1c475e-b897-457e-a6b7-3aad397202b4,b5e2d74c-1626-42de-b97c-4e988e44f9f5,5221cacc-3d04-4a17-8822-6fd9b4bfb2a4,d3ed4500-368c-42a3-998b-7aca451db233,0ebe924f-9ca9-45fc-8947-67fc6e1fb3d8,90d43b1a-edaa-4a07-8527-54f69ea47b95,a607c74a-4ed5-4e2b-bf5b-3cc9e3214335,914d3584-13d3-4509-8701-9dc9a92145f8,5ca43c0a-c892-4137-9cd2-18440dc47b58,bdea9be8-e4d9-4bfb-b416-654b02fd43d1,436a2acf-c97a-4423-999d-cfd752a70df9,99b5d58c-f91c-46d7-8c57-fe017a14f81b,ca75d3d9-83e8-4672-85cd-601917ac452e,588e3a31-b4c2-41ed-bb23-5ffa1c150ec7,bb7f69e5-2fff-4178-bc7b-93a41fbe6123,069ed9fe-e992-43e8-993f-05bb474ace15,11158ce6-cd7a-4450-8b57-395270b20a70,83b2db75-facd-476a-ad40-6181717b928c,b91d66a1-c76f-4256-9eaf-411146e5c9df,4d6a370d-5a30-4f34-b8ff-d4490afcec73,382047a4-54a9-412e-bfaf-aac8baf48726,89bbfa2d-ba3d-4f14-bf01-7292e5958215,11b8df13-22dd-4ca1-a819-a5c350b80e63,59be0bad-0e14-44e0-a72c-0564c85ea006,9993fdc8-ba90-4daa-8260-8e1a0941eff1,347a8e69-dab4-4920-a395-8ee80256d0ff,eef375b2-7441-4069-94fd-1035eb1f30f6,82c32328-fe75-4968-9bdb-5c8fb341e394,ad23a161-5387-4756-9a64-65bff938d85f,704072c3-be9e-4221-9847-f558ccde7a5b,cebd233b-8463-4cc6-95c3-9150170b18de,747873af-ecdc-4cf5-9486-c3008456c685,046b15a8-38d3-41fc-b55f-04dd591a8e14,ed717bf7-f59f-4563-992d-36119b9bede0,1d1d18b8-76d7-473e-bfc5-06d0a4f53a5d,7106897f-1108-4f59-a5cd-8164994ab6d6,24a2cd1a-ff32-4704-ae91-088c7a94de24,8e6ba6ce-5f0b-424d-bf39-2b2bf2f9adf7,98fe188d-1922-4a7d-adc4-8dee37d92b4c,002f73df-6c1d-4187-bab8-09908ed64a75,6ab4fc21-5a56-475e-84fe-ff08724120f2,6a94d33d-a3eb-4d5a-9173-3f0b0c049b15,45f252ae-f837-4a81-bf3a-3e950f2ea5f8,c2c9e2dd-74cc-4f23-964b-2094b2f5c4fd,cab62404-4930-4260-b047-0029de7fad38,e35f3c2a-1324-4b50-9096-5e59cf80da93,ddcfa2c6-4647-4606-8b94-7ce79db9218e,1fe883a5-e6ba-44ab-b24f-cfe19b68fc0c,499cf32f-6122-4773-affe-92d1a26786ab,04d487db-ee31-431d-ad5f-29645cf75e1b,e83786fa-9cf0-404a-a326-7f5be3b22086,7f73cf13-d6a3-4a76-a5db-aaac249bcdae,4582abaa-1674-46f5-b049-96d9225759e2,17b9f0f0-b59b-4fd1-bf48-80d319ee27ff,fc694e52-9335-488f-834d-1a9e178002ec,f406213e-322a-43df-9c2f-0e1583cd0d6a,7fdf1402-fbd8-4d8e-9b84-e4a01495f3f8,144c5bf9-5214-4911-a403-01f9b479ab63,149a17a7-398c-4bd9-a871-7ab9ef9e6879,06dd8f8a-0c1b-4cbb-b66f-4e38230236d7,ece77ba5-55bd-4937-80de-834b8e6c873b,dac284f7-3121-43b1-a210-8ea6113d3642,707a22be-e7f0-4d3e-91d4-deb6e30628c0,fb336b62-9f4e-4cb8-b987-99cb4ef60da5,127aed4a-3eee-4e1d-aafd-0ca61759856a,f20fdb15-6b29-46af-bc5b-ea583dfa13c2,9189e175-f476-48b8-a192-9727ad0e872a,3cb4c6d3-ee1b-4869-9ffa-df20bfb95c77,e9d4139d-0b14-49ef-ab6c-297c5efd71d5,600a260b-0e31-4158-ab13-414d41ef7d35,702e5fa4-0acc-442c-9fa3-4cca9f4f54bc,711608f3-1b39-45ae-9f55-248cbf2a707b,c0e35d10-7d8e-4968-8213-f81c8fc5632a,d6fbf4b2-a073-45cd-a63c-0b34ba0b5fd1,099fa24d-d952-4617-935c-a8d9439a5a11,e68bb5da-1d15-4de9-b8d4-eac78a205699,dda41694-ea43-4044-a1a6-7c445734c36c,9e73d394-b8e3-4ee2-bb35-a1fb43fd280f,73a1ad6d-17fa-4f62-9275-8c6a5c0c1f2d,de750a3e-5286-44ec-a701-bcaa7a06e569,0b9c4345-bf3a-4de7-a022-4039f93d7b27,3e4b3c1f-cbb8-487f-9c9e-01291970ade3,aa4061d1-8b1e-4aed-b0d7-fe3a5466737e,b5604d13-4cde-44fa-be67-203bc5da0caf,788a05e5-5fee-4430-b303-d4bc30649158
hsa-let-7a-1,12807,6625,14050,9217,9647,37461,10941,6618,8235,2954,14986,8433,30832,10939,6481,22340,4191,20060,7554,52086,9875,44086,8567,6280,13546,7720,7774,9584,34141,12365,24943,15643,11881,4264,10839,24713,10850,9585,17185,4951,206124,15666,9537,5281,5641,3927,175574,45328,4604,6875,7020,68541,11309,4446,15037,4077,6467,12482,13063,12675,7231,41293,24505,16814,7240,9683,9951,18621,7284,4915,6886,12062,5162,15920,11839,17514,9351,27716,8893,11954,24466,7942,9577,10976,188207,14831,27985,29594,20308,6605
hsa-let-7a-2,12718,6502,13976,9389,9306,37071,10795,6642,8117,2850,14741,8213,30523,11016,6497,22076,4197,19671,7698,52590,10148,43546,8566,6353,13614,7608,7659,9701,33790,12128,24906,15725,11639,4242,10749,24678,11286,9548,16979,4867,205317,15808,9443,5376,5707,3826,174403,45265,4752,6886,6943,68490,11139,4461,15039,4104,6412,12214,12980,12505,7256,41201,24677,16812,7091,9357,9984,18695,6859,4779,6893,12239,5247,15755,11922,17489,9295,27396,8854,11691,24295,7672,9612,11292,187398,14650,27512,29517,20127,6589
hsa-let-7a-3,13064,6864,14274,9587,9377,37213,10973,6640,8176,2900,15147,8495,30988,10868,6532,22466,4326,20699,7764,53449,9998,44918,9014,6373,13623,7700,7839,9656,34400,12465,24648,15703,11767,4365,11225,24645,11494,9638,17097,5179,206218,15710,9740,5336,5587,3955,175084,45506,4721,6967,6996,69170,11352,4581,15201,4250,6593,12258,13383,12932,7322,41374,24946,16821,7364,9578,10061,18860,7085,4906,6914,12268,5332,15793,12025,17790,9467,27715,9038,11628,24856,7765,9694,11200,190402,14915,27972,29681,20577,6741
hsa-let-7b,26120,33714,26191,70636,31930,106137,20726,12539,17189,6923,34305,54845,96697,37239,17388,44013,9066,47490,43741,92487,18390,124064,29085,22655,16733,14212,19461,24118,59437,33872,29093,29629,27800,8838,18161,41317,39752,18789,37116,25252,260839,26310,23701,14445,9112,9271,349845,149262,23671,28124,49848,86740,52906,21776,129669,11537,11146,23390,32182,20185,37009,114917,52550,70514,28703,42586,26648,40865,19887,34588,22315,58887,23049,54686,16803,15292,43823,62809,27397,63105,102860,39327,11352,40680,527829,50167,62915,61024,50021,23325
hsa-let-7c,4490,708,1529,2697,6327,1170,7983,4253,3670,1681,3823,8575,8082,4205,3322,6715,2060,2543,3000,40776,1137,694,4030,3003,3237,1414,2509,3827,5634,5991,5335,1424,5451,3826,2252,2317,4822,6743,1914,1549,7566,5778,946,6681,1452,7414,2691,22251,3725,1599,1074,5570,1337,901,3134,2361,713,3031,2949,9751,2114,4412,3618,4036,9863,4798,3351,5393,2636,2147,2883,1949,2428,10296,5687,3204,5806,11590,24893,1227,9166,3764,1373,4167,13574,1290,12453,7260,9049,832
hsa-let-7d,1775,1142,1717,1185,1062,2868,2217,1534,847,695,1398,1060,3452,1240,317,2563,335,3309,1434,2925,771,2616,3815,1609,3079,1678,1852,649,3167,1446,965,812,1411,1465,3355,3551,2145,2383,2882,1058,4155,1160,2100,817,783,1727,2676,791,341,1113,1630,8849,1271,914,1906,775,1640,1063,1639,2504,1454,5056,1811,2964,1289,1435,1318,2397,1252,692,1401,3454,556,1221,2018,708,1517,2464,1196,1198,4578,882,897,1019,6498,2137,1776,2131,1405,1243
hsa-let-7e,11051,909,993,1165,829,2669,2049,1895,1866,135,2065,1120,6548,1837,999,4483,529,1928,2026,6833,2297,4068,1544,2176,1562,1403,3072,1884,781,2249,1861,1602,1724,2314,2258,2396,1715,1126,1319,915,19477,1823,889,739,1284,1027,13473,2456,505,875,1038,12502,1155,620,2334,969,1159,752,3217,3037,299,5040,2035,2013,1268,1257,944,1759,887,514,374,2586,809,1972,2630,2384,1020,2266,847,1185,3254,705,374,1045,17507,1287,3267,4597,2034,1191
hsa-let-7f-1,5293,1089,8833,2019,3404,15361,3228,2349,2399,880,5505,1656,11920,4070,938,15278,1238,13441,1897,11635,1458,6062,2695,1864,9626,2942,2979,2111,12986,4087,19275,5946,3357,3168,4049,23376,2747,2153,7164,1259,78202,10641,2691,1484,4788,1344,31863,10218,1041,1394,1466,33574,2145,1491,3516,1635,2123,3806,3936,3928,1331,14301,10129,4518,2925,2492,4507,8559,3406,1166,3196,4223,1169,3585,7048,6241,2097,16460,2376,2051,5385,2547,2001,1596,50871,6318,14406,9358,6522,1884
hsa-let-7f-2,5345,1142,8930,2077,3421,15300,3369,2390,2404,991,5744,1576,12157,4185,969,15630,1192,13599,1906,11846,1601,5946,2721,1822,9703,3004,2958,2168,13232,4182,19339,6081,3328,3292,4275,23241,2667,2364,7401,1255,79462,10915,2684,1424,4835,1377,32355,10234,1061,1445,1509,34439,2279,1562,3453,1775,2195,3945,4003,4232,1403,14543,10208,4467,2885,2425,4497,8568,3505,1153,3100,4261,1120,3530,7213,6603,2112,16746,2481,2059,5462,2513,2093,1570,51309,6394,14244,9510,6583,1935
hsa-let-7g,2075,789,1161,766,1866,1831,1293,1500,1229,564,810,1256,2505,747,471,3258,640,2847,2994,1859,844,3192,1799,1166,1600,1267,2815,803,1463,1200,3628,838,1903,778,2897,1421,933,1434,939,804,6567,1925,2118,920,708,715,4071,1263,467,647,648,3512,1251,597,958,1296,1640,710,1599,1387,629,2279,1691,1561,1123,1180,1484,2323,1053,408,715,800,419,1445,1378,1131,1334,2938,1702,1246,3680,1210,665,625,5230,1387,1842,2480,1516,1561
