id,label,type
hsa-miR-19a-3p,hsa-miR-19a-3p,MicroRNA
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA
hsa-miR-23a-3p,hsa-miR-23a-3p,MicroRNA
hsa-miR-27a-3p,hsa-miR-27a-3p,MicroRNA
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA
hsa-miR-93-5p,hsa-miR-93-5p,MicroRNA
hsa-miR-19b-3p,hsa-miR-19b-3p,MicroRNA
hsa-miR-151a-3p,hsa-miR-151a-3p,MicroRNA
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA
