mirna,mrna,interaction_id,correlation,pvalue,qvalue
hsa-let-7c-5p,IGF1R,MIRT053087,-0.3884231245899248,0.0001005386781707,0.0282634852777692
hsa-let-7c-5p,EIF2S2,,-0.4169278996865203,2.945521309969676e-05,0.017574516929006
hsa-let-7d-5p,ITSN1,,-0.3783990668513523,0.0001508856761409,0.0335426878262683
hsa-let-7e-5p,CD86,,-0.3677735656484653,0.0002288062999996,0.0397456817075408
hsa-let-7e-5p,CD200R1,,-0.3724939855653568,0.0001905016745528,0.0373334046209324
hsa-let-7e-5p,P2RX1,,-0.3942735291973463,7.884911431636587e-05,0.0263397640851037
hsa-let-7e-5p,SLC5A6,MIRT501118,-0.4296128891156958,1.644446119893837e-05,0.0154349570908973
hsa-miR-17-5p,PRKACB,MIRT080176,-0.3760297441131442,0.0001657691214509,0.0355445258386116
hsa-miR-17-5p,ARHGEF3,,-0.4055916016621709,4.863862550165576e-05,0.0229173164571136
hsa-miR-17-5p,FYCO1,MIRT727628,-0.4045527447692643,5.088089515637631e-05,0.023274617474365
hsa-miR-17-5p,RASGRF2,,-0.37344171466064,0.0001835597847708,0.0372264668927649
hsa-miR-17-5p,AGFG2,MIRT169662,-0.3899540715899978,9.438557000937551e-05,0.0278601994941661
hsa-miR-18a-5p,ATXN1,,-0.3564008165050666,0.0003517794641367,0.0497990399984116
hsa-miR-18a-5p,PRKACB,,-0.3642560326602026,0.000261806041528,0.0422678153869326
hsa-miR-18a-5p,YPEL5,,-0.4239447401035211,2.1398527556336785e-05,0.0162520966731659
hsa-miR-18a-5p,ZBTB4,,-0.5322227892396295,5.6212266680839544e-08,0.0007714009356611
hsa-miR-18a-5p,ORAI3,MIRT050737,-0.5449442297878544,2.4209814225158497e-08,0.0004983469209177
hsa-miR-18a-5p,CREBL2,MIRT031360,-0.3703615951009695,0.0002070106749368,0.038330288179226
hsa-miR-19a-3p,DIPK1A,,-0.3934533790187358,8.160376347416885e-05,0.0264531129013232
