id,label,type
mir1,hsa-let-7c-5p,microRNA
mir2,hsa-let-7d-5p,microRNA
mir3,hsa-let-7e-5p,microRNA
mir4,hsa-miR-17-5p,microRNA
mir5,hsa-miR-18a-5p,microRNA
mir6,hsa-miR-19a-3p,microRNA
mir7,hsa-miR-19b-3p,microRNA
mir8,hsa-miR-20a-5p,microRNA
mir9,hsa-miR-21-5p,microRNA
mir10,hsa-miR-22-3p,microRNA
mir11,hsa-miR-23a-3p,microRNA
mir12,hsa-miR-24-3p,microRNA
mir13,hsa-miR-25-3p,microRNA
mir14,hsa-miR-26b-5p,microRNA
mir15,hsa-miR-27a-3p,microRNA
mir16,hsa-miR-29a-3p,microRNA
mir17,hsa-miR-33a-5p,microRNA
mir18,hsa-miR-92a-3p,microRNA
mir19,hsa-miR-93-5p,microRNA
mir20,hsa-miR-96-5p,microRNA
mir21,hsa-miR-29b-3p,microRNA
mir22,hsa-miR-106a-5p,microRNA
mir23,hsa-miR-196a-5p,microRNA
mir24,hsa-miR-148a-3p,microRNA
mir25,hsa-miR-30d-5p,microRNA
mir26,hsa-miR-182-5p,microRNA
mir27,hsa-miR-205-5p,microRNA
mir28,hsa-miR-221-3p,microRNA
mir29,hsa-miR-222-3p,microRNA
mir30,hsa-miR-224-5p,microRNA
mir31,hsa-miR-200b-3p,microRNA
mir32,hsa-let-7g-5p,microRNA
mir33,hsa-miR-15b-5p,microRNA
mir34,hsa-miR-30b-5p,microRNA
mir35,hsa-miR-125b-5p,microRNA
mir36,hsa-miR-128-3p,microRNA
mir37,hsa-miR-141-3p,microRNA
mir38,hsa-miR-191-5p,microRNA
mir39,hsa-miR-146a-5p,microRNA
mir40,hsa-miR-150-5p,microRNA
mir41,hsa-miR-194-5p,microRNA
mir42,hsa-miR-195-5p,microRNA
mir43,hsa-miR-200c-3p,microRNA
mir44,hsa-miR-155-5p,microRNA
mir45,hsa-miR-106b-5p,microRNA
mir46,hsa-miR-200a-3p,microRNA
mir47,hsa-miR-130b-3p,microRNA
mir48,hsa-miR-151a-3p,microRNA
mir49,hsa-miR-135b-5p,microRNA
mir50,hsa-miR-335-5p,microRNA
mir51,hsa-miR-424-5p,microRNA
mir52,hsa-miR-429,microRNA
mir53,hsa-miR-452-5p,microRNA
mir54,hsa-miR-193b-3p,microRNA
mir55,hsa-miR-497-5p,microRNA
mir56,hsa-miR-33b-5p,microRNA
mir57,hsa-miR-330-5p,microRNA
mir58,hsa-miR-378c,microRNA
gene1,IGF1R,messenger RNA
gene2,EIF2S2,messenger RNA
gene3,ITSN1,messenger RNA
gene4,CD86,messenger RNA
gene5,CD200R1,messenger RNA
gene6,P2RX1,messenger RNA
gene7,SLC5A6,messenger RNA
gene8,PRKACB,messenger RNA
gene9,ARHGEF3,messenger RNA
gene10,FYCO1,messenger RNA
gene11,RASGRF2,messenger RNA
gene12,AGFG2,messenger RNA
gene13,ATXN1,messenger RNA
gene14,YPEL5,messenger RNA
gene15,ZBTB4,messenger RNA
gene16,ORAI3,messenger RNA
gene17,CREBL2,messenger RNA
gene18,DIPK1A,messenger RNA
gene19,SCN1B,messenger RNA
gene20,NTN4,messenger RNA
gene21,ESR1,messenger RNA
gene22,NFIA,messenger RNA
gene23,FBXO46,messenger RNA
gene24,PKIA,messenger RNA
gene25,RXRG,messenger RNA
gene26,SFXN5,messenger RNA
gene27,KMT5C,messenger RNA
gene28,CAMK2B,messenger RNA
gene29,SESN1,messenger RNA
gene30,SEMA4A,messenger RNA
gene31,SSTR1,messenger RNA
gene32,JADE2,messenger RNA
gene33,ZNF597,messenger RNA
gene34,KLF2,messenger RNA
gene35,AXL,messenger RNA
gene36,ADAM19,messenger RNA
gene37,ELFN2,messenger RNA
gene38,RORA,messenger RNA
gene39,BFAR,messenger RNA
gene40,DCBLD1,messenger RNA
gene41,DPY19L3,messenger RNA
gene42,IGF1,messenger RNA
gene43,NREP,messenger RNA
