mirna,mrna,interaction_id,correlation,pvalue,qvalue
hsa-let-7d-5p,HIF1AN,,-0.5393028024606972,8.986563531435966e-06,0.0415606048190199
hsa-let-7d-5p,MEF2D,MIRT735654,-0.562406015037594,3.22537611235402e-06,0.0321339740997523
hsa-let-7d-5p,SMARCC1,,-0.5462747778537254,6.649086229253654e-06,0.0415066596372726
hsa-let-7d-5p,PRKAR2A,,-0.536637047163363,1.0065930774758343e-05,0.0415606048190199
hsa-miR-18a-5p,ZBTB20,,-0.558714969241285,3.8187490592873175e-06,0.0321339740997523
hsa-miR-30c-5p,SNAI1,MIRT006762,-0.5290498974709501,1.3829185608087408e-05,0.0437949032537961
hsa-miR-182-5p,GPHN,,-0.5318523581681477,1.230921935059077e-05,0.0437949032537961
hsa-miR-141-3p,IGF2,,-0.5874914559125085,9.681125226289857e-07,0.0321339740997523
hsa-miR-155-5p,VAV3,,-0.5365686944634314,1.009512128519517e-05,0.0415606048190199
hsa-miR-106b-5p,PLXDC2,,-0.5582365003417634,3.902690628841161e-06,0.0321339740997523
hsa-miR-106b-5p,SALL1,,-0.5449077238550923,7.057412554614122e-06,0.0415066596372726
hsa-miR-378a-3p,ACP6,,-0.5617908407382093,3.3179127072922387e-06,0.0321339740997523
hsa-miR-320b,MYEF2,,-0.5293233082706768,1.3673604942991138e-05,0.0437949032537961
