source,target,mirtarbase,correlation,qvalue
hsa-let-7d-5p,HIF1AN,,-0.5393028024606972,0.0415606048190199
hsa-let-7d-5p,MEF2D,MIRT735654,-0.562406015037594,0.0321339740997523
hsa-let-7d-5p,SMARCC1,,-0.5462747778537254,0.0415066596372726
hsa-let-7d-5p,PRKAR2A,,-0.536637047163363,0.0415606048190199
hsa-miR-18a-5p,ZBTB20,,-0.558714969241285,0.0321339740997523
hsa-miR-30c-5p,SNAI1,MIRT006762,-0.5290498974709501,0.0437949032537961
hsa-miR-182-5p,GPHN,,-0.5318523581681477,0.0437949032537961
hsa-miR-141-3p,IGF2,,-0.5874914559125085,0.0321339740997523
hsa-miR-155-5p,VAV3,,-0.5365686944634314,0.0415606048190199
hsa-miR-106b-5p,PLXDC2,,-0.5582365003417634,0.0321339740997523
hsa-miR-106b-5p,SALL1,,-0.5449077238550923,0.0415066596372726
hsa-miR-378a-3p,ACP6,,-0.5617908407382093,0.0321339740997523
hsa-miR-320b,MYEF2,,-0.5293233082706768,0.0437949032537961
