id,label,type
mir1,hsa-miR-16-5p,microRNA
mir2,hsa-miR-17-5p,microRNA
mir3,hsa-miR-20a-5p,microRNA
mir4,hsa-miR-33a-5p,microRNA
mir5,hsa-miR-29b-3p,microRNA
mir6,hsa-miR-30c-5p,microRNA
mir7,hsa-miR-141-3p,microRNA
mir8,hsa-miR-365a-3p,microRNA
mir9,hsa-miR-148b-3p,microRNA
mir10,hsa-miR-193b-3p,microRNA
mir11,hsa-miR-192-5p,microRNA
mir12,hsa-miR-92a-3p,microRNA
mir13,hsa-miR-33b-5p,microRNA
mir14,hsa-miR-29c-3p,microRNA
mir15,hsa-miR-324-5p,microRNA
mir16,hsa-miR-200a-3p,microRNA
mir17,hsa-miR-365b-3p,microRNA
