mirna,mrna,interaction_id,correlation,pvalue,qvalue
hsa-let-7c-5p,PARD6B,,-0.3053168879962602,1.6993540554228726e-06,0.0003109364760342
hsa-miR-16-5p,TLE4,MIRT031643,-0.3150516387624011,7.889337424841956e-07,0.0001691646523142
hsa-miR-16-5p,PLSCR4,MIRT031585,-0.3383031494018041,1.1273623606562005e-07,4.550233433907365e-05
hsa-miR-16-5p,ETV1,,-0.3250883009851619,3.474575110291625e-07,9.7309375997004e-05
hsa-miR-16-5p,ACVR2A,MIRT000536,-0.3129577367245528,9.326603828079316e-07,0.000192948217587
hsa-miR-16-5p,MYLK,,-0.3340028048548227,1.635540739908435e-07,6.066087992909041e-05
hsa-miR-16-5p,CCNJL,,-0.3409911352736465,8.908494011581685e-08,3.901636063434111e-05
hsa-miR-16-5p,LUZP1,MIRT001445,-0.3006475405578545,2.4318872196023e-06,0.0003962138528881
hsa-miR-16-5p,NRBP1,,-0.3047920598369029,1.7697588593145933e-06,0.0003222365667689
hsa-miR-17-5p,ST6GALNAC3,,-0.3284142853935263,2.630403313395081e-07,8.105818641056135e-05
hsa-miR-17-5p,CYP2U1,,-0.3213008812784597,4.7512651452687286e-07,0.0001200029661138
hsa-miR-17-5p,C2CD2,,-0.3375716363384524,1.20150496385462e-07,4.666486590276496e-05
hsa-miR-17-5p,CYBRD1,MIRT299336,-0.300645376318022,2.432287769682676e-06,0.0003962138528881
hsa-miR-17-5p,CHST7,,-0.3378573159963294,1.1720094788642693e-07,4.639467138015683e-05
hsa-miR-17-5p,CROT,MIRT222907,-0.3173717038627352,6.54423537982281e-07,0.0001513593406471
hsa-miR-17-5p,ARL1,MIRT728313,-0.3670676192571,8.063705085848611e-09,6.901505281049163e-06
hsa-miR-17-5p,FRZB,,-0.3251488997004692,3.457101581939044e-07,9.7309375997004e-05
hsa-miR-17-5p,SLC49A4,,-0.3322887269075609,1.8940484073607705e-07,6.519446540435378e-05
hsa-miR-17-5p,SAR1B,,-0.3003250688228266,2.492266147134155e-06,0.0003998514103958
hsa-miR-17-5p,ENPP5,MIRT050870,-0.3205076873798846,5.070357874867033e-07,0.0001255828905169
hsa-miR-18a-5p,JADE2,,-0.3318919457067829,1.959243213545675e-07,6.611482283480483e-05
hsa-miR-18a-5p,NEDD9,MIRT006817,-0.3162985555294795,7.136650662246437e-07,0.0001595274939953
hsa-miR-18a-5p,NEDD4,,-0.3026951892616877,2.079759084102341e-06,0.0003552763557402
hsa-miR-18a-5p,ZBTB4,,-0.3076426549029529,1.418222811506254e-06,0.0002741165020042
hsa-miR-20a-5p,SAR1B,,-0.3111397752653357,1.077407738703851e-06,0.0002185014738655
hsa-miR-20a-5p,ARL1,MIRT441187,-0.3842332921316204,1.4694137249094727e-09,2.0164764546932694e-06
hsa-miR-20a-5p,SLC49A4,,-0.3331349446820298,1.7618824406587637e-07,6.307385930389621e-05
hsa-miR-24-3p,STRADB,MIRT030416,-0.3256672351403293,3.311037754456343e-07,9.466118980084246e-05
hsa-miR-24-3p,NAV2,,-0.3475660958844815,4.961075804258292e-08,2.521512713401353e-05
hsa-miR-27a-3p,LIFR,MIRT028740,-0.3085719047041916,1.3187917173111452e-06,0.0002573143896207
hsa-miR-33a-5p,TCF4,,-0.3065927073774607,1.5391595165769865e-06,0.0002906681565961
hsa-miR-33a-5p,CALN1,,-0.3331618947258875,1.7578220651717218e-07,6.307385930389621e-05
hsa-miR-33a-5p,CACNA1C,,-0.3040433973606444,1.8750136534879089e-06,0.0003312980133066
hsa-miR-33a-5p,TTC28,,-0.3226470384542134,4.2531964364687634e-07,0.0001108622499284
hsa-miR-33a-5p,NAV3,,-0.3060083626227123,1.6106585160487376e-06,0.0002973737410181
hsa-miR-33a-5p,MSRB3,,-0.3223364700382637,4.363467139137137e-07,0.0001122747366569
hsa-miR-33a-5p,RGMA,,-0.3039858804993334,1.8833418702960017e-06,0.0003313474421291
hsa-miR-33a-5p,CSRNP3,,-0.3236869556936821,3.903039695677996e-07,0.0001064134047889
hsa-miR-33a-5p,CDH6,MIRT669111,-0.3163750714199144,7.09276961580613e-07,0.0001595274939953
hsa-miR-33a-5p,SLC16A7,,-0.3045352211286637,1.805217298793548e-06,0.0003222365667689
hsa-miR-33a-5p,SYT11,,-0.313864553214329,8.675895233270285e-07,0.000183168169671
hsa-miR-33a-5p,PALM2AKAP2,,-0.3534333500701213,2.9089943810864144e-08,1.663338745485369e-05
hsa-miR-92a-3p,EPB41L4A,,-0.3195391900548851,5.487792396710877e-07,0.0001328981912824
hsa-miR-92a-3p,SAR1B,,-0.3263890091244351,3.117452481362596e-07,8.974993091273894e-05
hsa-miR-96-5p,TCF4,,-0.3337485066745156,1.6716320083404508e-07,6.144590906372145e-05
hsa-miR-96-5p,DAB2,,-0.3448250861367453,6.342648366514933e-08,2.981618479158546e-05
hsa-miR-96-5p,CELF2,,-0.3500614644112401,3.9587045153696994e-08,2.1165702103020147e-05
hsa-miR-96-5p,DENND2C,,-0.3876706469753394,1.0324414117549452e-09,1.8140151416282264e-06
