source,target,mirtarbase,correlation,qvalue
hsa-let-7c-5p,PARD6B,,-0.3053168879962602,0.0003109364760342
hsa-miR-16-5p,TLE4,MIRT031643,-0.3150516387624011,0.0001691646523142
hsa-miR-16-5p,PLSCR4,MIRT031585,-0.3383031494018041,4.550233433907365e-05
hsa-miR-16-5p,ETV1,,-0.3250883009851619,9.7309375997004e-05
hsa-miR-16-5p,ACVR2A,MIRT000536,-0.3129577367245528,0.000192948217587
hsa-miR-16-5p,MYLK,,-0.3340028048548227,6.066087992909041e-05
hsa-miR-16-5p,CCNJL,,-0.3409911352736465,3.901636063434111e-05
hsa-miR-16-5p,LUZP1,MIRT001445,-0.3006475405578545,0.0003962138528881
hsa-miR-16-5p,NRBP1,,-0.3047920598369029,0.0003222365667689
hsa-miR-17-5p,ST6GALNAC3,,-0.3284142853935263,8.105818641056135e-05
hsa-miR-17-5p,CYP2U1,,-0.3213008812784597,0.0001200029661138
hsa-miR-17-5p,C2CD2,,-0.3375716363384524,4.666486590276496e-05
hsa-miR-17-5p,CYBRD1,MIRT299336,-0.300645376318022,0.0003962138528881
hsa-miR-17-5p,CHST7,,-0.3378573159963294,4.639467138015683e-05
hsa-miR-17-5p,CROT,MIRT222907,-0.3173717038627352,0.0001513593406471
hsa-miR-17-5p,ARL1,MIRT728313,-0.3670676192571,6.901505281049163e-06
hsa-miR-17-5p,FRZB,,-0.3251488997004692,9.7309375997004e-05
hsa-miR-17-5p,SLC49A4,,-0.3322887269075609,6.519446540435378e-05
hsa-miR-17-5p,SAR1B,,-0.3003250688228266,0.0003998514103958
hsa-miR-17-5p,ENPP5,MIRT050870,-0.3205076873798846,0.0001255828905169
hsa-miR-18a-5p,JADE2,,-0.3318919457067829,6.611482283480483e-05
hsa-miR-18a-5p,NEDD9,MIRT006817,-0.3162985555294795,0.0001595274939953
hsa-miR-18a-5p,NEDD4,,-0.3026951892616877,0.0003552763557402
hsa-miR-18a-5p,ZBTB4,,-0.3076426549029529,0.0002741165020042
hsa-miR-20a-5p,SAR1B,,-0.3111397752653357,0.0002185014738655
hsa-miR-20a-5p,ARL1,MIRT441187,-0.3842332921316204,2.0164764546932694e-06
hsa-miR-20a-5p,SLC49A4,,-0.3331349446820298,6.307385930389621e-05
hsa-miR-24-3p,STRADB,MIRT030416,-0.3256672351403293,9.466118980084246e-05
hsa-miR-24-3p,NAV2,,-0.3475660958844815,2.521512713401353e-05
hsa-miR-27a-3p,LIFR,MIRT028740,-0.3085719047041916,0.0002573143896207
hsa-miR-33a-5p,TCF4,,-0.3065927073774607,0.0002906681565961
hsa-miR-33a-5p,CALN1,,-0.3331618947258875,6.307385930389621e-05
hsa-miR-33a-5p,CACNA1C,,-0.3040433973606444,0.0003312980133066
hsa-miR-33a-5p,TTC28,,-0.3226470384542134,0.0001108622499284
hsa-miR-33a-5p,NAV3,,-0.3060083626227123,0.0002973737410181
hsa-miR-33a-5p,MSRB3,,-0.3223364700382637,0.0001122747366569
hsa-miR-33a-5p,RGMA,,-0.3039858804993334,0.0003313474421291
hsa-miR-33a-5p,CSRNP3,,-0.3236869556936821,0.0001064134047889
hsa-miR-33a-5p,CDH6,MIRT669111,-0.3163750714199144,0.0001595274939953
hsa-miR-33a-5p,SLC16A7,,-0.3045352211286637,0.0003222365667689
hsa-miR-33a-5p,SYT11,,-0.313864553214329,0.000183168169671
hsa-miR-33a-5p,PALM2AKAP2,,-0.3534333500701213,1.663338745485369e-05
hsa-miR-92a-3p,EPB41L4A,,-0.3195391900548851,0.0001328981912824
hsa-miR-92a-3p,SAR1B,,-0.3263890091244351,8.974993091273894e-05
hsa-miR-96-5p,TCF4,,-0.3337485066745156,6.144590906372145e-05
hsa-miR-96-5p,DAB2,,-0.3448250861367453,2.981618479158546e-05
hsa-miR-96-5p,CELF2,,-0.3500614644112401,2.1165702103020147e-05
hsa-miR-96-5p,DENND2C,,-0.3876706469753394,1.8140151416282264e-06
hsa-miR-96-5p,PRDM16,MIRT027926,-0.3299603619047696,7.310861651653476e-05
hsa-miR-96-5p,EBF3,,-0.3021235521235521,0.0003666142916282
hsa-miR-96-5p,SGMS2,,-0.4378203074951953,5.059185728483856e-08
hsa-miR-96-5p,ADGRL3,,-0.3662295171552708,7.055748202464719e-06
hsa-miR-96-5p,FOXP2,,-0.4159379035971917,1.793973371728441e-07
hsa-miR-96-5p,VGLL3,,-0.315914088335613,0.0001620581650495
hsa-miR-96-5p,GRID1,,-0.3605711105826888,1.0314328791118548e-05
hsa-miR-96-5p,ASPN,,-0.3161608116765068,0.0001597246433635
hsa-miR-96-5p,CORO1C,,-0.3305919628789583,7.093542509403495e-05
hsa-miR-96-5p,BACH2,,-0.372643142822515,4.489304764730949e-06
hsa-miR-96-5p,TNS1,,-0.3175860495227018,0.0001504464265232
hsa-miR-96-5p,ZEB1,MIRT054654,-0.3577391052166837,1.25596845214703e-05
hsa-miR-96-5p,FOXN3,,-0.320450335024326,0.0001255828905169
hsa-miR-96-5p,PCSK5,,-0.3329812836539293,6.335787743433458e-05
hsa-miR-96-5p,LMOD1,,-0.3156803504337136,0.0001642559537815
hsa-miR-96-5p,CCND2,MIRT053398,-0.3332994269092924,6.307385930389621e-05
hsa-miR-96-5p,FOXO1,MIRT001087,-0.3561797704174386,1.4080572003177948e-05
hsa-miR-96-5p,MSN,,-0.3360350260574475,5.232955352122529e-05
hsa-miR-96-5p,SHOX2,,-0.3296819000294336,7.428008134504131e-05
hsa-miR-96-5p,ADAM23,,-0.3842358934847723,2.0164764546932694e-06
hsa-miR-96-5p,SEMA5A,,-0.3030050207672505,0.0003510068832165
hsa-miR-96-5p,ANTXR2,,-0.3452574864457806,2.9578551697437623e-05
hsa-miR-96-5p,SH3PXD2B,,-0.3002038713922121,0.0004013698891657
hsa-miR-96-5p,ARL4C,,-0.3800859636061429,2.7091282232726413e-06
hsa-miR-96-5p,IGSF11,,-0.3432824117089863,3.291555214893318e-05
hsa-miR-96-5p,TRPM3,,-0.323187550194168,0.0001087398522177
hsa-miR-96-5p,SEPTIN11,,-0.3150905950793842,0.0001691646523142
hsa-miR-96-5p,LRCH2,,-0.3719263389952704,4.706701512534602e-06
hsa-miR-96-5p,ARHGAP24,,-0.3398328178383312,4.1858850934205726e-05
hsa-miR-96-5p,PRRX1,,-0.326539423792787,8.974993091273894e-05
hsa-miR-96-5p,GPR85,,-0.3154838313484251,0.0001651148324522
hsa-miR-96-5p,HAS2,,-0.3045323510570147,0.0003222365667689
hsa-miR-96-5p,ATOH8,,-0.3012558549482836,0.0003854208181565
hsa-miR-96-5p,BHLHE22,,-0.3880546946690444,1.8140151416282264e-06
hsa-miR-29b-3p,SLC16A14,,-0.3082570078085773,0.0002624945752015
hsa-miR-29b-3p,RFLNB,,-0.3190067870561144,0.0001371754373056
hsa-miR-29b-3p,GPX7,,-0.3859229184341292,1.8548873997429647e-06
hsa-miR-29b-3p,FKBP14,,-0.4010445706377107,6.469686938481257e-07
hsa-miR-29b-3p,KIRREL1,,-0.3666655124054227,6.901505281049163e-06
hsa-miR-29b-3p,CAV2,,-0.3299621690877296,7.310861651653476e-05
hsa-miR-29b-3p,COL5A1,MIRT734214,-0.3539906418269647,1.602464313222179e-05
hsa-miR-29b-3p,LRRC28,,-0.3292566269023668,7.641459757631557e-05
hsa-miR-29b-3p,COL8A1,,-0.3008975102584968,0.0003929240904541
hsa-miR-29b-3p,RNF150,,-0.3381235174957148,4.577158756087976e-05
hsa-miR-29b-3p,ISLR2,,-0.3223918325873486,0.0001122747366569
hsa-miR-29b-3p,B3GALT1,,-0.3022732857370456,0.0003639283189218
hsa-miR-29b-3p,ASXL3,,-0.3447937418656013,2.981618479158546e-05
hsa-miR-29b-3p,NREP,MIRT048382,-0.4086312048755995,3.225229386057209e-07
