source,target,weight
hsa-let-7d-5p,hsa-miR-107,0.25
hsa-let-7d-5p,hsa-miR-181b-5p,0.14
hsa-let-7d-5p,hsa-let-7i-5p,0.17
hsa-let-7d-5p,hsa-miR-155-5p,0.11
hsa-miR-15a-5p,hsa-miR-30e-5p,1.0
hsa-miR-18a-5p,hsa-miR-181b-5p,0.18
hsa-miR-18a-5p,hsa-miR-502-3p,0.15
hsa-miR-26a-5p,hsa-miR-26b-5p,0.33
hsa-miR-96-5p,hsa-miR-182-5p,0.11
hsa-miR-30c-5p,hsa-miR-429,0.14
hsa-miR-181b-5p,hsa-let-7i-5p,0.17
hsa-miR-181b-5p,hsa-miR-155-5p,0.11
hsa-miR-212-3p,hsa-miR-151a-3p,0.33
hsa-miR-221-3p,hsa-miR-222-3p,0.11
hsa-miR-222-3p,hsa-miR-1271-5p,0.17
hsa-miR-223-3p,hsa-let-7i-5p,0.2
hsa-let-7i-5p,hsa-miR-155-5p,0.12
hsa-miR-30b-5p,hsa-miR-590-5p,0.13
hsa-miR-128-3p,hsa-miR-362-5p,0.14
hsa-miR-150-5p,hsa-miR-378a-3p,0.2
hsa-miR-150-5p,hsa-miR-378c,0.33
hsa-miR-193a-3p,hsa-miR-193b-3p,0.11
hsa-miR-106b-5p,hsa-miR-502-3p,0.11
hsa-miR-362-5p,hsa-miR-502-3p,0.14
hsa-miR-378a-3p,hsa-miR-1271-5p,0.17
hsa-miR-378a-3p,hsa-miR-378c,0.33
hsa-miR-381-3p,hsa-miR-299-5p,1.0
hsa-miR-151a-3p,hsa-miR-590-5p,0.2
hsa-miR-193b-3p,hsa-miR-374c-5p,0.11
hsa-miR-501-3p,hsa-miR-502-3p,0.29
hsa-miR-502-3p,hsa-miR-374c-5p,0.14
hsa-miR-1271-5p,hsa-miR-378c,0.25
