id,label,type
mir1,hsa-let-7d-5p,microRNA
mir2,hsa-miR-15a-5p,microRNA
mir3,hsa-miR-18a-5p,microRNA
mir4,hsa-miR-26a-5p,microRNA
mir5,hsa-miR-96-5p,microRNA
mir6,hsa-miR-30c-5p,microRNA
mir7,hsa-miR-181b-5p,microRNA
mir8,hsa-miR-212-3p,microRNA
mir9,hsa-miR-221-3p,microRNA
mir10,hsa-miR-222-3p,microRNA
mir11,hsa-miR-223-3p,microRNA
mir12,hsa-let-7i-5p,microRNA
mir13,hsa-miR-30b-5p,microRNA
mir14,hsa-miR-128-3p,microRNA
mir15,hsa-miR-150-5p,microRNA
mir16,hsa-miR-193a-3p,microRNA
mir17,hsa-miR-106b-5p,microRNA
mir18,hsa-miR-362-5p,microRNA
mir19,hsa-miR-378a-3p,microRNA
mir20,hsa-miR-381-3p,microRNA
mir21,hsa-miR-151a-3p,microRNA
mir22,hsa-miR-193b-3p,microRNA
mir23,hsa-miR-501-3p,microRNA
mir24,hsa-miR-502-3p,microRNA
mir25,hsa-miR-1271-5p,microRNA
mir26,hsa-miR-107,microRNA
mir27,hsa-miR-155-5p,microRNA
mir28,hsa-miR-30e-5p,microRNA
mir29,hsa-miR-26b-5p,microRNA
mir30,hsa-miR-182-5p,microRNA
mir31,hsa-miR-429,microRNA
mir32,hsa-miR-590-5p,microRNA
mir33,hsa-miR-378c,microRNA
mir34,hsa-miR-299-5p,microRNA
mir35,hsa-miR-374c-5p,microRNA
