id,label,type
mir1,hsa-let-7b-5p,microRNA
mir2,hsa-miR-15a-5p,microRNA
mir3,hsa-miR-17-5p,microRNA
mir4,hsa-miR-26b-5p,microRNA
mir5,hsa-miR-29a-3p,microRNA
mir6,hsa-miR-30a-5p,microRNA
mir7,hsa-miR-33a-5p,microRNA
mir8,hsa-miR-93-5p,microRNA
mir9,hsa-miR-96-5p,microRNA
mir10,hsa-miR-106a-5p,microRNA
mir11,hsa-miR-199a-3p,microRNA
mir12,hsa-miR-129-5p,microRNA
mir13,hsa-miR-181a-5p,microRNA
mir14,hsa-miR-181b-5p,microRNA
mir15,hsa-miR-181c-5p,microRNA
mir16,hsa-miR-187-3p,microRNA
mir17,hsa-miR-204-5p,microRNA
mir18,hsa-miR-205-5p,microRNA
mir19,hsa-miR-212-3p,microRNA
mir20,hsa-miR-221-3p,microRNA
mir21,hsa-miR-200b-3p,microRNA
mir22,hsa-miR-128-3p,microRNA
mir23,hsa-miR-135a-5p,microRNA
mir24,hsa-miR-141-3p,microRNA
mir25,hsa-miR-125a-5p,microRNA
mir26,hsa-miR-136-5p,microRNA
mir27,hsa-miR-195-5p,microRNA
mir28,hsa-miR-200a-3p,microRNA
mir29,hsa-miR-34c-5p,microRNA
mir30,hsa-miR-365a-3p,microRNA
mir31,hsa-miR-378a-3p,microRNA
mir32,hsa-miR-497-5p,microRNA
mir33,hsa-miR-330-5p,microRNA
mir34,hsa-let-7c-5p,microRNA
mir35,hsa-miR-16-5p,microRNA
mir36,hsa-miR-20b-5p,microRNA
mir37,hsa-miR-1271-5p,microRNA
mir38,hsa-miR-29c-3p,microRNA
mir39,hsa-miR-30d-5p,microRNA
mir40,hsa-miR-30e-5p,microRNA
mir41,hsa-miR-130a-3p,microRNA
mir42,hsa-miR-9-5p,microRNA
mir43,hsa-miR-106b-5p,microRNA
mir44,hsa-miR-199b-3p,microRNA
mir45,hsa-miR-181d-5p,microRNA
mir46,hsa-miR-200c-3p,microRNA
mir47,hsa-miR-132-3p,microRNA
mir48,hsa-miR-125b-5p,microRNA
mir49,hsa-miR-222-3p,microRNA
mir50,hsa-miR-429,microRNA
mir51,hsa-miR-708-5p,microRNA
mir52,hsa-miR-135b-5p,microRNA
mir53,hsa-miR-331-3p,microRNA
mir54,hsa-miR-493-5p,microRNA
mir55,hsa-miR-424-5p,microRNA
mir56,hsa-miR-146b-5p,microRNA
mir57,hsa-miR-365b-3p,microRNA
mir58,hsa-miR-378c,microRNA
mir59,hsa-miR-503-5p,microRNA
mir60,hsa-miR-299-5p,microRNA
mir61,hsa-miR-874-3p,microRNA
