source,target,mirtarbase,correlation,qvalue
hsa-miR-22-3p,RPS3,,-0.8159945317840055,3.787008897796386e-10
hsa-miR-452-5p,RPA1,,-0.8099111414900889,3.923582703462259e-10
hsa-miR-141-3p,TRHDE,,-0.8072453861927547,3.923582703462259e-10
hsa-miR-22-3p,RPL14,,-0.8043745727956254,4.2162122398528215e-10
hsa-miR-22-3p,LRRC1,MIRT030660,-0.80041011619959,5.3089214308889e-10
hsa-miR-141-3p,FZD4,,-0.7991797676008203,5.3089214308889e-10
hsa-miR-22-3p,RAB5B,MIRT030657,-0.7948735475051265,7.602643964471373e-10
hsa-miR-200a-3p,FZD4,,-0.7932330827067671,8.06311310377616e-10
hsa-miR-22-3p,KAT7,,-0.7909774436090226,9.310815917136507e-10
hsa-miR-224-5p,SLC35C2,,-0.7835953520164047,1.9303219022272187e-09
hsa-miR-22-3p,CADM1,,-0.7822966507177035,2.025520166569285e-09
hsa-miR-200a-3p,TRHDE,,-0.7799726589200274,2.3943083878422363e-09
hsa-miR-452-5p,ZBTB7C,,-0.7784005468215995,2.620408764581237e-09
hsa-miR-141-3p,NRP1,,-0.775598086124402,3.284980310655268e-09
hsa-miR-486-5p,CCDC85C,,-0.7719202311487801,4.516783906668343e-09
hsa-miR-141-3p,HCAR2,,-0.7699248120300752,5.2094268152441745e-09
hsa-miR-22-3p,EDC3,MIRT030653,-0.7686944634313057,5.56545221156295e-09
hsa-miR-200a-3p,NRP1,,-0.7671223513328776,6.173278065527156e-09
hsa-miR-378a-3p,LAS1L,,-0.7663021189336978,6.357067034724769e-09
hsa-miR-141-3p,GNAI1,,-0.763362952836637,8.12044161554067e-09
hsa-miR-181c-5p,EMX2,,-0.7615857826384143,9.231119266295964e-09
hsa-miR-141-3p,ITSN1,,-0.7608339029391662,9.492282827960806e-09
hsa-miR-378a-3p,RCC2,MIRT712249,-0.7594668489405332,9.94898744636692e-09
hsa-miR-378a-3p,HNRNPA1,,-0.7591934381408065,9.94898744636692e-09
hsa-miR-452-5p,DAG1,,-0.7590567327409434,9.94898744636692e-09
hsa-miR-22-3p,PRPF38A,,-0.7565276828434723,1.1900880607299257e-08
hsa-miR-224-5p,PAK4,,-0.7562542720437458,1.1900880607299257e-08
hsa-miR-141-3p,ACO1,,-0.7560492139439507,1.1900880607299257e-08
hsa-miR-200b-3p,NOVA2,,-0.755639097744361,1.1954144739696592e-08
hsa-miR-452-5p,IL20RA,,-0.7548188653451812,1.2504128686424026e-08
hsa-miR-200b-3p,DMRT2,,-0.7533834586466165,1.3881756562477021e-08
hsa-miR-22-3p,ZNF740,,-0.7522898154477102,1.4921701346591493e-08
hsa-miR-22-3p,AK2,,-0.7514012303485988,1.5739012561664904e-08
hsa-miR-139-5p,STRBP,,-0.7507177033492823,1.6293091242083662e-08
hsa-miR-141-3p,PLXNA4,,-0.7501708817498292,1.6662592792300835e-08
hsa-miR-378a-3p,PITPNA,,-0.749829118250171,1.6727623132438543e-08
hsa-miR-22-3p,WRNIP1,,-0.7471633629528367,2.0525927147558448e-08
hsa-miR-135b-5p,GHR,,-0.7470517969303827,2.0525927147558448e-08
hsa-miR-200c-3p,CRTAP,,-0.7464114832535885,2.1218707104081737e-08
hsa-miR-200b-3p,ZFPM2,MIRT004623,-0.7453861927546138,2.2735910389112103e-08
hsa-miR-378a-3p,GOLT1A,MIRT734396,-0.7427204374572797,2.8291605458017117e-08
hsa-miR-22-3p,ASB6,,-0.7388243335611758,3.920425585785001e-08
hsa-miR-22-3p,RAPGEFL1,,-0.7378673957621326,4.16938860205306e-08
hsa-miR-22-3p,TP53,,-0.7371155160628845,4.3552700163749994e-08
hsa-miR-486-5p,RAPGEFL1,,-0.7312371838687628,7.113513534518961e-08
hsa-miR-139-5p,PITPNA,,-0.7303485987696514,7.511356340811246e-08
