id,label,type
mir1,hsa-let-7a-5p,microRNA
mir2,hsa-let-7b-5p,microRNA
mir3,hsa-let-7c-5p,microRNA
mir4,hsa-let-7d-5p,microRNA
mir5,hsa-let-7e-5p,microRNA
mir6,hsa-let-7f-5p,microRNA
mir7,hsa-miR-15a-5p,microRNA
mir8,hsa-miR-16-5p,microRNA
mir9,hsa-miR-17-5p,microRNA
mir10,hsa-miR-18a-5p,microRNA
mir11,hsa-miR-19b-3p,microRNA
mir12,hsa-miR-20a-5p,microRNA
mir13,hsa-miR-21-5p,microRNA
mir14,hsa-miR-22-3p,microRNA
mir15,hsa-miR-23a-3p,microRNA
mir16,hsa-miR-24-3p,microRNA
mir17,hsa-miR-25-3p,microRNA
mir18,hsa-miR-26a-5p,microRNA
mir19,hsa-miR-26b-5p,microRNA
mir20,hsa-miR-27a-3p,microRNA
mir21,hsa-miR-28-5p,microRNA
mir22,hsa-miR-29a-3p,microRNA
mir23,hsa-miR-30a-5p,microRNA
mir24,hsa-miR-31-5p,microRNA
mir25,hsa-miR-32-5p,microRNA
mir26,hsa-miR-33a-5p,microRNA
mir27,hsa-miR-93-5p,microRNA
mir28,hsa-miR-96-5p,microRNA
mir29,hsa-miR-98-5p,microRNA
mir30,hsa-miR-100-5p,microRNA
mir31,hsa-miR-29b-3p,microRNA
mir32,hsa-miR-103a-3p,microRNA
mir33,hsa-miR-106a-5p,microRNA
mir34,hsa-miR-107,microRNA
mir35,hsa-miR-196a-5p,microRNA
mir36,hsa-miR-199a-5p,microRNA
mir37,hsa-miR-199a-3p,microRNA
mir38,hsa-miR-129-5p,microRNA
mir39,hsa-miR-148a-3p,microRNA
mir40,hsa-miR-30c-5p,microRNA
mir41,hsa-miR-30d-5p,microRNA
mir42,hsa-miR-139-5p,microRNA
mir43,hsa-miR-7-5p,microRNA
mir44,hsa-miR-10a-5p,microRNA
mir45,hsa-miR-34a-5p,microRNA
mir46,hsa-miR-181a-5p,microRNA
mir47,hsa-miR-181b-5p,microRNA
mir48,hsa-miR-181c-5p,microRNA
mir49,hsa-miR-182-5p,microRNA
mir50,hsa-miR-187-3p,microRNA
mir51,hsa-miR-204-5p,microRNA
mir52,hsa-miR-205-5p,microRNA
mir53,hsa-miR-212-3p,microRNA
mir54,hsa-miR-215-5p,microRNA
mir55,hsa-miR-221-3p,microRNA
mir56,hsa-miR-222-3p,microRNA
mir57,hsa-miR-223-3p,microRNA
mir58,hsa-miR-224-5p,microRNA
mir59,hsa-miR-200b-3p,microRNA
mir60,hsa-let-7g-5p,microRNA
mir61,hsa-let-7i-5p,microRNA
mir62,hsa-miR-1-3p,microRNA
mir63,hsa-miR-15b-5p,microRNA
mir64,hsa-miR-23b-3p,microRNA
mir65,hsa-miR-30b-5p,microRNA
mir66,hsa-miR-125b-5p,microRNA
mir67,hsa-miR-128-3p,microRNA
mir68,hsa-miR-130a-3p,microRNA
mir69,hsa-miR-132-3p,microRNA
mir70,hsa-miR-135a-5p,microRNA
mir71,hsa-miR-140-5p,microRNA
mir72,hsa-miR-141-3p,microRNA
mir73,hsa-miR-142-5p,microRNA
mir74,hsa-miR-143-3p,microRNA
mir75,hsa-miR-144-3p,microRNA
mir76,hsa-miR-145-5p,microRNA
mir77,hsa-miR-152-3p,microRNA
mir78,hsa-miR-9-5p,microRNA
mir79,hsa-miR-125a-5p,microRNA
mir80,hsa-miR-136-5p,microRNA
mir81,hsa-miR-150-5p,microRNA
mir82,hsa-miR-154-5p,microRNA
mir83,hsa-miR-184,microRNA
mir84,hsa-miR-185-5p,microRNA
mir85,hsa-miR-186-5p,microRNA
mir86,hsa-miR-190a-5p,microRNA
mir87,hsa-miR-193a-3p,microRNA
mir88,hsa-miR-195-5p,microRNA
mir89,hsa-miR-200c-3p,microRNA
mir90,hsa-miR-106b-5p,microRNA
mir91,hsa-miR-29c-3p,microRNA
mir92,hsa-miR-200a-3p,microRNA
mir93,hsa-miR-34c-5p,microRNA
mir94,hsa-miR-301a-3p,microRNA
mir95,hsa-miR-130b-3p,microRNA
mir96,hsa-miR-30e-5p,microRNA
mir97,hsa-miR-362-5p,microRNA
mir98,hsa-miR-363-3p,microRNA
mir99,hsa-miR-365a-3p,microRNA
mir100,hsa-miR-378a-3p,microRNA
mir101,hsa-miR-381-3p,microRNA
mir102,hsa-miR-382-5p,microRNA
mir103,hsa-miR-330-3p,microRNA
mir104,hsa-miR-328-3p,microRNA
mir105,hsa-miR-342-3p,microRNA
mir106,hsa-miR-326,microRNA
mir107,hsa-miR-135b-5p,microRNA
mir108,hsa-miR-148b-3p,microRNA
mir109,hsa-miR-331-3p,microRNA
mir110,hsa-miR-324-5p,microRNA
mir111,hsa-miR-338-3p,microRNA
mir112,hsa-miR-339-5p,microRNA
mir113,hsa-miR-335-5p,microRNA
mir114,hsa-miR-196b-5p,microRNA
mir115,hsa-miR-424-5p,microRNA
mir116,hsa-miR-20b-5p,microRNA
mir117,hsa-miR-429,microRNA
mir118,hsa-miR-451a,microRNA
mir119,hsa-miR-452-5p,microRNA
mir120,hsa-miR-409-3p,microRNA
mir121,hsa-miR-410-3p,microRNA
mir122,hsa-miR-486-5p,microRNA
mir123,hsa-miR-491-5p,microRNA
mir124,hsa-miR-146b-5p,microRNA
mir125,hsa-miR-493-5p,microRNA
mir126,hsa-miR-193b-3p,microRNA
mir127,hsa-miR-497-5p,microRNA
mir128,hsa-miR-181d-5p,microRNA
mir129,hsa-miR-503-5p,microRNA
mir130,hsa-miR-532-5p,microRNA
mir131,hsa-miR-299-5p,microRNA
mir132,hsa-miR-455-5p,microRNA
