node_a,node_b,jaccard_index
hsa-miR-181b-5p,hsa-miR-200c-3p,0.10344827586206896
hsa-miR-205-5p,hsa-miR-34c-5p,0.10526315789473684
hsa-miR-34c-5p,hsa-miR-146b-5p,0.10526315789473684
hsa-miR-181c-5p,hsa-miR-181d-5p,0.10638297872340426
hsa-miR-200a-3p,hsa-miR-429,0.10638297872340426
hsa-miR-96-5p,hsa-miR-9-5p,0.10714285714285714
hsa-miR-204-5p,hsa-miR-125b-5p,0.1111111111111111
hsa-miR-195-5p,hsa-miR-424-5p,0.1111111111111111
hsa-miR-200b-3p,hsa-miR-200a-3p,0.11475409836065574
hsa-miR-17-5p,hsa-miR-20b-5p,0.11864406779661017
hsa-miR-17-5p,hsa-miR-106a-5p,0.11940298507462686
hsa-miR-136-5p,hsa-miR-493-5p,0.125
hsa-miR-33a-5p,hsa-miR-130a-3p,0.125
hsa-miR-187-3p,hsa-miR-205-5p,0.125
hsa-miR-212-3p,hsa-miR-130a-3p,0.125
hsa-miR-17-5p,hsa-miR-93-5p,0.125
hsa-miR-128-3p,hsa-miR-708-5p,0.125
hsa-miR-129-5p,hsa-miR-34c-5p,0.13333333333333333
hsa-miR-181a-5p,hsa-miR-181d-5p,0.13513513513513514
hsa-miR-30a-5p,hsa-miR-30d-5p,0.13636363636363635
hsa-miR-106a-5p,hsa-miR-106b-5p,0.14007782101167315
hsa-miR-125a-5p,hsa-miR-331-3p,0.14285714285714285
hsa-miR-187-3p,hsa-miR-132-3p,0.14285714285714285
hsa-miR-181b-5p,hsa-miR-181c-5p,0.15217391304347827
hsa-miR-205-5p,hsa-miR-132-3p,0.15384615384615385
hsa-miR-181a-5p,hsa-miR-181c-5p,0.18518518518518517
hsa-miR-30a-5p,hsa-miR-30e-5p,0.20689655172413793
hsa-miR-135a-5p,hsa-miR-135b-5p,0.21212121212121213
hsa-miR-93-5p,hsa-miR-106a-5p,0.225
hsa-miR-181a-5p,hsa-miR-181b-5p,0.22857142857142856
hsa-miR-200b-3p,hsa-miR-429,0.23076923076923078
hsa-miR-15a-5p,hsa-miR-16-5p,0.23410404624277456
hsa-miR-26b-5p,hsa-miR-1271-5p,0.25
hsa-miR-29a-3p,hsa-miR-29c-3p,0.25
hsa-miR-212-3p,hsa-miR-132-3p,0.2857142857142857
hsa-miR-200b-3p,hsa-miR-200c-3p,0.2857142857142857
hsa-miR-93-5p,hsa-miR-20b-5p,0.2857142857142857
hsa-miR-221-3p,hsa-miR-222-3p,0.2857142857142857
hsa-miR-181b-5p,hsa-miR-181d-5p,0.3125
hsa-miR-106a-5p,hsa-miR-20b-5p,0.3248407643312102
hsa-miR-497-5p,hsa-miR-299-5p,0.3333333333333333
hsa-miR-497-5p,hsa-miR-503-5p,0.3333333333333333
hsa-let-7b-5p,hsa-let-7c-5p,0.38461538461538464
hsa-miR-141-3p,hsa-miR-200a-3p,0.4418604651162791
hsa-miR-378a-3p,hsa-miR-378c,0.4787234042553192
hsa-miR-330-5p,hsa-miR-874-3p,0.5
hsa-miR-199a-3p,hsa-miR-199b-3p,1.0
hsa-miR-365a-3p,hsa-miR-365b-3p,1.0
