miRNA_region_id,ff79f645-81f1-4a3b-ae72-adc169f30143,aafbf8fb-290d-408e-b104-241b7d492895,91b36078-362b-4909-ac90-1b2d1ea4a545,646eb67c-2e86-4f89-867f-78c31eff5fe0,a44df6fa-36a7-4500-90fd-d62baf48ef52,d0982681-8799-412d-a868-81078e4a6560,eaf6af76-2b28-4128-9371-a3d928d72370,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,3d4b6861-2763-451d-ae0a-6a5adfc591ec,3be37b85-90eb-4f47-909a-8be730172d92,e351b00e-5462-4be5-a57c-162a9b7b996e,86b5eaae-717c-4806-be60-7ffcab935908,f4987886-cc3e-4423-84ae-84911abcd473,86e3408b-76a3-4834-b85e-4d2a07677304,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,8f6d8863-21b1-4469-b233-21bb7c9b954c,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,265fa10b-9393-4c95-99a0-df47069deaac,415d3af2-fc41-43d5-b185-6a09946b9e84,54fb48bb-ab47-4870-beb0-5713d15d8b58,41cd380c-ab97-451e-80b7-3d9653a1e909,02fc7dd7-7e17-4930-8424-52173c33b29b,585f73db-7dc1-49d8-a601-f8d33b318a95,0895e2a3-5571-4ee2-b715-a424d0c9fec4,8334ded1-3815-4766-8861-6fa8313fab6b,0f7a5400-3b1d-42d3-b47a-2979084bf616,81ec1c9c-36c0-48e8-929a-8273d1d3febe,d68e848a-5464-4471-88bd-3faf7e088d91,52fed7ff-b663-4fc1-a294-57776659175a,7e975ee3-173d-4315-aacf-c201122d9868,6dc4e6bf-a8f6-4280-af19-5ed501969f01,a4fc56a4-2493-451a-9b30-5aa38258bcce,85236a1e-2adb-459b-b868-b9486d9a285e,e896f815-d8df-42cc-bdf6-04deb50f6c1a,f424bcaa-7212-4abc-8110-cff56b85c85a,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,e83d4619-5e2b-4da7-8c05-93611ea76c85,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,d7438c8a-6e39-4139-92e7-2aa05bae5d40,be8e6554-07ae-4ec2-8be0-8598556467c9,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,8ecef704-ed0f-4700-a34e-46a174033332,aef6b437-1da5-4f69-970b-977cdc9cd5c5,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,ddde9a13-c70c-464c-8066-65a88ab92dc7,0f40e7fd-789f-49f7-a797-76bbe3c84f47,a576843f-a9f7-47cf-a52f-7f01066fa160,37fb952c-2a89-4903-98b9-6f6d36743218,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,ed76d786-d744-4067-b288-5fe2dc06a310,557f6cb1-95e3-4c8c-b253-538a415b0d07,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,3abbb570-87ad-44c5-b66d-141f63b0ca8b,f3a7612e-35c3-43be-8f96-795874f8225c,non_zero_samples,%_non_zero_samples
MIMAT0000062,16840.250251,19471.623333,15115.208847,16135.331803000001,8118.425479,25632.674849,22471.949627,15431.883104,22059.832868,70230.723396,19730.470273,31064.226887,28099.225195,24930.09879,19331.165494,28352.078819,27074.674356,17711.122479,10253.648793,33263.158276,9565.598509,23924.881932,15666.708438,25797.437436,14041.214442,15759.395949,18054.584926,58821.695754,14186.483579,19375.687452,19169.819454,14824.353426,15150.587603,31286.210235,38160.351396,20234.954324,13239.78704,11537.352611,37593.978482,21817.053575,28742.524204999998,16137.224216999999,22065.237089,22814.68746,17565.085662,25320.792223,49595.64662,17622.409534,22754.779044,15904.149594,31004.066221,24718.69454,10485.607393999999,16514.012091,16161.456276,25629.884947,56,100.0
MIMAT0000063,22030.385091,14162.717028,13397.299029999998,14305.249233,9771.711485,19010.081339,17199.069044,17647.122499,25447.707931999998,51367.370171,18121.258125,39894.82507,26342.793880999998,14890.696676,18261.693139,15388.692256,29163.474618,21215.611511000003,11692.849110000001,43144.419189,12534.281132,10397.727271,13116.343474000001,24131.832673,12561.389892000001,26279.870034,25439.041693,67261.221948,14367.252934,25172.273112,24660.280969,25274.239059,12172.76777,47939.586985,13173.595714,13464.402105,7351.9054750000005,22324.830877,47755.562769,41472.839074,38870.566686000006,45310.583756,10743.904855,9829.301237,22203.528435,22362.177216,40112.796194999995,34397.224425,9674.167844,34254.979335,19417.290191,47383.139152,5914.295798,22388.78462,50108.428557,33458.726161,56,100.0
MIMAT0000064,2720.477578,2022.264449,1433.200981,2516.029904,622.0284,2224.804492,1655.6335060000001,3646.140355,430.730313,2056.951058,3229.396185,1363.319296,3692.9780109999997,1907.773847,373.135557,2089.84762,1800.0922070000001,3721.5642319999997,605.703925,2083.811902,1737.662315,1911.157021,1726.400897,1665.604764,2097.369159,715.882293,2449.306596,1679.5511209999997,5423.515224,1000.095485,715.0403309999999,699.163506,3756.163343,2101.57117,2164.0958100000003,2937.636293,734.193339,1559.1265199999998,2708.892834,593.528055,2228.670888,2568.41184,1403.664926,2319.374513,1746.789283,1691.7274109999998,2829.107836,1917.0617089999998,1283.980883,2006.598312,2103.246751,2642.5851310000003,574.8814130000001,2181.490022,1743.32834,1477.901734,56,100.0
MIMAT0000065,321.94037000000003,214.954722,422.567854,371.888437,107.081644,210.106462,170.57509299999998,201.74325799999997,307.952049,385.174693,391.331136,177.196199,169.087911,274.01205999999996,358.319881,200.662134,336.74352100000004,192.046577,346.54330500000003,360.51423,70.464813,112.89846200000001,677.776892,154.380349,308.13827200000003,122.130133,212.578821,211.97007399999998,296.791995,199.027062,279.277532,284.256922,704.881875,119.680757,150.445163,262.799781,99.09740199999999,93.963846,405.600397,563.878126,644.2955069999999,239.498211,146.469384,197.306479,245.99833600000002,481.654721,79.02862300000001,389.85154100000005,219.91492200000002,408.751507,510.237035,148.930044,132.002719,169.74511700000002,547.298091,310.11708400000003,56,100.0
MIMAT0000066,916.960014,676.552823,260.400365,392.35119799999995,1097.416332,909.833232,774.621942,996.90693,224.623846,1948.436013,976.166704,894.648193,991.2472489999999,595.515387,621.7096859999999,1049.774422,1583.189762,845.678785,670.680796,787.329933,293.133626,512.101535,993.5664990000001,1979.548492,964.992703,448.57860300000004,884.859338,1644.0149629999999,839.969147,810.9887740000001,402.069798,1375.369408,823.819761,884.721378,1930.070001,767.337634,1192.9083640000001,319.538296,1568.896837,654.416304,1170.92028,673.072557,1394.275863,1382.782758,1395.5546,1216.856559,2008.1450610000002,751.706562,954.8544800000001,838.632773,847.33746,1131.129825,972.802654,240.36174299999996,851.042959,2203.123459,56,100.0
MIMAT0000067,3724.301773,3422.374934,2009.278513,4056.964767,716.151118,9323.199643,4465.726274,3075.354547,6384.87243,16844.006396,4831.626206,5492.761123,7212.579647,9787.885908999999,2153.7603839999997,7859.522209,6326.321307,3352.3919889999997,2855.2479710000002,8041.395176999999,1115.458007,5577.774494,3683.7901859999997,5051.236136,3149.857916,1734.401522,3352.766583,9236.907728,2796.275977,2287.261152,2513.497789,2238.575454,4220.545822,7977.094598000001,8177.401849,6141.530258000001,1553.149239,1981.810798,5019.089113,2905.693099,3488.326479,1390.741331,1543.561967,8067.460803,1957.26198,4883.537926,6694.644652,2875.942519,11195.668778000001,2954.5229310000004,9234.33486,3703.55783,1126.805826,2582.977014,1820.797212,1586.1196730000001,56,100.0
MIMAT0000068,119.438249,102.45999,106.55769299999999,258.898408,149.368661,91.705658,125.733187,140.72822299999999,123.985923,209.50924799999999,108.721566,234.014544,99.85989000000001,129.66363,153.095324,105.18168,132.716564,121.773894,100.079317,113.865564,45.097481,42.060211,129.733206,101.809586,154.703167,127.89098999999999,102.303559,312.344139,109.939055,194.686908,138.515666,87.65632,274.606587,71.006766,178.73399799999999,123.541046,117.17177199999999,94.269916,123.40607800000001,216.550379,189.68779999999998,45.422076000000004,157.736259,151.459331,101.88487,375.656763,130.886592,57.392866000000005,99.364544,119.492418,102.04740799999999,235.087918,157.82934,83.546426,146.020467,87.22043000000001,56,100.0
MIMAT0000069,1383.854986,622.682108,401.922302,1131.679645,1739.906193,428.064435,633.941455,804.020693,723.787948,1136.184766,525.653804,1234.9162589999999,293.453292,1011.688774,1012.953294,430.93852400000003,748.263913,1300.0446180000001,1274.891,523.925726,1151.39506,256.050763,780.930613,450.9239,2008.6050470000002,1689.850906,1260.858131,768.7032429999999,677.885089,1839.60527,827.350329,1210.074631,1541.819783,531.978104,815.232762,439.152269,1225.9408310000001,1289.477818,901.8136480000001,1755.16994,1660.893507,666.4657090000001,1216.822572,374.145481,1561.787809,1785.005615,348.690064,695.713522,370.006109,1695.480854,332.89622099999997,961.27573,3693.206541,718.432956,1578.3586500000001,1347.071087,56,100.0
MIMAT0000070,385.459803,333.78718399999997,420.902891,1277.58803,178.01470600000002,216.387674,442.264288,471.390342,785.7809090000001,906.799005,303.223446,552.1330829999999,385.348899,224.958591,1198.9723410000001,536.630796,207.988645,169.905869,356.99935700000003,179.80669699999999,101.46933,112.160565,412.61487900000003,322.828929,467.913676,412.47724199999993,241.808407,484.413965,230.741656,249.868865,283.02119799999997,584.3754680000001,911.274087,120.25339299999999,286.74591,697.551091,440.640653,206.59803399999998,186.403587,346.79828200000003,1854.439365,250.234336,255.38251499999998,970.1584170000001,391.45239300000003,1182.937211,482.790388,130.183818,196.640344,690.724471,137.20980899999998,160.007485,446.70485399999995,127.640371,293.712926,143.752189,56,100.0
MIMAT0000071,152.555219,125.69833899999999,77.254329,294.48582000000005,77.75354999999999,135.67412900000002,233.00206,103.331913,360.68631799999997,315.338279,134.322666,193.246577,100.472527,130.28851600000002,265.03599199999996,173.090238,99.04221299999999,83.74963499999998,91.116993,149.178302,31.004517999999997,76.003541,94.293891,149.197316,59.598762,166.680749,146.14794,117.206981,109.939056,83.082948,89.099266,113.11839400000001,153.045073,83.032104,75.222581,242.05242799999996,86.009067,78.96636,45.737916999999996,114.364014,308.644556,76.804598,91.073912,223.504851,59.656271,230.65155800000002,380.53523599999994,68.591474,135.469979,184.33891500000001,72.61800500000001,38.155631,85.13218800000001,58.018351,68.551594,22.612703,56,100.0
