mirna,71f38728-5265-4317-a9da-95129726fe2b,74c57e6a-badb-4c90-817f-f265e9f0eae7,cba39ceb-4b7e-49cb-8b01-c44b7e70ad25,0b85120a-29ec-4948-9eb3-dbea5709cb31,2bff15a5-c2ca-4529-ba3a-3042c0de59f3,b789f2c1-a793-41c3-80b1-781e3fe6dbca,b2c1efd2-e611-4dc8-bde7-cb6c2286fdaf,e48a4127-695e-47d7-8949-db5e12abe3ff,b46f17b8-62c8-4882-9978-d9c4d1b02d3a,a1ed6dca-3f6a-4824-887b-70cadb2f720c,bc30ca6a-982b-4ba1-85a2-2e4adeba535a,eb05707c-be5a-4faf-ac42-7e5ca6af53e2,65126cbb-60a9-41d4-9fa5-6acd91bf53e1,c329df5e-f892-4e34-a575-947b80e0f6fa,ef99ae23-c33f-49f4-9757-7bb6d944b622,054d6883-9f0f-451e-a26d-cf0ff741afa4,4821e883-36ff-4203-ab40-e1343b3c7017,5a60bc87-bd7f-4e42-bdd5-cdb6af087758,1af6794a-2d3e-4a93-81e5-accc366c6922,191540a1-8853-4b2f-b7ff-2848bbee4c2b,5a41d026-6876-4db0-b8bf-a15fc771d1be,5c50f5de-8495-43d9-a6af-1a0cdec79f9e,99359a4e-5bd3-4a80-99a4-f00be159e0ea,1022aa8a-ff64-4756-b20f-43a12a53efc1,af68c263-395e-49d7-9595-024857785b06,e3476c1f-d114-40df-8968-a8f51a0b6484,ee84d78c-72dd-4b1d-ac4b-402c9b19d3c2,966f9637-a03c-41a8-9958-ea22ca86fed8,9e44b206-f1ff-4285-9dea-c848c7f47e9c,92c40bfa-1683-461e-bac4-6f573534d2e6,f16f009f-c863-43a8-94bf-f24ed4fde296,4328f48c-5c7d-4ec4-98fc-f4a28674c49f,d6c77415-a3c1-4627-a0ab-dacdac3db507,fa288f78-75ff-4f7a-aa86-3e99857e47e8,c5415243-f09a-4d9e-80d6-c1df7e6c9e3d,a5400877-bf80-4332-a111-8ef646135782,cd925bc2-7870-4fbd-829e-8797bd839539,98c6443e-64f7-438c-bbe1-bea65458e98b,31894502-e558-4758-9bf6-1181ccb38412,8b2999ed-78b2-4ced-adf4-b7ffbfee4b7f,41dbd6ab-871d-4ee4-be13-392b4995f6ce,937c07c2-b2a5-4b3f-a5e1-09edc7fa9bf5,2a3fd28d-255b-4079-8348-029bd0755803,3e0ad2f4-16c0-4c3f-a5c5-414e4f495b48,b7b6e492-59b0-45f5-aaff-051c2cab5ee8,3c41e7b2-52f5-4f92-9ab9-b92846e972ba,2e354ad2-e897-44e9-8c6f-341fc5d878ec,db7aa78b-4bb9-4d89-9219-bc93eaa277a2,3ef75f19-8b1a-4d77-a84a-f89e9869c0bb,94daa651-5d59-4a69-bfd0-b95e146cee04,2e1de344-442c-4c2b-929a-74021d92c95b,7e4b904e-cacd-4c36-a5ad-0923bec03578,428c71b7-7fa6-4b34-b85c-bc67329db834,7843d077-04e2-41d2-bd64-73edd83e9c1f,6f335026-6df0-43f8-8076-fb6534e4420f,fb898446-9ba2-47d5-b86f-41a424c6fc38,f9b88865-6e80-46ed-98aa-6d81ba5d4a02
hsa-let-7a-1,27094,18310,11859,3668,18170,19743,113083,14565,3719,3952,13746,7333,31339,4604,8275,4635,10372,10040,5807,8691,14762,21219,6569,43863,12495,7851,15046,18510,36387,17945,5255,12379,10731,7104,15462,23003,10921,27211,25420,26647,5332,11672,16538,10429,9611,6131,12213,8754,13668,8326,9222,61535,6764,8536,19761,32121,9030
hsa-let-7a-2,26983,18167,11828,3766,18091,19849,112856,14602,3589,4015,13784,7309,31475,4367,8487,4479,10494,9813,5815,8480,14862,21557,6544,43510,12620,7901,15137,18500,36337,17955,5280,12177,10926,6974,15242,23374,10943,27190,25560,26198,5234,11681,16609,10226,9641,6047,12294,8680,13478,8227,9384,61358,6702,8463,19810,32285,9068
hsa-let-7a-3,27129,18306,11888,3668,18655,19857,113804,14436,3682,4020,13921,7238,31640,4642,8469,4646,10556,10235,5801,8468,15177,21720,6480,43592,12711,7835,15483,18609,36661,18331,5197,12357,10792,7296,15239,23407,10921,27312,25365,27047,5467,12075,16782,10448,9817,6009,12389,8921,14052,8243,9285,61959,6653,8606,19870,32494,9148
hsa-let-7b,50858,58978,60658,9934,63291,54597,274958,55401,6204,14385,78462,47052,108042,17834,49206,15700,40676,26406,13935,32963,60517,42905,55023,96089,73067,11481,40278,30208,167581,45836,17951,26892,14125,11835,43042,65292,33156,60619,32480,47739,20842,33332,67633,40642,90011,16129,44176,33278,68570,20762,12030,239778,38555,19621,20612,124448,38335
hsa-let-7c,5546,3698,1702,1701,1087,9970,19514,3162,618,964,1145,2771,2746,2537,2774,827,1637,2010,4325,961,3489,9462,3169,3856,5239,1528,4338,4146,7448,13444,3752,3861,2622,1202,6161,4562,12747,7190,4338,6162,954,687,6656,5090,3216,2846,7877,2762,1909,2758,2885,11631,2198,1950,3410,4310,3724
hsa-let-7d,1964,1381,1764,662,2741,2504,2782,825,256,547,2042,922,1317,339,1387,1291,897,1293,1552,605,2156,1665,1556,1718,1263,383,2255,734,1667,1510,445,1167,462,444,591,1520,1422,2453,1426,1482,502,1045,817,1275,1573,978,1000,1098,1272,1635,676,4803,518,606,655,1331,588
hsa-let-7e,2251,3244,3313,770,563,2981,13800,1845,1020,1657,1256,1174,2658,421,1091,908,1342,1452,950,541,1861,2470,863,3687,1063,1499,788,2082,3130,3316,1028,1291,698,1953,1635,5420,2001,2920,3246,1933,1394,1152,735,1710,1545,447,1801,2111,1185,1581,1718,4427,933,910,3064,2828,1354
hsa-let-7f-1,11853,6274,2728,1267,7880,7179,22943,2928,586,528,2798,2015,7298,774,2071,1885,1817,2839,2377,1641,2709,9734,827,15640,3249,785,3031,7610,13830,4559,1559,3257,3780,1286,5772,6827,3179,14616,18716,15610,504,1944,3903,3483,1635,2287,3490,1473,2283,2892,4865,22377,1474,2509,6327,8527,2488
hsa-let-7f-2,12319,6520,2647,1224,8006,7369,22934,2896,595,530,2713,2059,7527,810,2048,1943,1882,2925,2452,1720,2719,9819,867,15739,3235,859,3008,7790,14051,4650,1567,3231,3783,1213,6007,6826,3276,15087,18820,15739,483,1985,3900,3385,1640,2282,3486,1455,2246,2935,4992,22281,1537,2578,6398,8595,2564
hsa-let-7g,1379,1300,972,585,1086,1151,1910,657,488,503,1902,773,663,616,439,860,1107,2545,1693,722,827,2191,265,2097,1366,849,1662,1433,1133,1317,677,949,438,498,669,977,1949,1716,1394,2771,1047,1402,870,958,674,738,1107,1356,577,820,624,2582,243,599,858,2019,978
