miRNA_region_id,e841eb85-0fa6-43bc-8849-716e5fac921c,4941a6e3-84e3-4afa-8ce4-a6bd1420a438,1c5f84e6-1571-4cb9-b7b9-bfa6b13e121e,15a656bc-0f5f-4f06-80ad-0584bf873805,f88848be-c988-4cef-805f-193477175d27,cb0cbce4-ed6f-4819-a83d-00f7bfe400ac,50c0b143-29b8-4060-a63e-d263ae52b029,87ca2702-d747-4c73-92ff-a8b7f30fb306,cf5ab327-47ee-40eb-a06c-3a8fef2a1ebb,571f1dd9-cf46-472e-96b4-0835b2d711a8,5fe54448-f2fa-433e-b24a-6ddf81cba9d4,70db5d78-573e-48df-a32b-66d0f1a9d9f8,5c16f348-ee14-46ea-8b6f-4862fc7b9b45,c1cd6d37-7a60-4c0e-bcd6-8a4d6d388699,bc98d560-25d3-4e7c-8212-00d1f5148dde,c4c0f12e-f16c-4c27-b711-bf6c57bda4e7,1cb6a927-ef19-487d-a0c1-f75b6ddbcd74,014808e2-fe91-4ef9-9b5b-882a9b1d350a,c5b2ce8f-1e3e-4560-ab85-fb0b0a89c67d,d27b5727-57fb-4a17-bb14-fe8003dea343,7f008fe1-75ea-44ca-b9a8-27c4222a3ebc,bf48419a-0ff6-43aa-a0ed-dfad83133863,c4b55e40-cf48-4d8d-8e7d-5fb8cfcb4a75,b11194e9-d6e1-4f0e-b88c-251a369fba1e,d1fbd937-025a-4aee-ae98-86ab414fd224,88e4b726-8b27-48e2-84a2-0f3de9b414e9,803883d2-6f3f-4672-918c-c80aca312bf9,8eb1a36e-89ca-4080-afee-3ffa4a874bc1,a53818cf-10e2-4384-85dc-962ca915d9ff,f37b4d0b-91e7-4b21-bf66-325387326d94,2f6dfeec-9971-4a74-a4cc-412b441730c6,87bff627-7d8f-41d8-b9b7-26613ba86941,a9047869-3066-4e8d-805d-3efbcadf5355,1846a6f8-8127-424a-b492-c09d91b91931,9c935a84-18a9-48af-b515-edd1db7e4768,1e5f58f3-aa26-4fc7-a704-200bf205dbfe,53854d3d-1094-4e15-bf32-f0b3ce77d679,c2a3f9ab-9dc7-48a5-9a8c-a2da7c11a793,d77f7eb5-1943-4147-8a02-c33289a8ed75,e137d046-1182-4fc5-af84-84b2c7ed47f5,9d110436-8434-4974-b3ca-311c11a447e7,1f1f7941-47bd-4a90-badf-ba6bf048c9d9,77cd82b7-c824-4d2f-99f0-326ccfa1d3ac,871b733f-966f-4c2f-aeff-1fa373fdba3b,24c6eb66-7e03-4078-868e-d33df83f0851,beec3eb1-cc60-40d6-b83f-158b3d66e7bc,af9371a0-7b65-4e61-ba72-572c056f6265,6307ea16-0d63-4fcf-843c-8d0200f9ed53,61df0f1a-f2c7-4b57-84fc-1571be570fd0,9336dfcd-fb41-44f1-95b8-edfce624ea98,83d0a04c-e990-4d4f-af6e-666d5e521d9b,4a9e0961-41b3-4e07-a4ba-f7574662f501,c4b1b889-0340-42f9-aea3-b7797232bb55,744381ad-64d7-47fb-8fac-b5b9c910ddbf,cf5bd0a9-6891-4bf0-8d09-4c235e208291,a0d63f75-62f5-4bc6-82b8-e3d41c5708f4,f3660d46-1b93-4a8b-8f4e-21cd872548ab,1e30fd9b-77dc-451e-9894-4740b51fe6b8,f4f9a228-3aba-4a06-a64b-241616713cf7,f507feab-b895-4a33-8daa-44a681edd905,b7a062ee-2ea3-4fce-862e-adb86c42a9ec,e18f28eb-b4c0-46e9-9fee-7194d77c65ee,935b5f15-eded-4c7b-a912-99cdd8b33594,f2edea21-ce45-4fe5-b0de-499c2e50f0c4,a94f6890-7675-4166-a0d5-746e7c690c63,e12c0da3-79fe-4fef-aa84-195e53b32a44,2f1fe5b6-f5ec-41d1-bf98-3455ed635bfb,bad24748-3268-4e31-8ae1-35a84c16acbf,09cf7c34-2a62-4334-a246-73877305b361,9711f9ba-0f6c-446a-9097-f514fa6441d6,dba8d64b-b2a8-426a-ad43-0ba21aeb5c51,d45379cd-88e5-42fe-9e61-29223c079002,69a63fd5-3647-4681-ab0d-964d5dbe7287,91a97f93-53f2-4571-a4bc-233643a1da0b,9c68a687-af95-43b0-918d-85e7079fb3e8,7c275803-bb6d-4fbc-b851-5fcb393f8496,e6844069-5753-414d-94f3-4e3fc0b2793f,a83060e9-a15a-46c5-85f9-9dbd3cd0166f,6cfe6db4-c7c5-408c-b43e-45f6953114f0,8ae26ade-1ddf-45e2-a297-61baeacadd6c,e0d903f9-3249-4af6-887a-080ad4024cd2,a012c66a-bcb7-46f6-a6c0-29a971ba543f,65654739-bed4-4ea7-b75c-ca1f278adcc9,d98594fb-1051-44f6-b016-8c2d9284383b,efc2c7f1-12a6-4cc2-bf88-73f2713bdd56,cca41100-3e14-4d5e-91f8-be8607823ac6,4c5502b4-f137-4b70-a5a9-65ee2245d94d,c138edb1-07ef-40ee-bb5e-591cffd94699,f2514068-0386-4006-9809-c0d8b29c6355,cc09326c-c449-49e6-85d8-67ff565b6d65,099fa301-2bd0-4cf8-b419-84c0c9e4441d,1bbd0662-6be7-4f97-9c49-e827ad5eca17,13da461a-0f97-4b71-b573-7b8347073c7b,78090b15-811b-4b2b-9559-8fbfbcaad80c,e6f5763b-ef3e-430a-b47a-dff65e2768eb,04ab7272-e2e2-47a8-8bc1-6c10f4b0624b,b5404c18-0496-4c3b-8d8a-2a0456d729f2,d3a5c8df-e9e4-414d-9584-1fc13845edb6,054fdd39-3fa4-4676-8341-6b66da8dc3f5,d06292bd-c8bb-47b2-9506-6f3c9e021d27,0b4727f6-8ed4-4ad6-a3fe-81a58dd7d033,d464d804-d185-4dee-b822-ef874fad77de,404cd7fd-7dbb-4fc9-b3f1-e3b523f1b322,6e528c0b-ea1b-4ac5-a2f0-9667a1ca1b44,aeee0cc4-69ba-4335-8629-57d1ae11716c,d507dac5-5517-4f37-a9e9-fafda456ddd0,a1f1b5f0-6161-45d2-a0cf-f62b4f48c8fc,828a2b26-d2d0-4f4f-8ab3-22f3bf82b61a,dd0e32d6-4704-4abd-82e4-2041fbc19a79,0a8016e1-0321-4421-a5ad-db2fd9caf7ab,e7b953fa-ad4a-4931-9ff0-43ed402d7110,7b9a5582-5ce8-45b7-a699-4b0d6e5559e2,0397db08-993e-4a47-802e-36f88161ec6f,42f12ac2-0c43-4fea-bf8f-edc15cd33d47,f5b1694d-7bd1-43be-8ec6-2bcaad95d802,ce2f555b-bfd9-4a8a-84b1-54feaf484cd2,d7e60e41-5da6-49df-a8e4-c732699a6f61,6a813732-f636-4369-8a31-04ef69340706,ed716c0b-4b09-4902-86b8-6955488d60c3,7262f244-82d5-4d3c-8762-782c5381a6e5,non_zero_samples,%_non_zero_samples
MIMAT0000062,17816.010013,80276.552538,25277.949547,21406.478716,24087.114783999998,15005.886935,29811.876795,28555.385023,23405.609655,24870.515929,67311.531186,15102.975865,13529.094021,21099.960476,15431.83399,23373.158656,67057.823923,8626.25538,11288.237333000001,37807.770252,21864.495422,39971.424004,27359.288277,29639.374534,33826.824832,19869.691403,13323.16189,19912.09823,16931.660224,24348.437816,16238.772848,20552.230886,73454.502254,26284.419011,37086.145909,47080.822968,41416.062103000004,27125.744076,11880.194793,35089.738627,43455.92147,25781.621083,25206.282527,33466.718192,49830.438881,17389.954496,24401.40724,28129.452709999998,54387.523444,21793.291076,18659.416621,19023.056385,36050.91216,21277.634262,55609.55662,17512.036618000002,26773.245561,52046.91711,33827.463577999995,36597.493058,21842.493012,13011.215874,10561.575695000001,19673.587327,33172.23002,15699.40688,34104.408377,14596.119286000001,42068.877954,23471.883516,31957.031892,26438.214188,35841.226669,52517.902222,12294.640344,58201.374978,9619.071238999999,47626.025668,31975.434955,91918.064773,18285.469872,46872.249424,22840.720984,40261.695243,59491.55788,28263.640235,5212.760014,13000.20349,22178.831864,24251.307835,46452.028555,32267.311029,14494.995852,27807.259114,40441.64927,23470.732066,35615.744985,41188.982773,43737.94099,18652.310781,32754.519446,30520.298295,34893.490411,51900.021069,24615.616811,29201.527069,75082.985782,20727.311257999998,12492.596769,26183.344715,23248.827649,30808.798409,24241.084739,13442.672413,34548.018792,24950.421218,21808.639435999998,9129.213494,36552.149485,29680.756395,120,100.0
MIMAT0000063,22743.128759,41654.931654,40233.343432,22526.135719,32331.799035000004,13243.951379,9445.317282,13296.837698000001,43471.015183,27929.562532,66176.459168,13643.789728,9780.949935999999,19440.387391,19631.898898,51852.990582,36722.661095999996,13732.13242,10724.632849,72616.897155,31685.628022999997,45578.297052,16062.040245,21205.879915,20853.816301,23154.411486,24529.831199999997,17550.334265999998,16088.241030000001,10217.749867999999,16497.474844,22656.296692,48355.656888,14704.014812,57069.189035,29896.172711,101540.189589,66326.937561,10617.376936,12568.756922,30109.670193,41188.452137,29817.889846000002,20347.09589,22970.626168,14234.878246,18163.636085,26346.977409,56296.227289,42345.318366,22918.349357,22631.762877,35022.338205,29538.070517,140299.706973,15843.84203,26489.3617,42811.753395,52487.656513,51324.289169,50421.393847,16194.165626,13085.567856000001,20769.477738,30440.478210999994,19861.630769,35751.464983,10446.105093,33013.748561,12387.267137,22689.805134000002,44499.080436,24042.604381999998,70412.395035,10109.38997,40042.744794000006,7365.3645750000005,35760.771025,22990.088982,49253.286987,6305.908170999999,34426.720612,18305.786033,23750.589939999998,37798.95384,30468.982199,4000.1404039999998,11068.84074,30354.08101,77095.706232,76179.173671,19871.223697,25373.002057,33168.012438,20501.369693,6768.774019,61549.191016,71364.462584,34826.762951,29105.549466,38651.850671,25713.65073,21181.672148,36489.675517,9037.264887,47421.534857,101928.35560499999,60766.827787,11609.785817,21573.521879,19358.39883,26526.779967000002,59723.85532,17742.458689,52442.931341999996,20270.602945,23530.070685,8337.803743,21448.774247,64899.079582,120,100.0
MIMAT0000064,620.655318,1420.125466,580.3152100000001,1166.205478,3357.8054749999997,428.66855599999997,1282.548661,500.399129,5004.751183,2608.362639,303.44535,1054.173568,534.858804,540.074127,1057.06533,2816.757061,972.534792,2002.630322,504.22286499999996,1424.5933579999999,606.117175,1211.463029,1843.7053669999998,1972.2230319999999,1181.836121,2584.568206,2081.9666819999998,2578.0750590000002,1065.687778,1105.623659,712.9034459999999,2295.514313,334.915243,2014.5568480000002,1571.4275989999999,450.387096,322.103749,1748.2755050000003,578.727524,823.542952,3906.35547,641.653679,1711.364597,1081.214547,4589.05863,1516.0756020000001,1279.637142,521.922741,1435.13235,217.678121,1841.560438,413.980387,2546.714543,2230.1757979999998,2615.48613,2044.5103159999999,4418.126248,1884.177969,2228.277228,1229.248968,2210.10756,766.8159009999999,996.5330700000001,913.4203770000001,1149.034721,506.26125,311.151501,1809.45492,923.123548,2011.875729,2375.684334,657.227387,1215.781096,3543.738087,1149.399981,1177.0633070000001,193.274534,594.5876059999999,1198.438813,1250.1980350000001,508.076264,5573.8970659999995,907.762306,335.562236,11640.945934,1693.187674,694.059671,2264.905469,1401.7966290000002,609.568094,3287.362682,841.4204050000001,294.406135,2332.012255,788.3448269999999,985.8228909999999,709.393866,1174.544469,385.39185100000003,1172.9067519999999,500.218649,191.376926,307.550479,1702.486302,1425.28757,1251.5315620000001,911.513744,858.739526,490.711407,1596.471702,1214.427399,2613.186361,2650.006142,654.112162,1178.909614,505.27186,1273.364927,1222.48488,2111.179485,908.30468,120,100.0
MIMAT0000065,282.116055,360.56764,173.61039,238.56091999999998,190.480835,154.221183,88.555496,150.741356,119.59643,291.893761,215.415129,536.2138229999999,117.48002499999998,244.65871199999998,208.773404,360.83528,444.357695,385.248952,178.665746,281.25019000000003,280.620885,266.014519,221.72698200000002,221.875091,202.60047600000001,242.38560499999997,92.069072,646.284567,181.419229,279.49557699999997,213.71035,284.838024,77.541953,275.452951,333.379048,276.68831900000004,358.951909,86.852484,257.41702,269.110493,294.62449300000003,340.46929900000003,254.601459,417.981047,111.919038,167.051989,467.26255499999996,242.108648,287.248284,327.901904,187.26854,650.719546,155.928352,266.236666,212.850905,258.494483,200.42318000000003,195.95450800000003,227.38852400000002,70.316524,208.48681499999998,254.762414,163.297436,447.880992,539.867481,420.00441700000005,116.48504799999999,109.199026,258.834995,296.532516,456.539913,243.00844800000002,255.10073500000001,168.074804,261.85927,343.404265,232.696957,301.50931199999997,210.68962199999999,283.94458099999997,84.408837,248.305257,340.491625,205.667174,174.976641,122.58119,81.064167,249.493494,215.15391199999996,180.94973099999999,130.787997,136.627459,305.922018,177.226169,224.612213,104.285397,159.188601,214.569221,87.50443,293.732628,216.908972,480.294348,242.03220800000003,507.796037,136.423706,320.635973,201.61290300000002,345.430998,81.589575,631.163232,279.105243,138.056086,116.81524999999999,128.152588,408.828436,203.400175,250.39000000000001,320.543051,171.62926499999998,269.065417,120,100.0
MIMAT0000066,508.571372,3222.395849,657.09112,884.420975,2156.2662960000002,936.105998,700.612538,802.399846,1029.313541,1918.325791,857.000086,540.777347,1419.2059179999999,763.061438,599.323648,768.6432000000001,1680.4069259999999,707.396779,727.164382,1277.1747799999998,802.9706329999999,1002.353681,860.822393,1456.755649,1530.905345,1250.130087,358.959773,2517.154792,1544.666577,980.135849,1000.5286510000001,991.796666,402.55822299999994,1299.413739,1400.949677,1597.875035,891.9796170000001,712.544868,1092.025664,1821.764555,1188.027603,2169.00372,764.542353,2451.417316,2279.972279,613.837263,1016.2040779999999,1279.603734,1129.029932,653.588252,809.767844,1332.7538000000002,1625.319722,633.6432619999999,1319.6756169999999,938.7118790000001,952.7447980000001,1232.790728,927.797301,827.348096,1617.062034,969.740798,594.570152,1221.104451,2124.820043,1207.595644,920.861526,992.2671750000001,3796.5196509999996,912.3244970000001,2099.778742,2176.950649,1269.531416,1033.563445,1027.739702,1230.908492,736.815555,2267.944219,1930.6418830000002,1136.1609939999998,525.526165,895.010732,595.6988220000001,1324.929603,1312.824737,875.420008,490.981406,1344.787622,722.773296,847.127803,1420.5847709999998,1109.950456,2385.290507,682.185457,2454.8793689999998,602.085221,943.153826,655.1666349999999,782.575077,894.2076860000001,1229.045441,2965.7250120000003,759.24116,2206.068267,1151.455469,550.863115,897.15082,608.616519,729.023407,2351.104621,1307.107384,903.57074,730.506659,2123.862146,520.107185,1314.029689,1767.555713,1237.9593730000001,1816.7585510000001,1382.093783,120,100.0
MIMAT0000067,3158.174848,12963.400394,2275.610297,3709.746999,4875.844821,2155.7799769999997,1453.033055,6092.851499,3385.297874,3744.413152,3577.133894,3050.7144150000004,1639.997525,2929.631247,2246.713773,2459.1244619999998,15708.675888,2010.6009860000001,2937.827443,3344.431619,3464.381498,3865.437785,2682.133585,7170.5995330000005,11898.612056,4704.124906,1496.122411,4112.559456,3505.8364570000003,4361.652064,3263.501649,3874.7310370000005,5043.526605,7857.2631249999995,3657.319681,10005.356996,2822.060864,1835.71882,1764.44315,16257.67816,8962.620010999999,3739.210036,4112.736046,11207.428216999999,12678.990113,6052.482690000001,4845.549492,8074.521831999999,9043.330131,2722.915133,2643.028291,3782.81624,8471.646279,2100.607293,3298.544033,2580.789915,4653.814506,4692.141472,4175.087858999999,4378.010024,3303.374104,3298.003749,2014.839132,4469.713188,4947.108634,2870.3619479999998,5678.383731,2709.670028,2825.8884120000002,3595.9077039999997,5217.816792,2577.362295,5735.074047,6737.159346,2296.482627,12150.185148,2362.554418,8111.443621,4852.204632999999,9365.579034,620.4861060000001,9176.793962,3317.047452,14697.625951000002,9148.278708,4008.237006,949.370004,3207.141532,2101.196657,1578.002976,4969.523452,3371.19397,1896.115692,4093.450957,10486.307459,1597.684867,2116.203813,5915.4070169999995,8918.625227,2283.655514,9187.644286,13772.553667,3367.639213,11123.577747,7079.441479,3574.302658,7517.129116,2441.23924,1621.81294,5189.180598,3639.021041,6195.805075,2885.281931,1087.962069,5325.252453,3529.638718,2139.022455,1410.38943,12113.119039,2854.4331079999997,120,100.0
MIMAT0000068,176.894389,122.649779,99.601181,262.666379,91.17528,145.10057500000002,148.797332,142.453172,58.164384,156.455056,132.563154,126.06729200000001,232.598642,277.165814,139.182269,97.68174,293.94203999999996,171.36936,83.863512,222.82623700000002,321.307921,235.162321,148.638288,113.178708,205.231653,144.245782,108.509977,210.130774,50.460978,169.21841,110.87228499999999,270.829598,556.817215,142.511339,275.037713,201.367611,214.73583299999999,107.531643,158.197809,141.850411,233.476012,324.993422,175.638108,130.653677,87.720328,129.228897,260.48967899999997,75.01399,170.796277,223.217005,113.606121,262.417219,104.758959,170.391466,148.995633,108.324323,167.50911,179.266075,241.72247099999998,157.083245,132.606456,128.329455,267.97528,236.515411,290.611894,141.992014,156.362813,158.383711,422.654614,113.63472399999999,246.180957,236.565041,275.577049,57.956828,127.45362700000001,160.40594199999998,146.176949,154.970164,82.010369,296.190171,154.208451,243.363858,401.224477,144.327843,44.993993,330.801294,189.289005,248.60876499999998,229.537456,132.426899,113.54585,113.790593,151.709285,89.96595599999999,154.145636,375.590375,125.959912,19.193775000000002,53.992096000000004,100.609208,127.742312,269.162387,224.303734,310.261272,170.261083,186.07399,138.309642,95.307993,91.568158,283.203201,302.54156,163.134162,146.97881600000002,56.066757,258.037672,242.14306499999998,166.377564,162.113729,62.791194999999995,279.928306,120,100.0
MIMAT0000069,1630.9357790000001,973.816539,1420.7001699999998,1117.163338,441.358033,624.347045,685.552079,741.792506,639.154692,1054.320258,977.653272,1598.3735550000001,1021.899108,963.2367449999999,365.95338,774.5147800000001,1731.5023230000002,2869.440458,1226.6992249999998,2711.2790130000003,1371.39247,1188.838083,1157.852881,346.259609,675.773453,737.6953110000001,448.28869199999997,3053.959462,761.720466,680.6763010000001,912.152196,1064.640484,1799.9632060000001,534.870144,1293.359164,572.591105,1701.368525,1281.517257,1829.5653579999998,685.7454170000001,645.632644,2838.0378,1126.150221,537.008762,345.587841,551.586753,1981.634747,379.038943,1004.814461,3990.211681,1326.961012,3417.686792,568.74089,820.008932,2307.8198199999997,840.7748220000001,635.946868,698.222523,1254.871911,302.554589,1029.173424,1580.411998,700.922837,2178.403254,1239.571501,1766.274503,850.550733,551.409955,4451.798124,484.119993,1230.9047770000002,3546.634614,1053.676949,397.326262,583.969347,764.752267,969.861382,1096.433997,475.75076,909.2349370000001,2040.421282,908.5995800000001,1929.8832750000001,975.656217,200.97316999999998,666.640169,1124.86974,718.399703,1042.807247,2272.486032,431.89477500000004,445.318895,1575.673644,333.821049,508.240182,1314.973675,1097.319486,525.6802729999999,415.180595,1439.752436,828.427854,1623.2055839999998,987.398907,899.1782519999999,388.324172,1014.996828,945.293214,1338.182269,716.69692,930.771493,1061.026041,580.342185,1108.373843,1884.91097,2773.904978,1353.5797289999998,1671.18851,2604.872851,420.70100299999996,2708.2019060000002,120,100.0
MIMAT0000070,301.177952,373.627571,201.277388,1101.370106,116.72758400000001,296.83432,302.41400899999996,294.748557,87.573341,662.015047,502.80790599999995,427.83018,433.908633,263.478612,352.75506099999996,346.42322,580.420706,838.9128000000001,113.55432300000001,740.4896319999999,293.784338,400.39298700000006,440.993065,218.513347,172.341965,245.678886,186.330263,1017.986488,132.159703,542.829843,207.818587,815.2904769999999,452.87800200000004,322.00838200000004,572.805817,443.469889,203.300195,121.120809,246.66571199999998,381.37495900000005,370.06742099999997,2035.6730870000001,228.77232600000002,411.337639,216.654083,475.940573,493.017186,169.872949,756.383512,403.23072,244.849724,1238.809686,334.32975200000004,338.120566,182.535777,616.7066980000001,459.033735,374.14391299999994,876.976941,348.357093,596.7290439999999,606.246044,515.014988,347.81678,946.724132,521.522074,134.849806,245.923426,1684.884774,512.618863,469.496807,659.988846,630.499811,60.532688,834.241923,300.478732,346.428904,381.001778,333.02553100000006,814.331623,425.69648300000006,205.68569799999997,469.71045799999996,324.01600699999995,244.96729800000003,347.033506,423.28865099999996,605.15443,888.184099,204.200257,262.417078,527.216623,183.753488,541.486823,725.805739,1481.993254,290.557835,152.977258,280.510653,284.192099,218.173749,425.556432,520.292163,1236.304254,765.0111509999999,285.944212,226.88100899999998,134.97934,126.199704,4111.626959,661.5433459999999,281.431761,222.66193900000002,274.994095,174.175427,782.122095,453.831872,581.398778,220.46685999999997,345.94125,120,100.0
MIMAT0000071,141.058029,181.703377,138.334973,151.282535,101.04776100000001,83.743761,125.303016,132.61095,50.975528,95.74115300000001,224.21814999999998,94.693079,118.07037500000001,57.030003,56.392815999999996,112.0938,235.95738,136.165578,65.111424,112.092468,73.595669,110.38231199999998,167.095027,66.114294,96.914948,81.67341,76.724227,183.643702,97.317599,136.895792,159.613243,142.88596,139.410532,121.044114,184.11615600000002,101.452384,91.485089,67.35498700000001,60.82168,92.40541100000002,126.267639,232.13816,54.610168,155.56645500000002,150.107627,206.451042,177.339016,61.51940999999999,397.04589000000004,55.388834,185.71229100000002,165.341637,174.598267,63.896800999999996,74.17531600000001,246.623324,183.378393,91.517215,233.903954,206.433834,83.984087,177.00614499999998,93.791348,122.53852800000001,318.55534499999993,93.55548599999999,53.520157,89.79589200000001,187.573462,154.759671,123.471564,132.550064,207.322672,74.055948,166.84838499999998,184.88102600000002,158.736305,106.792912,131.397829,212.00174900000002,76.292601,95.739591,83.34614800000001,224.429798,140.481246,115.864412,106.135556,130.055118,225.34225600000002,42.457479,152.23554900000002,165.764151,33.546278,399.097095,239.586361,178.425797,146.438057,105.136054,133.428741,49.148177000000004,154.93498000000002,152.278415,84.017548,335.018962,411.061457,86.72940299999999,149.214826,53.217661,56.349635,658.792811,98.006421,105.125276,100.910829,22.693688,65.315786,154.16441899999998,86.483387,52.318521000000004,126.97774899999999,73.533407,120,100.0
