mirna,4f513085-a7f0-495c-9a87-34f70d757900,a9e1fe98-7705-4751-8565-178d78bfe746,89663744-7c27-4310-a869-03fb9b499df0,a44c536a-f222-44e7-87f4-e63968b2017b,2f047527-d137-4f50-870d-1de05964627c,2a30b4b5-e925-469c-8555-9cc602ea4e1f,05f36336-c79f-45cf-bdde-1acda13d415b,12d172c8-5deb-447b-b651-ed10adff51d6,b1e9cb2b-97ea-46b0-8d25-281843c50161,8aa6c876-e83d-4487-987d-b556ac07f4ad,7c44a1e3-6765-4a73-830f-6ff19d87d43f,0c763950-a82a-42f3-9d68-67be5e5380a8,e6e6542c-bbac-46b9-ad05-ab211c14f675,f09fd1c6-c8bb-49cd-97e1-6b9f661770f6,e5a1fc0c-20ec-46bf-bd88-7d231842e8e2,9356ab97-fd04-4903-a219-1a096421b99a,d0907f83-4aa6-4aae-a059-56e315fbb037,b66f1001-d558-4884-9dad-923bf16a4ddb,eade8358-09b3-4ff8-aea9-ffc96570fd05,242669ce-6888-44b0-aae7-2bad4cccac4c,c7302dc6-6512-415f-b26a-b6aa895a6cd7,85df6b0d-d432-4215-aabd-39cdff61d3c2,2272a72a-201e-4e84-b4fb-5e20939e0fa9,7cf82d45-89d9-4bd3-8776-cb1eb0c321f0,e28b31c5-4d5b-4700-bdd9-82471e53be73,3f8e6f58-24eb-4c97-95f3-8dedd4a9d05a,dc8d96ef-81eb-41c8-a486-02d107c1a137,c0e523de-6df0-433a-a174-8312b795d590,ccd9bf66-fa1a-416c-b3bb-f3fff7a964ed,69040223-f00b-487d-832c-18f9a7b6cd58,d72da257-f34f-4efa-b698-aecfc2702e8b,e7d55838-b9ad-4147-8ad2-cbe0dd6d5f24,4db49f5a-4675-41f2-af9b-66cd8cab43cd,828a28bf-5c89-4bd8-a791-19c3ea598efd,ca97a614-bab8-4bdc-a663-2d6a81ae4c27,9d37685b-7c6d-4bf9-bb56-b68a19fa956a,93a287f1-02ac-4023-a8d5-88e188b65168,e5e500b0-8c8c-4c5d-b59b-476aa4f59575,c645f59d-0770-4609-b4a7-0e2c38ee0ebc,76c7c7b9-0ea8-4a26-bcf4-ad15da31c05d,bf53b78f-1699-40b5-a76c-fb4b6c7e0de0,b88178b2-b232-440b-a8db-db4af1e36381,d716a9e8-f98d-4bb4-8cea-9d8cbe3f9838,a1852e52-ac0d-4e5b-bf75-03765e80ab57,ffcc91b1-b803-4dab-a98e-37f12f28be82,6d779189-cfd2-48bf-ada2-ca78e2818468,457906f2-5c59-46a7-abdc-1ebce70de203,5832479e-b21c-4613-9f88-87e21fd65475,c933036a-3ea4-4ed5-b318-95c310e6c11d,d44ffd83-1b69-4fd3-9b67-51e16228820f,d8e18a38-0e22-4c3e-882e-2036af42a78a,dfc8d02e-6bb3-43b8-8076-25930dcd932b,8b1478bc-6e80-40d3-a083-05b948ac0310,d936528d-2256-4f76-862f-b550be76f874,016db033-3cec-4c63-b90f-0428da475a63,38dafa49-8904-4098-9b2a-14c2616607d5,8e19027a-faf5-4f18-a23f-4fc0325ed416,3f09ffc0-db54-4f87-b8e4-92c55f2045ea,5bd1aec2-6ba0-4396-8114-2e7e7f49edfa,e30030b5-84a4-46e6-b756-7d929c08d2e7,eb0619c2-7b8d-4513-a296-e910001cd0a9,dd4dc066-210e-45e4-a2e3-4fa2e2635276,c712ff91-262a-4a05-95b5-1e80ee9464bd,41a30b1b-9f16-4a48-a237-2e0a3b95d864,baf89520-278b-461f-9c85-daad7f717a6b,6c491aa2-ab02-4e44-8d1b-1ebf3125469b,c2cf4ba8-f4c8-4be0-b61a-2e3bd8119638,04d6d73c-53fd-4146-a163-c4bac388172a,dad4f7b3-abcd-4dbc-8787-ea7c95450bff,88d0452c-0693-4572-9bfd-bd856805c7e9,b7f48223-8420-44c2-a8ff-b59b859cd664,05f65c8f-273a-4e14-9ba4-269c48dd5d0a,7076d394-c6a7-4e0e-b728-842fdaf4af34,7facf64a-4732-48a9-a274-79b33a066377,9d8886ed-3a21-4b34-b9b1-e403659b0d94,3a06f1a2-3a06-4f3b-876a-2c570036a132,378e7d58-2089-4797-85e8-af08e71477ab,17b9eed9-f422-4589-984d-800667aed1e7,aa273e13-4932-44ac-87d8-0f71ee6db500,8b4d83e5-198c-4290-ad6a-78f962132f13,fc3603d8-3812-4715-8509-12f422d50f5f,2683fb0e-6a84-4bff-a327-64cfb2dc3308,fb84de32-ed6d-4eeb-890c-05235a3aa853,c9304075-c938-436b-a617-8e0d08b06f29,355ae847-d5f0-43ab-90e6-920c6ef8711c,c46637b9-d9e2-4652-800d-f037b8a8d204,9921ecf7-18c2-49ea-9243-293de7bd9e59,fb69a4f1-3642-4012-a9be-68afbfeea487,bd161fdd-1714-45cb-b8f8-f042a691e297,ba6e046a-347b-46a9-b12d-6ee392422dac,5ea3601c-639a-4e8a-8b71-9586e2d5ea83,846495f1-2325-4885-860b-ecf2c64a2f4c,683a097e-79ff-41d5-843c-d23674867f02,cd5d99fe-041b-44c2-a01b-d860e35620d8,fcc826d6-c4b5-4d85-94cd-ae7a9988dc89,2d1240f7-4d76-4364-87bc-943032f84702,49f51142-960c-43a1-b738-4996fcf4bf2d,ae7025c3-27ac-4435-958a-0a2887f5e737,597789b8-5b5e-47a3-a937-f7bb9979a554,9b7b5c81-80c9-4db4-8cd4-9eb4c41e88f9,22bbada8-1c32-4c82-8bf0-3d71dce76841,01626fb9-a7f7-4324-97f2-ef2fee03f3c7,3cdae844-cac7-483a-aa41-cf58f7e958b6,7f660b4e-d8f6-40fe-af08-ff2b5c658026,32ae48df-7f72-479d-93b6-8ae2ebe1e531,7d2b66f6-b6e4-4c5a-9694-39b1939680ac,fb6ec196-dd93-4f94-9097-4cc4d2ae2290,aaab4fd3-9025-4add-b199-7ae99245b0e6,a3870ea2-d450-44c3-b3e3-f26acd52cdb2,55e9dc18-7bee-4a15-9c77-db1ba5ad4a6b,8bfeb4f1-4193-4386-88d3-1dc935f5d7a9,d774e774-3339-4507-adc0-c23e5954740e,406fd7d3-b73a-4014-b315-1eeaae01e988,e275259d-aa1d-45ab-937c-6263a61a6cc8,5c97f076-c198-4d3d-b680-97c3e9fb08db,52bf7f7d-166f-4207-8737-ea117f3be518,aa94ebe3-13f3-40e6-98ee-4829309d819c,f2ac5078-6abc-4e01-80d1-a0d723fe91af,8c105b54-7d1e-42ba-ba2c-259d2f7e9278,939775c8-4388-4f97-997f-efb92dc93c79,21abffb3-3e07-4022-86ff-51a41036cfc4,00d39f52-dfb1-4256-a6a9-54dea7a0401e
hsa-let-7a-1,18607,27227,3499,4353,23638,27123,19673,19524,39154,8023,24793,21676,10122,10028,80258,6152,18390,4855,28835,16450,10200,43744,8501,7266,10964,13180,4216,15132,30859,15329,10811,14755,15247,39580,20053,12089,14356,12204,14853,7959,9841,8749,91663,20369,37049,7314,7142,7194,8889,34620,9683,21553,14705,39531,10401,27360,29831,25530,25678,9603,40647,32784,37965,21738,4130,9121,13756,11511,28929,6890,9615,7128,8590,12705,14048,14088,7119,10243,17403,23226,93945,51580,14179,47169,7800,9080,11951,12259,4196,12258,17240,12370,47752,3349,9925,7688,32557,16365,16400,23631,11883,7173,34721,17016,12298,36872,21688,18300,43456,8052,15203,7853,7572,22876,12025,8737,18434,17221,34001,14177,18342,25206
hsa-let-7a-2,18589,27407,3561,4295,23592,27485,19643,19496,38890,8154,24548,21509,9955,9977,79673,5942,18578,4917,28695,16323,10124,43841,8668,7487,10951,12914,4234,15184,30852,15079,10742,14448,15084,39759,20040,12011,14196,12196,14814,7941,9757,8358,91546,20370,36816,7057,7226,7352,8757,34274,9455,21534,14687,39478,10268,26971,29494,25193,25736,9625,40461,32751,37603,21671,4122,9255,13807,11155,28838,6888,9581,7113,8325,12912,13863,13828,7051,10112,17411,23855,93804,51392,14216,46942,7921,8758,11631,12210,4078,12409,17226,12403,47888,3321,9853,7548,31894,16651,16408,23555,11713,7453,34766,16839,12185,36605,21691,18393,43328,8055,15104,7727,7383,22808,12002,8767,18405,17134,33838,14011,18203,24819
hsa-let-7a-3,18661,27734,3597,4384,23729,27508,19871,19446,38951,8208,24976,22037,10370,10211,80524,6081,18790,4966,28795,16348,10138,44272,8683,7351,11314,13321,4199,15666,30707,15588,10863,14771,15294,39739,20442,11957,14352,12475,15606,8133,10225,8684,91947,20595,37691,7359,7350,7453,8882,34850,9758,21717,14882,39870,10321,27255,29838,25248,25795,9590,40671,33100,37984,22001,4236,9277,13949,11603,28916,6868,9816,7117,8730,13199,14148,14331,7168,10062,17616,23628,94848,51703,14594,47400,7980,8788,11866,12188,4240,12417,17643,12287,48290,3462,9963,7745,32573,16551,16309,23323,12055,7475,34895,16856,12136,37143,21643,18520,43523,7947,15343,7845,7692,23063,11840,9047,18822,17118,33943,14178,18238,25089
hsa-let-7b,32968,98212,8744,20700,66434,50520,53566,66558,64379,44821,62739,34430,30884,35196,128867,15999,107053,12537,217680,75461,36189,60868,27126,24279,24729,76582,15658,112406,159638,23336,23203,97253,45178,75764,36847,44255,65089,38876,15572,33330,27260,32748,101160,38995,65422,20640,34656,18203,18957,122380,8325,100878,109025,89403,25140,109383,58808,55802,47614,48482,104840,69361,159303,160132,11431,21167,55698,40479,31225,25671,50795,23978,10777,34656,29794,28250,19855,25006,30779,50848,383591,106450,125811,73447,30012,23993,28433,58272,9603,34146,80623,50689,249338,13399,68534,16620,79669,15726,50807,56151,77864,18096,101390,54497,53025,181349,68183,25736,128154,76444,27538,29887,19924,67137,66577,28602,90342,40366,56931,40220,37977,31517
hsa-let-7c,469,6967,1007,3039,1331,2165,7037,1814,1731,3835,475,5662,1362,3940,3320,522,2136,2607,4070,2087,664,12205,1426,2502,1759,398,1213,3003,1898,914,4063,5338,7667,23505,1975,3599,1472,1747,1277,2572,1040,1781,16028,593,7643,987,542,1152,1797,1606,1238,4122,4885,1493,632,5508,411,9059,2732,735,10474,3265,3864,515,1783,558,5797,2362,2072,1233,594,2257,1178,1934,3154,1438,861,1867,3041,2701,3480,3158,1799,2537,780,1896,1453,861,1684,964,3449,2364,4162,521,3045,923,3519,2163,1311,628,1112,1947,7495,3047,1025,7973,596,996,591,642,401,823,3000,786,7761,1588,2404,1153,7952,2728,5013,1147
hsa-let-7d,863,1594,456,1193,1180,629,1953,855,1639,468,2445,1192,1244,647,1445,406,1001,598,744,940,2554,653,692,875,1108,919,454,500,1223,661,579,1434,750,927,1355,927,912,1784,441,501,1257,709,6272,1075,2640,773,776,908,577,2923,264,2156,467,1621,668,548,282,572,1240,916,1266,2027,1322,1721,1703,1897,518,850,1450,1228,1237,997,513,1347,1545,731,336,1510,695,1633,3760,1548,1749,1323,1327,2657,816,748,464,826,720,564,1481,500,852,415,990,390,628,576,722,554,1575,787,1121,876,406,949,1583,434,776,978,1602,1349,562,578,1041,690,1841,1146,989,1439
hsa-let-7e,1848,2048,900,1072,3244,2861,3231,1482,2960,674,7297,2567,1904,1912,2983,1143,1900,1553,2079,1890,2159,6080,1092,1079,1401,1200,727,1217,2478,2810,2236,1480,1662,2672,4474,1585,653,2318,1323,725,1932,1021,12949,2103,3575,1415,1844,1250,1328,3921,756,3184,1345,5753,1657,1617,498,1468,3522,2404,3627,4223,2570,1441,1717,2151,3747,1056,4550,1573,4832,1661,1042,3600,2798,1507,1259,2782,2620,4315,3430,3306,1301,5733,1839,971,942,961,1207,1369,1457,1221,2329,1619,2220,2461,2312,1172,1039,1274,1676,788,4744,1578,1360,3412,1764,1562,1679,845,1007,674,2894,2612,1587,2169,1067,4689,5090,3905,1522,4186
hsa-let-7f-1,10148,6062,1007,1610,10071,4243,4278,2798,13671,1353,16599,4917,2942,3513,12016,1279,2459,1817,2568,2390,2955,16517,2242,2088,3258,2569,1241,1581,2732,5880,2983,2265,3921,8954,10087,2544,3286,4178,787,1158,2204,1867,39590,6521,5447,2799,1576,1702,3143,14379,992,3914,2582,10046,2130,5153,2991,7427,13575,1389,12197,10413,6720,2304,972,3407,4192,2822,19909,2637,1865,1604,2278,2891,3380,3321,1417,2984,8661,5309,14115,16068,2648,11260,2196,2571,2458,1623,1126,2542,3246,1755,10261,411,2194,1431,4442,1197,4098,7141,1739,3822,12280,3516,2853,5882,5282,5858,3433,810,2203,2131,2319,7771,2614,1296,3373,1753,15223,4342,5697,17801
hsa-let-7f-2,10232,6053,977,1422,10284,4322,4441,2845,13715,1385,16909,5065,3165,3636,12468,1326,2474,1810,2556,2448,3102,17023,2225,2065,3332,2355,1172,1530,2752,6028,3029,2357,4000,9353,10167,2559,3327,4189,754,1215,2226,1881,39529,6501,5465,2852,1570,1721,3261,14699,971,3992,2684,10173,2250,5314,3129,7438,13576,1419,12271,10709,6871,2144,958,3378,4212,2757,20227,2592,1926,1607,2314,2868,3470,3409,1349,3032,8705,5415,14166,16215,2433,11575,2135,2789,2678,1673,1153,2600,3166,1751,10411,408,2311,1350,4280,1219,4065,7237,1690,3862,12231,3650,2948,5940,5540,5912,3496,755,2171,2026,2343,7794,2573,1305,3430,1700,15162,4418,5591,18364
hsa-let-7g,1035,918,640,1137,1234,1139,1722,1259,2520,568,2266,1703,964,967,2233,575,1126,714,787,997,1727,1675,1054,1058,992,750,341,438,1283,817,894,1036,1162,1134,1823,870,1333,1903,578,531,1093,417,3757,784,2857,782,651,945,526,1573,388,3228,671,3070,1273,425,847,1069,2042,908,1575,2104,632,1053,1322,1165,318,838,2714,815,1069,749,635,1914,930,1710,650,1022,786,1433,2164,2291,583,1444,1211,1200,904,849,600,833,1694,641,1517,817,766,559,2021,323,641,618,1508,712,1143,1141,881,980,634,966,1589,541,1395,668,899,2060,411,857,1073,1766,2998,490,811,2424
