accession_id,mirna_name
MIMAT0003322,hsa-miR-652-3p
MIMAT0004509,hsa-miR-93-3p
MIMAT0000081,hsa-miR-25-3p
MIMAT0004495,hsa-miR-22-5p
MIMAT0026477,hsa-miR-128-1-5p
MIMAT0016888,hsa-miR-4326
MIMAT0004927,hsa-miR-708-3p
MIMAT0004808,hsa-miR-625-3p
MIMAT0000244,hsa-miR-30c-5p
MIMAT0004586,hsa-miR-15b-3p
MIMAT0004797,hsa-miR-582-3p
MIMAT0003885,hsa-miR-454-3p
MIMAT0000682,hsa-miR-200a-3p
MIMAT0000082,hsa-miR-26a-5p
MIMAT0000098,hsa-miR-100-5p
MIMAT0000728,hsa-miR-375-3p
MIMAT0000243,hsa-miR-148a-3p
MIMAT0000762,hsa-miR-324-3p
MIMAT0000076,hsa-miR-21-5p
MIMAT0000752,hsa-miR-328-3p
MIMAT0004503,hsa-miR-29a-5p
MIMAT0003328,hsa-miR-653-5p
MIMAT0000452,hsa-miR-154-5p
MIMAT0000732,hsa-miR-378a-3p
MIMAT0000075,hsa-miR-20a-5p
MIMAT0002177,hsa-miR-486-5p
MIMAT0000459,hsa-miR-193a-3p
MIMAT0019731,hsa-miR-4662a-5p
MIMAT0004604,hsa-miR-127-5p
MIMAT0000727,hsa-miR-374a-5p
MIMAT0004564,hsa-miR-214-5p
MIMAT0000088,hsa-miR-30a-3p
MIMAT0000103,hsa-miR-106a-5p
MIMAT0000750,hsa-miR-340-3p
MIMAT0000764,hsa-miR-339-5p
MIMAT0002871,hsa-miR-500a-3p
MIMAT0000258,hsa-miR-181c-5p
MIMAT0004559,hsa-miR-181c-3p
MIMAT0000063,hsa-let-7b-5p
MIMAT0003879,hsa-miR-758-3p
MIMAT0003393,hsa-miR-425-5p
MIMAT0003242,hsa-miR-577
MIMAT0000087,hsa-miR-30a-5p
MIMAT0004688,hsa-miR-374a-3p
MIMAT0003886,hsa-miR-769-5p
MIMAT0000267,hsa-miR-210-3p
MIMAT0003258,hsa-miR-590-5p
MIMAT0004485,hsa-let-7e-3p
MIMAT0001341,hsa-miR-424-5p
MIMAT0004494,hsa-miR-21-3p
MIMAT0000222,hsa-miR-192-5p
MIMAT0000680,hsa-miR-106b-5p
MIMAT0004501,hsa-miR-27a-5p
MIMAT0004601,hsa-miR-145-3p
MIMAT0000077,hsa-miR-22-3p
MIMAT0000097,hsa-miR-99a-5p
MIMAT0000757,hsa-miR-151a-3p
MIMAT0004672,hsa-miR-106b-3p
MIMAT0016847,hsa-miR-378c
MIMAT0000066,hsa-let-7e-5p
MIMAT0000455,hsa-miR-185-5p
MIMAT0002174,hsa-miR-484
MIMAT0000090,hsa-miR-32-5p
MIMAT0005948,hsa-miR-664a-5p
MIMAT0000274,hsa-miR-217-5p
MIMAT0000264,hsa-miR-203a-3p
MIMAT0000263,hsa-miR-199b-5p
MIMAT0004597,hsa-miR-140-3p
MIMAT0000443,hsa-miR-125a-5p
MIMAT0000250,hsa-miR-139-5p
MIMAT0004657,hsa-miR-200c-5p
MIMAT0019761,hsa-miR-4677-3p
MIMAT0004809,hsa-miR-628-5p
MIMAT0004481,hsa-let-7a-3p
MIMAT0000064,hsa-let-7c-5p
MIMAT0000689,hsa-miR-99b-5p
MIMAT0000086,hsa-miR-29a-3p
MIMAT0000423,hsa-miR-125b-5p
MIMAT0000761,hsa-miR-324-5p
MIMAT0004584,hsa-let-7g-3p
MIMAT0004945,hsa-miR-744-5p
MIMAT0000257,hsa-miR-181b-5p
MIMAT0004600,hsa-miR-144-5p
MIMAT0000415,hsa-let-7i-5p
MIMAT0004497,hsa-miR-24-2-5p
MIMAT0000703,hsa-miR-361-5p
MIMAT0000438,hsa-miR-152-3p
MIMAT0002820,hsa-miR-497-5p
MIMAT0004693,hsa-miR-330-5p
MIMAT0000232,hsa-miR-199a-3p
MIMAT0004484,hsa-let-7d-3p
MIMAT0004748,hsa-miR-423-5p
MIMAT0004921,hsa-miR-889-3p
MIMAT0000100,hsa-miR-29b-3p
MIMAT0005899,hsa-miR-1247-5p
MIMAT0003298,hsa-miR-629-3p
MIMAT0004550,hsa-miR-30c-2-3p
MIMAT0002888,hsa-miR-532-5p
MIMAT0001638,hsa-miR-409-5p
MIMAT0000281,hsa-miR-224-5p
MIMAT0000255,hsa-miR-34a-5p
MIMAT0000079,hsa-miR-24-1-5p
MIMAT0000091,hsa-miR-33a-5p
MIMAT0000271,hsa-miR-214-3p
MIMAT0000437,hsa-miR-145-5p
MIMAT0004703,hsa-miR-335-3p
MIMAT0004799,hsa-miR-589-5p
MIMAT0000275,hsa-miR-218-5p
MIMAT0002874,hsa-miR-503-5p
MIMAT0002819,hsa-miR-193b-3p
MIMAT0006789,hsa-miR-1468-5p
MIMAT0000073,hsa-miR-19a-3p
MIMAT0002809,hsa-miR-146b-5p
MIMAT0000688,hsa-miR-301a-3p
MIMAT0004814,hsa-miR-654-3p
MIMAT0000254,hsa-miR-10b-5p
MIMAT0000760,hsa-miR-331-3p
MIMAT0004784,hsa-miR-455-3p
MIMAT0004558,hsa-miR-181a-2-3p
MIMAT0000420,hsa-miR-30b-5p
MIMAT0000445,hsa-miR-126-3p
MIMAT0001536,hsa-miR-429
MIMAT0000433,hsa-miR-142-5p
MIMAT0000266,hsa-miR-205-5p
MIMAT0000646,hsa-miR-155-5p
MIMAT0000448,hsa-miR-136-5p
MIMAT0004606,hsa-miR-136-3p
MIMAT0004515,hsa-miR-29b-2-5p
MIMAT0022692,hsa-miR-181b-3p
MIMAT0001080,hsa-miR-196b-5p
MIMAT0000072,hsa-miR-18a-5p
MIMAT0000419,hsa-miR-27b-3p
MIMAT0000083,hsa-miR-26b-5p
MIMAT0004598,hsa-miR-141-5p
MIMAT0004766,hsa-miR-146b-3p
MIMAT0022721,hsa-miR-1247-3p
MIMAT0000447,hsa-miR-134-5p
MIMAT0000099,hsa-miR-101-3p
MIMAT0004909,hsa-miR-450b-5p
MIMAT0000731,hsa-miR-378a-5p
MIMAT0000710,hsa-miR-365a-3p
MIMAT0000705,hsa-miR-362-5p
MIMAT0006790,hsa-miR-675-3p
MIMAT0000460,hsa-miR-194-5p
MIMAT0000261,hsa-miR-183-5p
MIMAT0000279,hsa-miR-222-3p
MIMAT0004502,hsa-miR-28-3p
MIMAT0000084,hsa-miR-27a-3p
MIMAT0004673,hsa-miR-29c-5p
MIMAT0022472,hsa-miR-5683
MIMAT0000692,hsa-miR-30e-5p
MIMAT0022696,hsa-miR-301a-5p
MIMAT0000253,hsa-miR-10a-5p
MIMAT0000426,hsa-miR-132-3p
MIMAT0005797,hsa-miR-1301-3p
MIMAT0004518,hsa-miR-16-2-3p
MIMAT0003266,hsa-miR-598-3p
MIMAT0004929,hsa-miR-190b-5p
MIMAT0000262,hsa-miR-187-3p
MIMAT0004694,hsa-miR-342-5p
MIMAT0004757,hsa-miR-431-3p
MIMAT0000265,hsa-miR-204-5p
MIMAT0002817,hsa-miR-495-3p
MIMAT0001635,hsa-miR-452-5p
MIMAT0004680,hsa-miR-130b-5p
MIMAT0000434,hsa-miR-142-3p
MIMAT0000722,hsa-miR-370-3p
MIMAT0004614,hsa-miR-193a-5p
MIMAT0000510,hsa-miR-320a-3p
MIMAT0004571,hsa-miR-200b-5p
MIMAT0003249,hsa-miR-584-5p
MIMAT0004682,hsa-miR-361-3p
MIMAT0003389,hsa-miR-542-3p
MIMAT0000450,hsa-miR-149-5p
MIMAT0022726,hsa-miR-1306-5p
MIMAT0000245,hsa-miR-30d-5p
MIMAT0005949,hsa-miR-664a-3p
MIMAT0000280,hsa-miR-223-3p
MIMAT0000432,hsa-miR-141-3p
MIMAT0004482,hsa-let-7b-3p
MIMAT0000062,hsa-let-7a-5p
MIMAT0000418,hsa-miR-23b-3p
MIMAT0004549,hsa-miR-148a-5p
MIMAT0004603,hsa-miR-125b-2-3p
MIMAT0000754,hsa-miR-337-3p
MIMAT0000753,hsa-miR-342-3p
MIMAT0005794,hsa-miR-1296-5p
MIMAT0000074,hsa-miR-19b-3p
MIMAT0000231,hsa-miR-199a-5p
MIMAT0000441,hsa-miR-9-5p
MIMAT0000065,hsa-let-7d-5p
MIMAT0000092,hsa-miR-92a-3p
MIMAT0000446,hsa-miR-127-3p
MIMAT0005878,hsa-miR-1287-5p
MIMAT0000424,hsa-miR-128-3p
MIMAT0000691,hsa-miR-130b-3p
MIMAT0022834,hsa-miR-365b-3p
MIMAT0003218,hsa-miR-92b-3p
MIMAT0000435,hsa-miR-143-3p
MIMAT0004553,hsa-miR-7-1-3p
MIMAT0004775,hsa-miR-502-3p
MIMAT0000416,hsa-miR-1-3p
MIMAT0018101,hsa-miR-3677-3p
MIMAT0000226,hsa-miR-196a-5p
MIMAT0004780,hsa-miR-532-3p
MIMAT0000756,hsa-miR-326
MIMAT0017985,
MIMAT0004615,hsa-miR-195-3p
MIMAT0000259,hsa-miR-182-5p
MIMAT0000737,hsa-miR-382-5p
MIMAT0019208,hsa-miR-3074-5p
MIMAT0003239,hsa-miR-574-3p
MIMAT0004946,hsa-miR-744-3p
MIMAT0000440,hsa-miR-191-5p
MIMAT0022727,hsa-miR-1307-5p
MIMAT0010195,hsa-let-7a-2-3p
MIMAT0000449,hsa-miR-146a-5p
MIMAT0002876,hsa-miR-505-3p
MIMAT0000461,hsa-miR-195-5p
MIMAT0026472,hsa-let-7c-3p
MIMAT0003283,hsa-miR-615-3p
MIMAT0004513,hsa-miR-101-5p
MIMAT0000104,hsa-miR-107
MIMAT0000451,hsa-miR-150-5p
MIMAT0004552,hsa-miR-139-3p
MIMAT0004776,hsa-miR-505-5p
MIMAT0019814,hsa-miR-203b-3p
MIMAT0000080,hsa-miR-24-3p
MIMAT0000431,hsa-miR-140-5p
MIMAT0001639,hsa-miR-409-3p
MIMAT0004599,hsa-miR-143-5p
MIMAT0001620,hsa-miR-200a-5p
MIMAT0002171,hsa-miR-410-3p
MIMAT0004926,hsa-miR-708-5p
MIMAT0004493,hsa-miR-20a-3p
MIMAT0000681,hsa-miR-29c-3p
MIMAT0000096,hsa-miR-98-5p
MIMAT0001343,hsa-miR-425-3p
MIMAT0000456,hsa-miR-186-5p
MIMAT0003163,hsa-miR-539-5p
MIMAT0000070,hsa-miR-17-5p
MIMAT0017990,hsa-miR-3613-5p
MIMAT0000095,hsa-miR-96-5p
MIMAT0000444,hsa-miR-126-5p
MIMAT0003150,hsa-miR-455-5p
MIMAT0001340,hsa-miR-423-3p
MIMAT0015378,hsa-miR-3065-3p
MIMAT0000693,hsa-miR-30e-3p
MIMAT0004955,hsa-miR-374b-5p
MIMAT0005920,hsa-miR-1266-5p
MIMAT0000772,hsa-miR-345-5p
MIMAT0004692,hsa-miR-340-5p
MIMAT0000318,hsa-miR-200b-3p
MIMAT0002808,hsa-miR-511-5p
MIMAT0000078,hsa-miR-23a-3p
MIMAT0000759,hsa-miR-148b-3p
MIMAT0002821,hsa-miR-181d-5p
MIMAT0004911,hsa-miR-874-3p
MIMAT0004588,hsa-miR-27b-5p
MIMAT0000069,hsa-miR-16-5p
MIMAT0000414,hsa-let-7g-5p
MIMAT0000758,hsa-miR-135b-5p
MIMAT0026738,hsa-miR-1287-3p
MIMAT0016895,hsa-miR-2355-5p
MIMAT0000278,hsa-miR-221-3p
MIMAT0000272,hsa-miR-215-5p
MIMAT0000256,hsa-miR-181a-5p
MIMAT0000617,hsa-miR-200c-3p
MIMAT0001413,hsa-miR-20b-5p
MIMAT0000763,hsa-miR-338-3p
MIMAT0000733,hsa-miR-379-5p
MIMAT0003329,hsa-miR-411-5p
MIMAT0000071,hsa-miR-17-3p
MIMAT0004585,hsa-let-7i-3p
MIMAT0000765,hsa-miR-335-5p
MIMAT0004697,hsa-miR-151a-5p
MIMAT0002814,hsa-miR-432-5p
MIMAT0025477,hsa-miR-6510-3p
MIMAT0000270,hsa-miR-181a-3p
MIMAT0000093,hsa-miR-93-5p
