source,target,mediators,total_mediators
hsa-miR-96-5p,KEGG:05200,CCND2; HAS2; CCDC50; PTPRQ,4
hsa-miR-96-5p,KEGG:04020,HAS2; CELF2; TNS1,3
hsa-miR-96-5p,KEGG:05202,CCND2; CCDC50; ZEB1,3
hsa-miR-96-5p,KEGG:05205,MSN; HAS2; CCDC50,3
hsa-miR-96-5p,KEGG:04068,CCND2; CCDC50,2
hsa-miR-96-5p,KEGG:05214,HAS2; CCDC50,2
hsa-miR-18a-5p,KEGG:04010,PRKACB,1
hsa-miR-18a-5p,KEGG:04020,ORAI3,1
hsa-miR-96-5p,KEGG:01521,CCDC50,1
hsa-miR-96-5p,KEGG:01522,CCDC50,1
hsa-miR-96-5p,KEGG:04010,CCDC50,1
hsa-miR-96-5p,KEGG:04014,CCDC50,1
hsa-miR-96-5p,KEGG:04115,CCND2,1
hsa-miR-96-5p,KEGG:04211,CCDC50,1
hsa-miR-96-5p,KEGG:04659,PTPRQ,1
