source,target,mediators,total_mediators
hsa-miR-106b-5p,KEGG:05202,KLF3; ESR1; LASP1; CCND2,4
hsa-miR-106b-5p,KEGG:05200,MMP2; LASP1; IL6ST; CCND2,4
hsa-miR-106a-5p,KEGG:04014,RASGRF2; AFF1,2
hsa-miR-106a-5p,KEGG:04010,RASGRF2; AFF1,2
hsa-miR-17-5p,KEGG:04010,PRKACB; RASGRF2,2
hsa-miR-221-3p,KEGG:05205,ERBB3,1
hsa-miR-27a-3p,KEGG:05202,IGF1,1
hsa-miR-25-3p,KEGG:04659,ELFN2,1
hsa-miR-25-3p,KEGG:01521,AXL,1
hsa-miR-221-3p,KEGG:04010,ERBB3,1
hsa-miR-221-3p,KEGG:04020,ERBB3,1
hsa-miR-30b-5p,KEGG:04010,B4GALT5,1
hsa-miR-221-3p,KEGG:01521,ERBB3,1
hsa-miR-200c-3p,KEGG:05214,PRDM16,1
hsa-miR-200c-3p,KEGG:05202,ZEB1,1
hsa-miR-200c-3p,KEGG:04211,PRDM16,1
hsa-miR-29b-3p,KEGG:05202,GPX7,1
hsa-miR-106a-5p,KEGG:01521,AFF1,1
hsa-miR-30b-5p,KEGG:04068,B4GALT5,1
hsa-miR-200b-3p,KEGG:05202,ZEB1,1
hsa-miR-30b-5p,KEGG:04115,SLC35B4,1
hsa-miR-30b-5p,KEGG:04211,SLC35B4,1
hsa-miR-30b-5p,KEGG:04659,B4GALT5,1
hsa-miR-30b-5p,KEGG:05200,B4GALT5,1
hsa-miR-30b-5p,KEGG:05202,B4GALT5,1
hsa-miR-33b-5p,KEGG:05202,TARDBP,1
hsa-miR-92a-3p,KEGG:01522,CHST1,1
hsa-miR-92a-3p,KEGG:04010,CHST1,1
hsa-miR-92a-3p,KEGG:04014,CHST1,1
hsa-miR-92a-3p,KEGG:04020,CHST1,1
hsa-miR-92a-3p,KEGG:04211,CHST1,1
hsa-miR-92a-3p,KEGG:05200,CHST1,1
hsa-miR-200c-3p,KEGG:04020,PRDM16,1
hsa-miR-200b-3p,KEGG:04068,WIPF1,1
hsa-miR-200b-3p,KEGG:04211,ETS1,1
hsa-miR-106b-5p,KEGG:04659,IL6ST,1
hsa-miR-106a-5p,KEGG:04020,AFF1,1
hsa-miR-106a-5p,KEGG:04115,SESN3,1
hsa-miR-106a-5p,KEGG:05200,AFF1,1
hsa-miR-106a-5p,KEGG:05214,AFF1,1
hsa-miR-106b-5p,KEGG:01521,IL6ST,1
hsa-miR-106b-5p,KEGG:01522,MMP2,1
hsa-miR-106b-5p,KEGG:04010,RASGRF2,1
hsa-miR-106b-5p,KEGG:04014,RASGRF2,1
hsa-miR-106b-5p,KEGG:04020,TNS1,1
hsa-miR-106b-5p,KEGG:04068,CCND2,1
hsa-miR-106b-5p,KEGG:04115,CCND2,1
hsa-miR-106b-5p,KEGG:05205,MMP2,1
hsa-miR-200b-3p,KEGG:04115,ETS1,1
hsa-miR-130b-3p,KEGG:05202,ESR1,1
hsa-miR-148a-3p,KEGG:04659,SMARCD1,1
hsa-miR-148a-3p,KEGG:05200,SMARCD1,1
hsa-miR-148a-3p,KEGG:05202,SMARCD1,1
hsa-miR-148a-3p,KEGG:05205,RXRA,1
hsa-miR-17-5p,KEGG:04014,RASGRF2,1
hsa-miR-182-5p,KEGG:04010,ANKRD44,1
hsa-miR-200a-3p,KEGG:04068,PAPLN,1
hsa-miR-200a-3p,KEGG:04211,PAPLN,1
hsa-miR-200a-3p,KEGG:05200,PAPLN,1
hsa-miR-200a-3p,KEGG:05202,PAPLN,1
hsa-miR-92a-3p,KEGG:05205,CHST1,1
