id,label,type,module_id,connected_component_id,is_in_largest_component,degree,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA,1.0,0,1,17,0.15613291795932827,0.2598639455782313,0.11409395973154363,0.04411764705882353
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,0,1,6,0.10765028592896422,0.2821270310192024,0.040268456375838924,0.0
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA,1.0,0,1,32,0.497521689427475,0.37524557956778,0.21476510067114093,0.03024193548387097
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA,1.0,0,1,40,0.49127514519554505,0.3843058350100604,0.2684563758389262,0.04230769230769231
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA,1.0,5,0,3,,,,
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA,1.0,2,0,8,,,,
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA,1.0,3,0,6,,,,
hsa-miR-92a-3p,hsa-miR-92a-3p,MicroRNA,1.0,0,1,3,0.0234941438929169,0.18035882908404155,0.020134228187919462,0.0
hsa-miR-23a-3p,hsa-miR-23a-3p,MicroRNA,1.0,9,0,2,,,,
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA,1.0,1,0,14,,,,
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,7,0.04953090935052949,0.25298013245033113,0.04697986577181208,0.047619047619047616
hsa-miR-19a-3p,hsa-miR-19a-3p,MicroRNA,1.0,0,1,3,0.017603179029559397,0.19042871385842472,0.020134228187919462,0.3333333333333333
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,7,0.06744255221562753,0.2516469038208169,0.04697986577181208,0.0
hsa-miR-26b-5p,hsa-miR-26b-5p,MicroRNA,1.0,12,0,2,,,,
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA,1.0,3,0,1,,,,
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA,1.0,4,0,6,,,,
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA,1.0,0,1,20,0.18282683180835502,0.34290843806104127,0.1342281879194631,0.06842105263157895
hsa-miR-125b-5p,hsa-miR-125b-5p,MicroRNA,1.0,6,0,4,,,,
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,15,0.15207743508081092,0.3220910623946037,0.10067114093959731,0.0380952380952381
hsa-miR-25-3p,hsa-miR-25-3p,MicroRNA,1.0,0,1,8,0.10374902706897374,0.2612859097127223,0.053691275167785234,0.03571428571428571
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA,1.0,17,0,1,,,,
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,4,,,,
hsa-let-7g-5p,hsa-let-7g-5p,MicroRNA,1.0,13,0,2,,,,
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA,1.0,0,1,3,0.0234941438929169,0.22819593787335724,0.020134228187919462,0.0
hsa-miR-155-5p,hsa-miR-155-5p,MicroRNA,1.0,18,0,1,,,,
hsa-miR-150-5p,hsa-miR-150-5p,MicroRNA,1.0,14,0,2,,,,
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA,1.0,5,0,2,,,,
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,7,0.047338029244956635,0.3056,0.04697986577181208,0.14285714285714285
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,10,0,3,,,,
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA,1.0,0,1,4,0.03513664249860569,0.22929171668667467,0.026845637583892617,0.0
hsa-miR-191-5p,hsa-miR-191-5p,MicroRNA,1.0,19,0,1,,,,
