id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
CCND2,CCND2,Messenger RNA,1.0,0,1,0.038321172337266146,0.6912751677852349,0.3076923076923077,1.0
RXRG,RXRG,Messenger RNA,0.0,0,1,0.019826585411793236,0.6477987421383647,0.23076923076923078,1.0
KLF3,KLF3,Messenger RNA,1.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
ESR1,ESR1,Messenger RNA,0.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
PAPLN,PAPLN,Messenger RNA,0.0,0,1,0.02893948280812758,0.6912751677852349,0.3076923076923077,1.0
DIAPH2,DIAPH2,Messenger RNA,1.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
TARDBP,TARDBP,Messenger RNA,0.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
ZEB1,ZEB1,Messenger RNA,3.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
SMARCD1,SMARCD1,Messenger RNA,0.0,0,1,0.019826585411793236,0.6477987421383647,0.23076923076923078,1.0
CCDC50,CCDC50,Messenger RNA,1.0,0,1,0.15267712432762293,0.8512396694214877,0.7692307692307693,1.0
IGF1R,IGF1R,Messenger RNA,0.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
LASP1,LASP1,Messenger RNA,0.0,0,1,0.006954414167078318,0.6319018404907976,0.15384615384615385,1.0
SCN1B,SCN1B,Messenger RNA,0.0,0,1,0.01823742656278832,0.6319018404907976,0.23076923076923078,1.0
CD200R1,CD200R1,Messenger RNA,1.0,0,1,0.21334305454645108,0.8803418803418803,0.8461538461538463,0.8909090909090909
IGF1,IGF1,Messenger RNA,0.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
GPX7,GPX7,Messenger RNA,0.0,0,1,0.0,0.5282051282051282,0.07692307692307693,
B4GALT5,B4GALT5,Messenger RNA,1.0,0,1,0.060862765608096135,0.7202797202797203,0.38461538461538464,0.8
MMP2,MMP2,Messenger RNA,0.0,0,1,0.004873283441444475,0.5953757225433526,0.23076923076923078,1.0
ICOS,ICOS,Messenger RNA,0.0,0,1,0.016731321394451902,0.6167664670658682,0.23076923076923078,1.0
HAS2,HAS2,Messenger RNA,0.0,0,1,0.026606840940388784,0.639751552795031,0.3076923076923077,1.0
TP53INP2,TP53INP2,Messenger RNA,0.0,0,1,0.004873283441444475,0.5953757225433526,0.23076923076923078,1.0
AFF1,AFF1,Messenger RNA,0.0,0,1,0.050955685463598036,0.6912751677852349,0.46153846153846156,1.0
GAN,GAN,Messenger RNA,0.0,0,1,0.030570526079863228,0.6645161290322581,0.3076923076923077,1.0
CHST1,CHST1,Messenger RNA,1.0,0,1,0.07492500863025646,0.7304964539007093,0.5384615384615385,1.0
PTPRQ,PTPRQ,Messenger RNA,0.0,0,1,0.005867497043991439,0.5754189944134078,0.15384615384615385,1.0
IL6ST,IL6ST,Messenger RNA,1.0,0,1,0.014335881024101483,0.5953757225433526,0.23076923076923078,0.6666666666666666
DCUN1D5,DCUN1D5,Messenger RNA,1.0,0,1,0.0024596621441586143,0.5885714285714285,0.15384615384615385,1.0
PRDM16,PRDM16,Messenger RNA,0.0,0,1,0.011764450113399145,0.5508021390374331,0.23076923076923078,1.0
SLC35B4,SLC35B4,Messenger RNA,0.0,0,1,0.0015889523948840521,0.5073891625615764,0.15384615384615385,1.0
ETS1,ETS1,Messenger RNA,0.0,0,1,0.0015889523948840521,0.5073891625615764,0.15384615384615385,1.0
ORAI3,ORAI3,Messenger RNA,0.0,0,1,0.0,0.4497816593886463,0.07692307692307693,
ERBB3,ERBB3,Messenger RNA,0.0,0,1,0.02531460807833266,0.6242424242424243,0.3076923076923077,1.0
TNS1,TNS1,Messenger RNA,0.0,0,1,0.0,0.4497816593886463,0.07692307692307693,
