source,target,mediators,total_mediators
hsa-miR-93-5p,KEGG:05202,ESR1; CCND2,2
hsa-miR-222-3p,KEGG:05205,TP53INP2; ERBB3,2
hsa-miR-93-5p,KEGG:04068,CCND2; SLC46A3,2
hsa-miR-196a-5p,KEGG:04020,ICOS; CELF2,2
hsa-miR-335-5p,KEGG:05200,GAN,1
hsa-miR-23a-3p,KEGG:04659,RXRG,1
hsa-miR-23a-3p,KEGG:05200,RXRG,1
hsa-miR-23a-3p,KEGG:05202,RXRG,1
hsa-miR-27a-3p,KEGG:05202,IGF1,1
hsa-miR-335-5p,KEGG:04010,GAN,1
hsa-miR-335-5p,KEGG:04014,GAN,1
hsa-miR-335-5p,KEGG:04020,GAN,1
hsa-miR-92a-3p,KEGG:01522,CHST1,1
hsa-miR-222-3p,KEGG:04020,ERBB3,1
hsa-miR-92a-3p,KEGG:04010,CHST1,1
hsa-miR-92a-3p,KEGG:04014,CHST1,1
hsa-miR-92a-3p,KEGG:04020,CHST1,1
hsa-miR-92a-3p,KEGG:04211,CHST1,1
hsa-miR-92a-3p,KEGG:05200,CHST1,1
hsa-miR-92a-3p,KEGG:05205,CHST1,1
hsa-miR-93-5p,KEGG:04115,CCND2,1
hsa-miR-93-5p,KEGG:05200,CCND2,1
hsa-miR-222-3p,KEGG:05200,TP53INP2,1
hsa-let-7c-5p,KEGG:05202,IGF1R,1
hsa-let-7e-5p,KEGG:01521,CD200R1,1
hsa-let-7e-5p,KEGG:05205,CD200R1,1
hsa-let-7e-5p,KEGG:01522,CD200R1,1
hsa-let-7e-5p,KEGG:04010,CD200R1,1
hsa-let-7e-5p,KEGG:04014,CD200R1,1
hsa-let-7e-5p,KEGG:04068,CD200R1,1
hsa-let-7e-5p,KEGG:04115,CD200R1,1
hsa-let-7e-5p,KEGG:04211,CD200R1,1
hsa-let-7e-5p,KEGG:05200,CD200R1,1
hsa-let-7e-5p,KEGG:05202,CD200R1,1
hsa-let-7e-5p,KEGG:05214,CD200R1,1
hsa-miR-222-3p,KEGG:01522,TP53INP2,1
hsa-miR-128-3p,KEGG:05202,IGF1,1
hsa-miR-182-5p,KEGG:04010,ANKRD44,1
hsa-miR-18a-5p,KEGG:04010,PRKACB,1
hsa-miR-18a-5p,KEGG:04020,ORAI3,1
hsa-miR-196a-5p,KEGG:01522,ICOS,1
hsa-miR-196a-5p,KEGG:05200,ICOS,1
hsa-miR-196a-5p,KEGG:05202,DIAPH2,1
hsa-miR-222-3p,KEGG:01521,ERBB3,1
hsa-miR-222-3p,KEGG:04010,ERBB3,1
