id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient,paths,pathway_reach,functional_impact,group,metrics,total_metrics
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA,1.0,0,1,0.1561329179593282,0.2598639455782313,0.1140939597315436,0.0441176470588235,"[('ANKRD44', 'KEGG:04010')]",0.0769230769230769,0.3437059521505267,basal-like,betweenness_centrality,1.0
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA,1.0,0,1,0.046500278862242,0.2414664981036662,0.0201342281879194,0.0,"[('IGF1', 'KEGG:05202')]",0.0769230769230769,0.3582359885123367,basal-like,redundancy_coefficient,1.0
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,0,1,0.1076502859289642,0.2821270310192024,0.0402684563758389,0.0,"[('ORAI3', 'KEGG:04020'), ('PRKACB', 'KEGG:04010')]",0.1538461538461538,0.4381923366062674,basal-like,redundancy_coefficient,1.0
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,0,1,0.1076502859289642,0.2821270310192024,0.0402684563758389,0.0,"[('ORAI3', 'KEGG:04020'), ('PRKACB', 'KEGG:04010')]",0.1538461538461538,0.4381923366062674,basal-like,redundancy_coefficient,1.0
hsa-miR-27a-3p,hsa-miR-27a-3p,MicroRNA,1.0,0,1,0.011781929726715,0.170080142475512,0.0134228187919463,0.0,"[('IGF1', 'KEGG:05202')]",0.0769230769230769,0.3457099889140117,basal-like,redundancy_coefficient,1.0
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,,"[('CD200R1', 'KEGG:05202'), ('CD200R1', 'KEGG:05200'), ('CD200R1', 'KEGG:04211'), ('CD200R1', 'KEGG:01521'), ('CD200R1', 'KEGG:01522'), ('CD200R1', 'KEGG:04010'), ('CD200R1', 'KEGG:04068'), ('CD200R1', 'KEGG:05205'), ('CD200R1', 'KEGG:04014'), ('CD200R1', 'KEGG:04115'), ('CD200R1', 'KEGG:05214')]",0.8461538461538461,0.3495861846805157,basal-like,pathway_reach,1.0
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,,"[('CD200R1', 'KEGG:05202'), ('CD200R1', 'KEGG:05200'), ('CD200R1', 'KEGG:04211'), ('CD200R1', 'KEGG:01521'), ('CD200R1', 'KEGG:01522'), ('CD200R1', 'KEGG:04010'), ('CD200R1', 'KEGG:04068'), ('CD200R1', 'KEGG:05205'), ('CD200R1', 'KEGG:04014'), ('CD200R1', 'KEGG:04115'), ('CD200R1', 'KEGG:05214')]",0.8461538461538461,0.3495861846805157,basal-like,pathway_reach,1.0
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,,"[('CD200R1', 'KEGG:05202'), ('CD200R1', 'KEGG:05200'), ('CD200R1', 'KEGG:04211'), ('CD200R1', 'KEGG:01521'), ('CD200R1', 'KEGG:01522'), ('CD200R1', 'KEGG:04010'), ('CD200R1', 'KEGG:04068'), ('CD200R1', 'KEGG:05205'), ('CD200R1', 'KEGG:04014'), ('CD200R1', 'KEGG:04115'), ('CD200R1', 'KEGG:05214')]",0.8461538461538461,0.3495861846805157,basal-like,pathway_reach,1.0
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,,"[('CD200R1', 'KEGG:05202'), ('CD200R1', 'KEGG:05200'), ('CD200R1', 'KEGG:04211'), ('CD200R1', 'KEGG:01521'), ('CD200R1', 'KEGG:01522'), ('CD200R1', 'KEGG:04010'), ('CD200R1', 'KEGG:04068'), ('CD200R1', 'KEGG:05205'), ('CD200R1', 'KEGG:04014'), ('CD200R1', 'KEGG:04115'), ('CD200R1', 'KEGG:05214')]",0.8461538461538461,0.3495861846805157,basal-like,pathway_reach,1.0
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,,"[('CD200R1', 'KEGG:05202'), ('CD200R1', 'KEGG:05200'), ('CD200R1', 'KEGG:04211'), ('CD200R1', 'KEGG:01521'), ('CD200R1', 'KEGG:01522'), ('CD200R1', 'KEGG:04010'), ('CD200R1', 'KEGG:04068'), ('CD200R1', 'KEGG:05205'), ('CD200R1', 'KEGG:04014'), ('CD200R1', 'KEGG:04115'), ('CD200R1', 'KEGG:05214')]",0.8461538461538461,0.3495861846805157,basal-like,pathway_reach,1.0
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,,"[('CD200R1', 'KEGG:05202'), ('CD200R1', 'KEGG:05200'), ('CD200R1', 'KEGG:04211'), ('CD200R1', 'KEGG:01521'), ('CD200R1', 'KEGG:01522'), ('CD200R1', 'KEGG:04010'), ('CD200R1', 'KEGG:04068'), ('CD200R1', 'KEGG:05205'), ('CD200R1', 'KEGG:04014'), ('CD200R1', 'KEGG:04115'), ('CD200R1', 'KEGG:05214')]",0.8461538461538461,0.3495861846805157,basal-like,pathway_reach,1.0
