id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA,1.0,0,1,0.1561329179593282,0.2598639455782313,0.1140939597315436,0.0441176470588235
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,0,1,0.1076502859289642,0.2821270310192024,0.0402684563758389,0.0
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA,1.0,0,1,0.497521689427475,0.37524557956778,0.2147651006711409,0.0302419354838709
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA,1.0,0,1,0.491275145195545,0.3843058350100604,0.2684563758389262,0.0423076923076923
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA,1.0,5,0,,,,
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA,1.0,2,0,,,,
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA,1.0,3,0,,,,
hsa-miR-92a-3p,hsa-miR-92a-3p,MicroRNA,1.0,0,1,0.0234941438929169,0.1803588290840415,0.0201342281879194,0.0
hsa-miR-23a-3p,hsa-miR-23a-3p,MicroRNA,1.0,9,0,,,,
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA,1.0,1,0,,,,
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,0.0495309093505294,0.2529801324503311,0.046979865771812,0.0476190476190476
hsa-miR-19a-3p,hsa-miR-19a-3p,MicroRNA,1.0,0,1,0.0176031790295593,0.1904287138584247,0.0201342281879194,0.3333333333333333
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,0.0674425522156275,0.2516469038208169,0.046979865771812,0.0
hsa-miR-26b-5p,hsa-miR-26b-5p,MicroRNA,1.0,12,0,,,,
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA,1.0,3,0,,,,
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA,1.0,4,0,,,,
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA,1.0,0,1,0.182826831808355,0.3429084380610412,0.1342281879194631,0.0684210526315789
hsa-miR-125b-5p,hsa-miR-125b-5p,MicroRNA,1.0,6,0,,,,
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,0.1520774350808109,0.3220910623946037,0.1006711409395973,0.0380952380952381
hsa-miR-25-3p,hsa-miR-25-3p,MicroRNA,1.0,0,1,0.1037490270689737,0.2612859097127223,0.0536912751677852,0.0357142857142857
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA,1.0,17,0,,,,
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA,1.0,7,0,,,,
hsa-let-7g-5p,hsa-let-7g-5p,MicroRNA,1.0,13,0,,,,
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA,1.0,0,1,0.0234941438929169,0.2281959378733572,0.0201342281879194,0.0
hsa-miR-155-5p,hsa-miR-155-5p,MicroRNA,1.0,18,0,,,,
hsa-miR-150-5p,hsa-miR-150-5p,MicroRNA,1.0,14,0,,,,
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA,1.0,5,0,,,,
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,0.0473380292449566,0.3056,0.046979865771812,0.1428571428571428
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,10,0,,,,
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA,1.0,0,1,0.0351366424986056,0.2292917166866746,0.0268456375838926,0.0
hsa-miR-191-5p,hsa-miR-191-5p,MicroRNA,1.0,19,0,,,,
hsa-miR-27a-3p,hsa-miR-27a-3p,MicroRNA,1.0,0,1,0.011781929726715,0.170080142475512,0.0134228187919463,0.0
hsa-let-7c-5p,hsa-let-7c-5p,MicroRNA,0.0,15,0,,,,
hsa-miR-452-5p,hsa-miR-452-5p,MicroRNA,1.0,20,0,,,,
hsa-miR-93-5p,hsa-miR-93-5p,MicroRNA,1.0,0,1,0.0630912012085587,0.2838038632986627,0.0805369127516778,0.2878787878787879
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA,1.0,16,0,,,,
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA,1.0,0,1,0.0111501538037763,0.2570659488559892,0.0335570469798657,0.8
hsa-miR-19b-3p,hsa-miR-19b-3p,MicroRNA,1.0,0,1,0.0058212493028443,0.1900497512437811,0.0134228187919463,1.0
hsa-miR-205-5p,hsa-miR-205-5p,MicroRNA,1.0,21,0,,,,
hsa-miR-497-5p,hsa-miR-497-5p,MicroRNA,1.0,11,0,,,,
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA,1.0,0,1,0.0196003247745835,0.2584573748308525,0.0402684563758389,0.5333333333333333
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA,1.0,22,0,,,,
hsa-miR-224-5p,hsa-miR-224-5p,MicroRNA,1.0,8,0,,,,
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA,1.0,23,0,,,,
hsa-miR-335-5p,hsa-miR-335-5p,MicroRNA,1.0,24,0,,,,
hsa-miR-194-5p,hsa-miR-194-5p,MicroRNA,1.0,25,0,,,,
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA,1.0,0,1,0.0,0.2355117139334155,0.0067114093959731,
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA,1.0,0,1,0.0467094255437813,0.233782129742962,0.0335570469798657,0.0
hsa-miR-146a-5p,hsa-miR-146a-5p,MicroRNA,1.0,26,0,,,,
hsa-let-7d-5p,hsa-let-7d-5p,MicroRNA,1.0,1,0,,,,
hsa-miR-151a-3p,hsa-miR-151a-3p,MicroRNA,1.0,9,0,,,,
hsa-miR-330-5p,hsa-miR-330-5p,MicroRNA,1.0,27,0,,,,
hsa-miR-21-5p,hsa-miR-21-5p,MicroRNA,1.0,28,0,,,,
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA,1.0,0,1,0.046500278862242,0.2414664981036662,0.0201342281879194,0.0
hsa-miR-424-5p,hsa-miR-424-5p,MicroRNA,1.0,29,0,,,,
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA,1.0,30,0,,,,
hsa-miR-195-5p,hsa-miR-195-5p,MicroRNA,1.0,31,0,,,,
hsa-miR-378c,hsa-miR-378c,MicroRNA,1.0,32,0,,,,
RAB27A,RAB27A,Messenger RNA,0.0,0,1,0.0935459698294315,0.5047619047619047,0.1363636363636363,0.3333333333333333
ORAI3,ORAI3,Messenger RNA,0.0,0,1,0.0,0.375886524822695,0.0454545454545454,
ZBTB4,ZBTB4,Messenger RNA,0.0,0,1,0.0482198535276629,0.3794749403341289,0.1363636363636363,0.3333333333333333
