id,label,type
hsa-miR-365b-3p,hsa-miR-365b-3p,MicroRNA
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA
hsa-miR-192-5p,hsa-miR-192-5p,MicroRNA
hsa-miR-365a-3p,hsa-miR-365a-3p,MicroRNA
hsa-miR-324-5p,hsa-miR-324-5p,MicroRNA
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA
hsa-miR-92a-3p,hsa-miR-92a-3p,MicroRNA
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA
