source,target,mediators,total_mediators
hsa-miR-96-5p,KEGG:04510,TCF4; PRRX1; TRPM3,3
hsa-miR-33a-5p,KEGG:05202,TCF4; RGMA,2
hsa-miR-342-3p,KEGG:04510,FLNC; PDGFRA,2
hsa-miR-96-5p,KEGG:04151,TCF4; TRPM3,2
hsa-miR-96-5p,KEGG:04390,TCF4; TNS1,2
hsa-miR-96-5p,KEGG:05165,TCF4; TRPM3,2
hsa-miR-141-3p,KEGG:04390,WWTR1,1
hsa-miR-29c-3p,KEGG:04151,EIF4E2,1
hsa-miR-33a-5p,KEGG:04151,TCF4,1
hsa-miR-33a-5p,KEGG:04390,TCF4,1
hsa-miR-33a-5p,KEGG:04510,TCF4,1
hsa-miR-33a-5p,KEGG:05165,TCF4,1
hsa-miR-342-3p,KEGG:04151,PDGFRA,1
hsa-miR-96-5p,KEGG:05202,TCF4,1
