source,target,mirtarbase,correlation,qvalue
hsa-miR-200a-3p,WWTR1,,-0.477,0.0
hsa-miR-141-3p,PHYHIPL,,-0.452,0.0
hsa-miR-96-5p,SGMS2,,-0.438,0.0
hsa-miR-29b-3p,PCSK5,,-0.425,0.0
hsa-miR-342-3p,FRMD4A,,-0.425,0.0
hsa-miR-141-3p,MEIS2,,-0.424,0.0
hsa-miR-29c-3p,SERPINH1,MIRT437560,-0.419,0.0
hsa-miR-342-3p,FLNC,,-0.418,0.0
hsa-miR-193b-3p,KIT,MIRT734593,-0.417,0.0
hsa-miR-141-3p,SOX17,,-0.417,0.0
hsa-miR-96-5p,FOXP2,,-0.416,0.0
hsa-miR-141-3p,WIPF1,,-0.415,0.0
hsa-miR-210-3p,HIF3A,MIRT054794,-0.409,0.0
hsa-miR-29b-3p,NREP,MIRT048382,-0.409,0.0
hsa-miR-141-3p,MOB3B,,-0.404,0.0
hsa-miR-29b-3p,FKBP14,,-0.401,0.0
hsa-miR-200a-3p,MEIS2,,-0.398,0.0
hsa-miR-342-3p,PLEKHM3,,-0.395,0.0
hsa-miR-141-3p,WWTR1,,-0.392,0.0
hsa-miR-301a-3p,FRMD6,,-0.392,0.0
hsa-miR-96-5p,BHLHE22,,-0.388,0.0
hsa-miR-200b-3p,CCDC82,,-0.388,0.0
hsa-miR-96-5p,DENND2C,,-0.388,0.0
hsa-miR-429,PRDM16,,-0.387,0.0
hsa-miR-200a-3p,CORO1C,,-0.387,0.0
hsa-miR-200a-3p,BACH2,,-0.386,0.0
hsa-miR-29b-3p,GPX7,,-0.386,0.0
hsa-miR-33b-5p,RUNX1T1,,-0.386,0.0
hsa-miR-96-5p,ADAM23,,-0.384,0.0
hsa-miR-20a-5p,ARL1,MIRT441187,-0.384,0.0
hsa-miR-200b-3p,FLI1,,-0.382,0.0
hsa-miR-429,CCDC82,,-0.381,0.0
hsa-miR-29b-3p,LAMA2,MIRT734216,-0.38,0.0
hsa-miR-96-5p,ARL4C,,-0.38,0.0
hsa-miR-744-5p,HPSE2,,-0.379,0.0
hsa-miR-200b-3p,WIPF1,,-0.378,0.0
hsa-miR-20b-5p,SRGAP1,,-0.378,0.0
hsa-miR-29c-3p,FKBP14,,-0.378,0.0
hsa-miR-342-3p,PDGFRA,,-0.377,0.0
hsa-miR-29c-3p,PPIC,,-0.374,0.0
hsa-miR-301a-3p,PXYLP1,,-0.374,0.0
hsa-miR-301a-3p,RARB,,-0.373,0.0
hsa-miR-96-5p,BACH2,,-0.373,0.0
hsa-miR-96-5p,LRCH2,,-0.372,0.0
hsa-miR-29c-3p,EIF4E2,,-0.372,0.0
hsa-miR-200b-3p,QKI,MIRT218291,-0.368,0.0
hsa-miR-429,PALM2AKAP2,,-0.367,0.0
hsa-miR-17-5p,ARL1,MIRT728313,-0.367,0.0
hsa-miR-429,FAM126A,,-0.367,0.0
hsa-miR-29b-3p,KIRREL1,,-0.367,0.0
hsa-miR-96-5p,ADGRL3,,-0.366,0.0
hsa-miR-200c-3p,CRTAP,,-0.366,0.0
hsa-miR-192-5p,ACVR2A,MIRT026448,-0.365,0.0
hsa-miR-342-3p,TACC1,MIRT043739,-0.364,0.0
hsa-miR-200b-3p,CELF2,,-0.364,0.0
hsa-miR-29b-3p,TLL1,,-0.363,0.0
hsa-miR-301a-3p,ADGRB3,,-0.361,0.0
hsa-miR-200a-3p,RGS7BP,,-0.361,0.0
hsa-miR-96-5p,GRID1,,-0.361,0.0
hsa-miR-342-3p,JCAD,,-0.361,0.0
hsa-miR-301a-3p,AR,,-0.36,0.0
hsa-miR-141-3p,NRP1,,-0.359,0.0
hsa-miR-33b-5p,RGMA,,-0.359,0.0
hsa-miR-96-5p,ZEB1,MIRT054654,-0.358,0.0
hsa-miR-29b-3p,HMCN1,,-0.356,0.0
hsa-miR-96-5p,FOXO1,MIRT001087,-0.356,0.0
hsa-miR-200a-3p,DZIP1,,-0.355,0.0
hsa-miR-200c-3p,MAF,,-0.355,0.0
hsa-miR-141-3p,PPP2R2B,,-0.354,0.0
hsa-miR-29b-3p,PPIC,MIRT733069,-0.354,0.0
hsa-miR-29b-3p,COL5A1,MIRT734214,-0.354,0.0
hsa-miR-33a-5p,PALM2AKAP2,,-0.353,0.0
hsa-miR-193b-3p,CSRNP3,,-0.353,0.0
hsa-miR-107,GALNT7,,-0.353,0.0
hsa-miR-200a-3p,ZEB2,MIRT001035,-0.351,0.0
hsa-miR-33b-5p,TSHZ2,,-0.351,0.0
hsa-miR-96-5p,CELF2,,-0.35,0.0
hsa-miR-192-5p,PRKG1,,-0.349,0.0
hsa-miR-29c-3p,COL6A3,,-0.349,0.0
hsa-miR-342-3p,DNM3,,-0.348,0.0
hsa-miR-24-3p,NAV2,,-0.348,0.0
hsa-miR-200a-3p,NRP1,,-0.346,0.0
hsa-miR-200c-3p,CELF2,,-0.346,0.0
hsa-miR-96-5p,ANTXR2,,-0.345,0.0
hsa-miR-141-3p,ARL4A,,-0.345,0.0
hsa-miR-96-5p,DAB2,,-0.345,0.0
hsa-miR-29b-3p,ASXL3,,-0.345,0.0
hsa-miR-342-3p,EDA,,-0.345,0.0
hsa-miR-141-3p,DUSP7,,-0.345,0.0
hsa-miR-200c-3p,FAM126A,,-0.345,0.0
hsa-miR-96-5p,IGSF11,,-0.343,0.0
hsa-miR-29b-3p,FBN1,MIRT437555,-0.342,0.0
hsa-miR-29c-3p,SH3PXD2B,,-0.341,0.0
hsa-miR-16-5p,CCNJL,,-0.341,0.0
hsa-miR-141-3p,SCN7A,,-0.341,0.0
hsa-miR-148a-3p,NHS,,-0.34,0.0
hsa-miR-96-5p,ARHGAP24,,-0.34,0.0
hsa-miR-200b-3p,ETS1,MIRT003783,-0.339,0.0
hsa-miR-29c-3p,NREP,,-0.339,0.0
hsa-miR-141-3p,IGF2,,-0.339,0.0
hsa-miR-301a-3p,EBF3,,-0.339,0.0
hsa-miR-16-5p,PLSCR4,MIRT031585,-0.338,0.0
hsa-miR-29b-3p,RNF150,,-0.338,0.0
hsa-miR-17-5p,CHST7,,-0.338,0.0
hsa-miR-200a-3p,SOX17,,-0.338,0.0
hsa-miR-17-5p,C2CD2,,-0.338,0.0
hsa-miR-200b-3p,RUNX1T1,,-0.337,0.0
hsa-miR-96-5p,MSN,,-0.336,0.0
hsa-miR-200b-3p,FAM126A,,-0.335,0.0
hsa-miR-200a-3p,GATA6,MIRT004006,-0.334,0.0
hsa-miR-16-5p,MYLK,,-0.334,0.0
hsa-miR-96-5p,TCF4,,-0.334,0.0
hsa-miR-96-5p,CCND2,MIRT053398,-0.333,0.0
hsa-miR-33a-5p,CALN1,,-0.333,0.0
hsa-miR-20a-5p,SLC49A4,,-0.333,0.0
hsa-miR-96-5p,PCSK5,,-0.333,0.0
hsa-miR-200b-3p,ATP11C,,-0.332,0.0
hsa-miR-33b-5p,PALM2AKAP2,,-0.332,0.0
hsa-miR-17-5p,SLC49A4,,-0.332,0.0
hsa-miR-301a-3p,TRPC3,MIRT553350,-0.332,0.0
hsa-miR-342-3p,MBNL3,MIRT547498,-0.332,0.0
hsa-miR-18a-5p,JADE2,,-0.332,0.0
hsa-miR-181d-5p,CASP10,,-0.332,0.0
hsa-miR-30c-5p,NRG2,,-0.331,0.0
hsa-miR-193b-3p,CBX7,,-0.331,0.0
hsa-miR-429,PLPPR4,,-0.331,0.0
hsa-miR-96-5p,CORO1C,,-0.331,0.0
hsa-miR-29b-3p,DIO2,,-0.33,0.0
hsa-miR-29b-3p,CAV2,,-0.33,0.0
hsa-miR-96-5p,PRDM16,MIRT027926,-0.33,0.0
hsa-miR-96-5p,SHOX2,,-0.33,0.0
hsa-miR-29b-3p,LRRC28,,-0.329,0.0
hsa-miR-17-5p,ST6GALNAC3,,-0.328,0.0
hsa-miR-429,KCNB1,,-0.328,0.0
hsa-miR-381-3p,ESR1,,-0.328,0.0
hsa-miR-200a-3p,PPP2R2B,,-0.328,0.0
hsa-miR-106b-5p,PLSCR4,,-0.328,0.0
hsa-miR-342-3p,SLC41A2,MIRT614774,-0.327,0.0
hsa-miR-9-5p,ENTPD5,,-0.327,0.0
hsa-miR-342-3p,TBX18,,-0.327,0.0
hsa-miR-96-5p,PRRX1,,-0.327,0.0
hsa-miR-29b-3p,VCL,,-0.326,0.0
hsa-miR-92a-3p,SAR1B,,-0.326,0.0
hsa-miR-24-3p,STRADB,MIRT030416,-0.326,0.0
hsa-miR-429,SHROOM4,,-0.325,0.0
hsa-miR-17-5p,FRZB,,-0.325,0.0
hsa-miR-16-5p,ETV1,,-0.325,0.0
hsa-miR-29b-3p,CHIC2,,-0.325,0.0
hsa-miR-106b-5p,PXYLP1,,-0.324,0.0
hsa-miR-200b-3p,ZEB1,MIRT002483,-0.324,0.0
hsa-miR-33a-5p,CSRNP3,,-0.324,0.0
hsa-miR-301a-3p,NR3C2,,-0.323,0.0
hsa-miR-15b-5p,PIK3IP1,,-0.323,0.0
hsa-miR-96-5p,TRPM3,,-0.323,0.0
hsa-miR-29c-3p,ITGA11,,-0.323,0.0
hsa-miR-33b-5p,SLC16A7,,-0.323,0.0
hsa-miR-33a-5p,TTC28,,-0.323,0.0
hsa-miR-149-5p,EIF3L,,-0.323,0.0
hsa-miR-29b-3p,ISLR2,,-0.322,0.0
hsa-miR-33a-5p,MSRB3,,-0.322,0.0
hsa-miR-148b-3p,RUNX1T1,,-0.322,0.0
hsa-miR-200c-3p,FSTL1,,-0.322,0.0
hsa-miR-17-5p,CYP2U1,,-0.321,0.0
hsa-miR-324-5p,NRG2,,-0.321,0.0
hsa-miR-130b-3p,RNF38,,-0.321,0.0
hsa-miR-17-5p,ENPP5,MIRT050870,-0.321,0.0
hsa-miR-96-5p,FOXN3,,-0.32,0.0
hsa-miR-301a-3p,RAB14,MIRT469812,-0.32,0.0
hsa-miR-429,KLF6,,-0.32,0.0
hsa-miR-92a-3p,EPB41L4A,,-0.32,0.0
hsa-miR-200b-3p,ZMAT3,MIRT209178,-0.319,0.0
hsa-miR-29b-3p,RFLNB,,-0.319,0.0
hsa-miR-200b-3p,SGCE,,-0.319,0.0
hsa-miR-106b-5p,F3,MIRT477194,-0.318,0.0
hsa-miR-148b-3p,BICC1,,-0.318,0.0
hsa-miR-96-5p,TNS1,,-0.318,0.0
hsa-miR-429,LATS2,,-0.317,0.0
hsa-miR-17-5p,CROT,MIRT222907,-0.317,0.0
hsa-miR-324-5p,ITGA9,,-0.317,0.0
hsa-miR-301a-3p,TGFBR2,MIRT091690,-0.317,0.0
hsa-miR-106b-5p,RASGRF2,,-0.317,0.0
hsa-miR-200c-3p,BCL11B,,-0.317,0.0
hsa-miR-33a-5p,CDH6,MIRT669111,-0.316,0.0
hsa-miR-18a-5p,NEDD9,MIRT006817,-0.316,0.0
hsa-miR-130b-3p,PPP1R9A,MIRT020286,-0.316,0.0
hsa-miR-96-5p,ASPN,,-0.316,0.0
hsa-miR-96-5p,VGLL3,,-0.316,0.0
hsa-miR-96-5p,LMOD1,,-0.316,0.0
hsa-miR-29b-3p,MMP16,,-0.316,0.0
hsa-miR-96-5p,GPR85,,-0.315,0.0
hsa-miR-96-5p,SEPTIN11,,-0.315,0.0
hsa-miR-16-5p,TLE4,MIRT031643,-0.315,0.0
hsa-miR-30d-5p,LRMDA,,-0.315,0.0
hsa-miR-29c-3p,LOX,MIRT437561,-0.315,0.0
hsa-miR-33a-5p,SYT11,,-0.314,0.0
hsa-miR-141-3p,B3GALT1,,-0.314,0.0
hsa-miR-200c-3p,DZIP1,,-0.314,0.0
hsa-miR-196a-5p,NEDD4L,,-0.313,0.0
hsa-miR-16-5p,ACVR2A,MIRT000536,-0.313,0.0
hsa-miR-200b-3p,GRAP2,,-0.313,0.0
hsa-miR-301a-3p,KIAA1217,,-0.312,0.0
hsa-miR-29c-3p,GPX7,,-0.312,0.0
hsa-miR-20a-5p,SAR1B,,-0.311,0.0
hsa-miR-363-3p,TBX3,,-0.311,0.0
hsa-miR-425-5p,PPP2CB,MIRT016657,-0.31,0.0
hsa-miR-429,PLPP3,,-0.31,0.0
hsa-miR-107,TGFBR3,MIRT565403,-0.31,0.0
hsa-miR-301a-3p,TBC1D12,,-0.309,0.0
hsa-miR-429,TCF4,,-0.309,0.0
hsa-miR-29b-3p,HEY2,,-0.309,0.0
hsa-miR-27a-3p,LIFR,MIRT028740,-0.309,0.0
hsa-miR-29b-3p,SLC16A14,,-0.308,0.0
hsa-miR-18a-5p,ZBTB4,,-0.308,0.0
hsa-miR-429,SLC2A3,,-0.307,0.0
hsa-miR-141-3p,CDK6,,-0.307,0.0
hsa-miR-29c-3p,CALU,,-0.307,0.0
hsa-miR-15b-5p,HOXA3,MIRT475538,-0.307,0.0
hsa-miR-33a-5p,TCF4,,-0.307,0.0
hsa-miR-200a-3p,FOXN3,,-0.306,0.0
hsa-miR-342-3p,CDK6,MIRT659637,-0.306,0.0
hsa-miR-193a-3p,FLI1,,-0.306,0.0
hsa-miR-33a-5p,NAV3,,-0.306,0.0
hsa-miR-200c-3p,KCNJ15,,-0.306,0.0
hsa-miR-106b-5p,TBCEL,,-0.306,0.0
hsa-let-7c-5p,PARD6B,,-0.305,0.0
hsa-miR-16-5p,NRBP1,,-0.305,0.0
hsa-miR-141-3p,TRHDE,,-0.305,0.0
hsa-miR-106b-5p,PLXDC2,,-0.305,0.0
hsa-miR-33a-5p,SLC16A7,,-0.305,0.0
hsa-miR-96-5p,HAS2,,-0.305,0.0
hsa-miR-29c-3p,DYNLT1,MIRT523964,-0.305,0.0
hsa-miR-200a-3p,IGDCC4,,-0.304,0.0
hsa-miR-33a-5p,CACNA1C,,-0.304,0.0
hsa-miR-33a-5p,RGMA,,-0.304,0.0
hsa-miR-200a-3p,NUMBL,,-0.304,0.0
hsa-miR-429,MAF,,-0.303,0.0
hsa-miR-381-3p,TPD52,,-0.303,0.0
hsa-miR-96-5p,SEMA5A,,-0.303,0.0
hsa-miR-365b-3p,MEF2D,,-0.303,0.0
hsa-miR-365a-3p,MEF2D,,-0.303,0.0
hsa-miR-18a-5p,NEDD4,,-0.303,0.0
hsa-miR-33b-5p,CROT,,-0.303,0.0
hsa-miR-29b-3p,B3GALT1,,-0.302,0.0
hsa-miR-96-5p,EBF3,,-0.302,0.0
hsa-miR-141-3p,QKI,MIRT099339,-0.302,0.0
hsa-miR-29b-3p,BACH2,,-0.302,0.0
hsa-miR-148b-3p,MMP19,,-0.301,0.0
hsa-miR-96-5p,ATOH8,,-0.301,0.0
hsa-miR-193b-3p,RUNX1T1,,-0.301,0.0
hsa-miR-29b-3p,COL8A1,,-0.301,0.0
hsa-miR-16-5p,LUZP1,MIRT001445,-0.301,0.0
hsa-miR-17-5p,CYBRD1,MIRT299336,-0.301,0.0
hsa-miR-342-3p,TBX15,,-0.301,0.0
hsa-miR-200c-3p,LOX,,-0.3,0.0
hsa-miR-106b-5p,CYP2U1,,-0.3,0.0
hsa-miR-17-5p,SAR1B,,-0.3,0.0
hsa-miR-200b-3p,SLC24A4,,-0.3,0.0
hsa-miR-96-5p,SH3PXD2B,,-0.3,0.0
hsa-miR-29b-3p,KIAA1549L,,-0.3,0.0
