id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,0,1,0.1456786792154826,0.24575311438278596,0.0790960451977401,0.14285714285714285
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,0.23248528929764092,0.23109691160809373,0.0903954802259887,0.09166666666666666
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA,1.0,0,1,0.5647742350025415,0.3095577746077033,0.21468926553672316,0.008534850640113799
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA,1.0,0,1,0.24215882689028873,0.2532088681446908,0.15254237288135594,0.019943019943019943
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA,1.0,0,1,0.11853157730996577,0.16939890710382513,0.07344632768361582,0.0
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA,1.0,0,1,0.07948198812734802,0.2301166489925769,0.06779661016949153,0.09090909090909091
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA,1.0,0,1,0.024279435655563418,0.2022367194780988,0.022598870056497175,0.0
hsa-miR-210-3p,hsa-miR-210-3p,MicroRNA,1.0,9,0,,,,
hsa-miR-301a-3p,hsa-miR-301a-3p,MicroRNA,1.0,0,1,0.22273684385114806,0.23459459459459459,0.06779661016949153,0.0
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,0.2347750528330162,0.26889714993804215,0.0790960451977401,0.04395604395604396
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,0.11485768659159896,0.2514484356894554,0.07344632768361582,0.05128205128205128
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA,1.0,0,1,0.15178593101933427,0.2198581560283688,0.03389830508474576,0.2
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA,1.0,0,1,0.00018147879290677176,0.1362209667294413,0.01694915254237288,1.0
hsa-miR-744-5p,hsa-miR-744-5p,MicroRNA,1.0,10,0,,,,
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA,1.0,11,0,,,,
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA,1.0,0,1,0.14691080529349107,0.1791907514450867,0.06214689265536723,0.05454545454545454
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,0.06823748339809813,0.24575311438278596,0.05084745762711865,0.05555555555555555
hsa-miR-192-5p,hsa-miR-192-5p,MicroRNA,1.0,0,1,0.010162812402779218,0.11379129522810698,0.011299435028248588,0.0
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA,1.0,0,1,0.11564847454330326,0.23109691160809373,0.06779661016949153,0.06060606060606061
hsa-miR-107,hsa-miR-107,MicroRNA,1.0,3,0,,,,
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA,1.0,4,0,,,,
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA,1.0,0,1,0.08944311936119465,0.14266929651545035,0.04519774011299435,0.0
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA,1.0,12,0,,,,
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,1,0,,,,
hsa-miR-181d-5p,hsa-miR-181d-5p,MicroRNA,1.0,13,0,,,,
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA,1.0,2,0,,,,
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA,1.0,5,0,,,,
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA,1.0,0,1,0.16414840962719968,0.18594687232219365,0.03954802259887005,0.0
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA,1.0,14,0,,,,
hsa-miR-92a-3p,hsa-miR-92a-3p,MicroRNA,1.0,0,1,0.010162812402779218,0.1360501567398119,0.011299435028248588,0.0
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA,1.0,6,0,,,,
hsa-miR-149-5p,hsa-miR-149-5p,MicroRNA,1.0,15,0,,,,
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA,1.0,0,1,0.020273773721870787,0.19853613906678866,0.01694915254237288,0.0
hsa-miR-324-5p,hsa-miR-324-5p,MicroRNA,1.0,2,0,,,,
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA,1.0,7,0,,,,
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA,1.0,16,0,,,,
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA,1.0,17,0,,,,
hsa-miR-363-3p,hsa-miR-363-3p,MicroRNA,1.0,18,0,,,,
