id,label,type
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA
hsa-miR-210-3p,hsa-miR-210-3p,MicroRNA
hsa-miR-301a-3p,hsa-miR-301a-3p,MicroRNA
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA
hsa-miR-429,hsa-miR-429,MicroRNA
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA
hsa-miR-744-5p,hsa-miR-744-5p,MicroRNA
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA
hsa-miR-192-5p,hsa-miR-192-5p,MicroRNA
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA
hsa-miR-107,hsa-miR-107,MicroRNA
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA
hsa-miR-181d-5p,hsa-miR-181d-5p,MicroRNA
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA
hsa-miR-92a-3p,hsa-miR-92a-3p,MicroRNA
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA
hsa-miR-149-5p,hsa-miR-149-5p,MicroRNA
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA
hsa-miR-324-5p,hsa-miR-324-5p,MicroRNA
