id,label,type,module_id,connected_component_id,is_in_largest_component,degree,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
FLNC,FLNC,Messenger RNA,1.0,0,1,1,0.0,0.5700934579439252,0.2,
LAMA2,LAMA2,Messenger RNA,0.0,0,1,3,0.027454048468247255,0.7176470588235294,0.6000000000000001,1.0
PDGFRA,PDGFRA,Messenger RNA,1.0,0,1,2,0.010623476140717519,0.6559139784946236,0.4,1.0
PRKG1,PRKG1,Messenger RNA,0.0,0,1,3,0.027454048468247255,0.7176470588235294,0.6000000000000001,1.0
GATA6,GATA6,Messenger RNA,0.0,0,1,1,0.0,0.5700934579439252,0.2,
TCF4,TCF4,Messenger RNA,0.0,0,1,5,0.44278412895045755,1.0,1.0,0.7
DIO2,DIO2,Messenger RNA,1.0,0,1,1,0.0,0.5700934579439252,0.2,
PRRX1,PRRX1,Messenger RNA,0.0,0,1,1,0.0,0.5700934579439252,0.2,
TRPM3,TRPM3,Messenger RNA,0.0,0,1,3,0.027454048468247255,0.7176470588235294,0.6000000000000001,1.0
CROT,CROT,Messenger RNA,0.0,0,1,3,0.027454048468247255,0.7176470588235294,0.6000000000000001,1.0
WWTR1,WWTR1,Messenger RNA,0.0,0,1,1,0.0,0.5495495495495496,0.2,
FRMD6,FRMD6,Messenger RNA,0.0,0,1,1,0.0,0.5495495495495496,0.2,
MAF,MAF,Messenger RNA,0.0,0,1,3,0.04372276059902834,0.7176470588235294,0.6000000000000001,1.0
TNS1,TNS1,Messenger RNA,0.0,0,1,1,0.0,0.5495495495495496,0.2,
ITGA9,ITGA9,Messenger RNA,1.0,0,1,2,0.04417624521072796,0.6421052631578947,0.4,1.0
TBX3,TBX3,Messenger RNA,3.0,0,1,3,0.04372276059902834,0.7176470588235294,0.6000000000000001,1.0
TBCEL,TBCEL,Messenger RNA,0.0,0,1,2,0.01380405035577449,0.6421052631578947,0.4,1.0
RUNX1T1,RUNX1T1,Messenger RNA,0.0,0,1,1,0.0,0.5596330275229358,0.2,
FLI1,FLI1,Messenger RNA,1.0,0,1,1,0.0,0.5596330275229358,0.2,
RGMA,RGMA,Messenger RNA,0.0,0,1,1,0.0,0.5596330275229358,0.2,
HMCN1,HMCN1,Messenger RNA,0.0,0,1,2,0.04977011494252873,0.6853932584269663,0.4,1.0
DZIP1,DZIP1,Messenger RNA,1.0,0,1,1,0.0,0.5596330275229358,0.2,
FRZB,FRZB,Messenger RNA,0.0,0,1,1,0.0,0.5596330275229358,0.2,
RASGRF2,RASGRF2,Messenger RNA,2.0,0,1,1,0.0,0.5596330275229358,0.2,
KIT,KIT,Messenger RNA,1.0,0,1,1,0.0,0.5922330097087378,0.2,
EIF4E2,EIF4E2,Messenger RNA,1.0,0,1,1,0.0,0.5922330097087378,0.2,
ETS1,ETS1,Messenger RNA,1.0,0,1,1,0.0,0.5922330097087378,0.2,
SLC2A3,SLC2A3,Messenger RNA,2.0,0,1,2,0.004798660133345731,0.6421052631578947,0.4,1.0
TBC1D12,TBC1D12,Messenger RNA,0.0,0,1,1,0.0,0.580952380952381,0.2,
KEGG:04510,Focal adhesion,Pathway,4.0,0,1,10,0.27453340702105855,0.49333333333333335,0.3448275862068966,0.3333333333333333
KEGG:04390,Hippo signaling pathway,Pathway,4.0,0,1,8,0.23274720714101052,0.46835443037974683,0.27586206896551724,0.25
KEGG:05202,Transcriptional misregulation in cancer,Pathway,0.0,0,1,9,0.35854537743850706,0.4805194805194805,0.3103448275862069,0.05555555555555555
KEGG:04151,PI3K-Akt signaling pathway,Pathway,3.0,0,1,12,0.2848970480200835,0.5211267605633803,0.41379310344827586,0.5
KEGG:05165,Human papillomavirus infection,Pathway,0.0,0,1,11,0.23858993747857687,0.5068493150684932,0.3793103448275862,0.5818181818181818
