id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,0,1,0.1456786792154826,0.2457531143827859,0.0790960451977401,0.1428571428571428
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,0.2324852892976409,0.2310969116080937,0.0903954802259887,0.0916666666666666
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA,1.0,0,1,0.5647742350025415,0.3095577746077033,0.2146892655367231,0.0085348506401137
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA,1.0,0,1,0.2421588268902887,0.2532088681446908,0.1525423728813559,0.0199430199430199
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA,1.0,0,1,0.1185315773099657,0.1693989071038251,0.0734463276836158,0.0
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA,1.0,0,1,0.079481988127348,0.2301166489925769,0.0677966101694915,0.0909090909090909
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA,1.0,0,1,0.0242794356555634,0.2022367194780988,0.0225988700564971,0.0
hsa-miR-210-3p,hsa-miR-210-3p,MicroRNA,1.0,9,0,,,,
hsa-miR-301a-3p,hsa-miR-301a-3p,MicroRNA,1.0,0,1,0.222736843851148,0.2345945945945945,0.0677966101694915,0.0
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,0.2347750528330162,0.2688971499380421,0.0790960451977401,0.0439560439560439
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,0.1148576865915989,0.2514484356894554,0.0734463276836158,0.0512820512820512
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA,1.0,0,1,0.1517859310193342,0.2198581560283688,0.0338983050847457,0.2
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA,1.0,0,1,0.0001814787929067,0.1362209667294413,0.0169491525423728,1.0
hsa-miR-744-5p,hsa-miR-744-5p,MicroRNA,1.0,10,0,,,,
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA,1.0,11,0,,,,
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA,1.0,0,1,0.146910805293491,0.1791907514450867,0.0621468926553672,0.0545454545454545
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,0.0682374833980981,0.2457531143827859,0.0508474576271186,0.0555555555555555
hsa-miR-192-5p,hsa-miR-192-5p,MicroRNA,1.0,0,1,0.0101628124027792,0.1137912952281069,0.0112994350282485,0.0
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA,1.0,0,1,0.1156484745433032,0.2310969116080937,0.0677966101694915,0.0606060606060606
hsa-miR-107,hsa-miR-107,MicroRNA,1.0,3,0,,,,
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA,1.0,4,0,,,,
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA,1.0,0,1,0.0894431193611946,0.1426692965154503,0.0451977401129943,0.0
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA,1.0,12,0,,,,
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,1,0,,,,
hsa-miR-181d-5p,hsa-miR-181d-5p,MicroRNA,1.0,13,0,,,,
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA,1.0,2,0,,,,
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA,1.0,5,0,,,,
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA,1.0,0,1,0.1641484096271996,0.1859468723221936,0.03954802259887,0.0
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA,1.0,14,0,,,,
hsa-miR-92a-3p,hsa-miR-92a-3p,MicroRNA,1.0,0,1,0.0101628124027792,0.1360501567398119,0.0112994350282485,0.0
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA,1.0,6,0,,,,
hsa-miR-149-5p,hsa-miR-149-5p,MicroRNA,1.0,15,0,,,,
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA,1.0,0,1,0.0202737737218707,0.1985361390667886,0.0169491525423728,0.0
hsa-miR-324-5p,hsa-miR-324-5p,MicroRNA,1.0,2,0,,,,
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA,1.0,7,0,,,,
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA,1.0,16,0,,,,
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA,1.0,17,0,,,,
hsa-miR-363-3p,hsa-miR-363-3p,MicroRNA,1.0,18,0,,,,
hsa-miR-425-5p,hsa-miR-425-5p,MicroRNA,1.0,19,0,,,,
hsa-miR-27a-3p,hsa-miR-27a-3p,MicroRNA,1.0,20,0,,,,
hsa-miR-193a-3p,hsa-miR-193a-3p,MicroRNA,1.0,0,1,0.0,0.1812865497076023,0.0056497175141242,
hsa-let-7c-5p,hsa-let-7c-5p,MicroRNA,0.0,21,0,,,,
hsa-miR-365b-3p,hsa-miR-365b-3p,MicroRNA,1.0,8,0,,,,
hsa-miR-365a-3p,hsa-miR-365a-3p,MicroRNA,1.0,8,0,,,,
WWTR1,WWTR1,Messenger RNA,0.0,0,1,0.0151656629311326,0.387331256490135,0.0952380952380952,1.0
PHYHIPL,PHYHIPL,Messenger RNA,3.0,0,1,0.0,0.3286343612334801,0.0476190476190476,
SGMS2,SGMS2,Messenger RNA,0.0,0,1,0.0,0.4158305462653289,0.0476190476190476,
PCSK5,PCSK5,Messenger RNA,0.0,0,1,0.0775836122826329,0.4656679151061174,0.0952380952380952,1.0
