source,target,association
hsa-miR-15a-5p,hsa-miR-30e-5p,1.0
hsa-miR-381-3p,hsa-miR-299-5p,1.0
hsa-miR-378a-3p,hsa-miR-378c,0.333
hsa-miR-151a-3p,hsa-miR-212-3p,0.333
hsa-miR-150-5p,hsa-miR-378c,0.333
hsa-miR-26a-5p,hsa-miR-26b-5p,0.333
hsa-miR-501-3p,hsa-miR-502-3p,0.286
hsa-let-7d-5p,hsa-miR-107,0.25
hsa-miR-1271-5p,hsa-miR-378c,0.25
hsa-miR-378a-3p,hsa-miR-150-5p,0.2
hsa-let-7i-5p,hsa-miR-223-3p,0.2
hsa-miR-151a-3p,hsa-miR-590-5p,0.2
hsa-miR-18a-5p,hsa-miR-181b-5p,0.182
hsa-miR-378a-3p,hsa-miR-1271-5p,0.167
hsa-let-7d-5p,hsa-let-7i-5p,0.167
hsa-miR-1271-5p,hsa-miR-222-3p,0.167
hsa-miR-181b-5p,hsa-let-7i-5p,0.167
hsa-miR-18a-5p,hsa-miR-502-3p,0.154
hsa-miR-30c-5p,hsa-miR-429,0.143
hsa-miR-181b-5p,hsa-let-7d-5p,0.143
hsa-miR-502-3p,hsa-miR-374c-5p,0.143
hsa-miR-362-5p,hsa-miR-502-3p,0.143
hsa-miR-362-5p,hsa-miR-128-3p,0.143
hsa-miR-30b-5p,hsa-miR-590-5p,0.133
hsa-miR-155-5p,hsa-let-7i-5p,0.125
hsa-miR-193b-3p,hsa-miR-374c-5p,0.111
hsa-miR-155-5p,hsa-miR-181b-5p,0.111
hsa-miR-193b-3p,hsa-miR-193a-3p,0.111
hsa-miR-155-5p,hsa-let-7d-5p,0.111
hsa-miR-221-3p,hsa-miR-222-3p,0.111
hsa-miR-106b-5p,hsa-miR-502-3p,0.111
hsa-miR-96-5p,hsa-miR-182-5p,0.105
