metrics,total_metrics,source,target,target_label,mediators,total_mediators
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-29c-3p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,PPIC; KIRREL1,2
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-33a-5p,KEGG:05202,Transcriptional misregulation in cancer,CALN1,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-29c-3p,KEGG:04150,mTOR signaling pathway,PPIC,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-29c-3p,KEGG:04012,ErbB signaling pathway,KCTD20,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-29c-3p,KEGG:04010,MAPK signaling pathway,KIRREL1,1
betweenness_centrality; closeness_centrality; functional_impact; pathway_reach,4.0,hsa-miR-18a-5p,KEGG:05225,Hepatocellular carcinoma,NAV1,1
betweenness_centrality; closeness_centrality; functional_impact; pathway_reach,4.0,hsa-miR-18a-5p,KEGG:05218,Melanoma,NAV1,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-29c-3p,KEGG:04720,Long-term potentiation,COL6A3; KCTD20,2
betweenness_centrality; closeness_centrality; functional_impact; pathway_reach,4.0,hsa-miR-18a-5p,KEGG:05215,Prostate cancer,NAV1,1
betweenness_centrality; closeness_centrality; functional_impact; pathway_reach,4.0,hsa-miR-18a-5p,KEGG:05214,Glioma,NAV1,1
betweenness_centrality; closeness_centrality; functional_impact; pathway_reach,4.0,hsa-miR-18a-5p,KEGG:05202,Transcriptional misregulation in cancer,NAV1,1
betweenness_centrality; closeness_centrality; functional_impact; pathway_reach,4.0,hsa-miR-18a-5p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,NAV1,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-29c-3p,KEGG:05205,Proteoglycans in cancer,KCTD20,1
