source,target,mediators,total_mediators
hsa-miR-29c-3p,KEGG:01521,PPIC; KIRREL1,2
hsa-miR-29c-3p,KEGG:04720,COL6A3; KCTD20,2
hsa-miR-29c-3p,KEGG:04713,COL6A3; KCTD20,2
hsa-miR-29c-3p,KEGG:04630,DIO2; DAAM1,2
hsa-miR-18a-5p,KEGG:05205,ZBTB4; NAV1,2
hsa-miR-18a-5p,KEGG:01522,ZBTB4; NAV1,2
hsa-miR-18a-5p,KEGG:04010,CREBL2; NAV1,2
hsa-miR-18a-5p,KEGG:05224,ZBTB4; NAV1,2
hsa-miR-29c-3p,KEGG:04151,PPIC; DIO2,2
hsa-miR-342-3p,KEGG:04310,PDGFRA; TBX18,2
hsa-miR-18a-5p,KEGG:05200,ZBTB4; NAV1,2
hsa-miR-29c-3p,KEGG:04014,COL6A3; KIRREL1,2
hsa-miR-18a-5p,KEGG:04520,ATXN1; NAV1,2
hsa-miR-141-3p,KEGG:04151,MOB3B,1
hsa-miR-33a-5p,KEGG:04380,CALN1,1
hsa-miR-33a-5p,KEGG:04068,CALN1,1
hsa-miR-33a-5p,KEGG:04218,CALN1,1
hsa-miR-33a-5p,KEGG:04144,CALN1,1
hsa-miR-33a-5p,KEGG:04926,CALN1,1
hsa-miR-33a-5p,KEGG:04010,CALN1,1
hsa-miR-29c-3p,KEGG:05214,KCTD20,1
hsa-miR-33a-5p,KEGG:04520,CALN1,1
hsa-miR-33a-5p,KEGG:05200,CALN1,1
hsa-miR-33a-5p,KEGG:05161,CALN1,1
hsa-miR-29c-3p,KEGG:05200,KCTD20,1
hsa-miR-33a-5p,KEGG:05202,CALN1,1
hsa-miR-33a-5p,KEGG:05225,CALN1,1
hsa-miR-342-3p,KEGG:04140,FLNC,1
hsa-miR-342-3p,KEGG:04151,JCAD,1
hsa-miR-342-3p,KEGG:04152,FLNC,1
hsa-miR-342-3p,KEGG:04218,JCAD,1
hsa-miR-342-3p,KEGG:04520,TBX15,1
hsa-miR-342-3p,KEGG:05200,JCAD,1
hsa-miR-342-3p,KEGG:05214,JCAD,1
hsa-miR-342-3p,KEGG:05218,JCAD,1
hsa-miR-342-3p,KEGG:05222,JCAD,1
hsa-miR-342-3p,KEGG:05224,JCAD,1
hsa-miR-29c-3p,KEGG:05205,KCTD20,1
hsa-miR-29c-3p,KEGG:04310,KCTD20,1
hsa-miR-29c-3p,KEGG:04725,KCTD20,1
hsa-miR-29c-3p,KEGG:04722,KCTD20,1
hsa-miR-141-3p,KEGG:04520,KCNJ2,1
hsa-miR-141-3p,KEGG:04630,MOB3B,1
hsa-miR-141-3p,KEGG:05200,MOB3B,1
hsa-miR-18a-5p,KEGG:01521,NAV1,1
hsa-miR-18a-5p,KEGG:04014,NAV1,1
hsa-miR-18a-5p,KEGG:04068,NAV1,1
hsa-miR-18a-5p,KEGG:04140,NAV1,1
hsa-miR-18a-5p,KEGG:04144,NAV1,1
hsa-miR-18a-5p,KEGG:04150,NAV1,1
hsa-miR-18a-5p,KEGG:04151,NAV1,1
hsa-miR-18a-5p,KEGG:04152,NAV1,1
hsa-miR-18a-5p,KEGG:04510,NAV1,1
hsa-miR-18a-5p,KEGG:04550,NAV1,1
hsa-miR-18a-5p,KEGG:05202,NAV1,1
hsa-miR-18a-5p,KEGG:05214,NAV1,1
hsa-miR-18a-5p,KEGG:05215,NAV1,1
hsa-miR-18a-5p,KEGG:05218,NAV1,1
hsa-miR-18a-5p,KEGG:05225,NAV1,1
hsa-miR-29c-3p,KEGG:04010,KIRREL1,1
hsa-miR-29c-3p,KEGG:04012,KCTD20,1
hsa-miR-29c-3p,KEGG:04150,PPIC,1
hsa-miR-141-3p,KEGG:04380,MOB3B,1
hsa-miR-29c-3p,KEGG:04550,DAAM1,1
hsa-miR-342-3p,KEGG:05225,JCAD,1
