metrics,total_metrics,source,target,target_label,mediators,total_mediators
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-200c-3p,KEGG:05200,Pathways in cancer,DZIP1; JCAD; LRRC8A; ERG,4
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:04310,Wnt signaling pathway,FNDC3B,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:04140,Autophagy - animal,PMEPA1,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-29b-3p,KEGG:05202,Transcriptional misregulation in cancer,TMTC3,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:05222,Small cell lung cancer,PMEPA1,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-29b-3p,KEGG:04510,Focal adhesion,MEST,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-29b-3p,KEGG:04140,Autophagy - animal,ABHD5,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:05215,Prostate cancer,PMEPA1,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-29b-3p,KEGG:05222,Small cell lung cancer,MEST,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-29b-3p,KEGG:05205,Proteoglycans in cancer,SLC16A14,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:05200,Pathways in cancer,PMEPA1,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:05161,Hepatitis B,PMEPA1,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-200c-3p,KEGG:04713,Circadian entrainment,ERG,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact; pathway_reach,5.0,hsa-miR-25-3p,KEGG:04722,Neurotrophin signaling pathway,PMEPA1,1
