source,target,mediators,total_mediators
hsa-miR-200c-3p,KEGG:05200,DZIP1; JCAD; LRRC8A; ERG,4
hsa-miR-200c-3p,KEGG:04151,DZIP1; JCAD; ERG,3
hsa-miR-200c-3p,KEGG:04218,DZIP1; JCAD; KLF12,3
hsa-miR-200c-3p,KEGG:05214,DZIP1; JCAD; ERG,3
hsa-miR-200c-3p,KEGG:05224,DZIP1; JCAD; LRRC8A,3
hsa-miR-200c-3p,KEGG:05225,DZIP1; JCAD; ERG,3
hsa-miR-106b-5p,KEGG:04310,DCUN1D3; FNDC3B,2
hsa-miR-200c-3p,KEGG:04150,DZIP1; ERG,2
hsa-miR-200c-3p,KEGG:05218,DZIP1; JCAD,2
hsa-miR-200c-3p,KEGG:01521,DZIP1; ERG,2
hsa-miR-200c-3p,KEGG:05222,DZIP1; JCAD,2
hsa-miR-193b-3p,KEGG:04520,ATXN1; KCNJ2,2
hsa-miR-193b-3p,KEGG:01521,RUNX1T1; ENTPD1,2
hsa-miR-200c-3p,KEGG:04510,DZIP1; ERG,2
hsa-miR-30b-5p,KEGG:04218,RAP2B; KLF12,2
hsa-miR-106a-5p,KEGG:04380,JAK1; TMEM167A,2
hsa-miR-29b-3p,KEGG:05200,MEST,1
hsa-miR-221-3p,KEGG:05222,MYEF2,1
hsa-miR-221-3p,KEGG:05205,MYEF2,1
hsa-miR-221-3p,KEGG:05200,MYEF2,1
hsa-miR-221-3p,KEGG:04510,MYEF2,1
hsa-miR-221-3p,KEGG:04151,MYEF2,1
hsa-miR-301a-3p,KEGG:04144,PTPN14,1
hsa-miR-301a-3p,KEGG:04152,PTPN14,1
hsa-miR-30b-5p,KEGG:01522,FTO,1
hsa-miR-30b-5p,KEGG:04151,TSPAN2,1
hsa-miR-200c-3p,KEGG:05215,DZIP1,1
hsa-miR-25-3p,KEGG:01522,PMEPA1,1
hsa-miR-30b-5p,KEGG:04510,TSPAN2,1
hsa-miR-200c-3p,KEGG:05205,ERG,1
hsa-miR-30b-5p,KEGG:05200,TSPAN2,1
hsa-miR-200c-3p,KEGG:05161,ERG,1
hsa-miR-200c-3p,KEGG:04926,ERG,1
hsa-miR-200c-3p,KEGG:04725,ERG,1
hsa-miR-30b-5p,KEGG:05202,TMTC3,1
hsa-miR-200c-3p,KEGG:04720,ERG,1
hsa-miR-25-3p,KEGG:01521,PMEPA1,1
hsa-miR-25-3p,KEGG:04140,PMEPA1,1
hsa-miR-29b-3p,KEGG:05202,TMTC3,1
hsa-miR-25-3p,KEGG:05222,PMEPA1,1
hsa-miR-29b-3p,KEGG:04510,MEST,1
hsa-miR-29b-3p,KEGG:04140,ABHD5,1
hsa-miR-27a-3p,KEGG:05224,BBX,1
hsa-miR-27a-3p,KEGG:05218,BBX,1
hsa-miR-27a-3p,KEGG:05202,AFF3,1
hsa-miR-27a-3p,KEGG:05200,BBX,1
hsa-miR-27a-3p,KEGG:04151,BBX,1
hsa-miR-27a-3p,KEGG:04014,BBX,1
hsa-miR-27a-3p,KEGG:04010,BBX,1
hsa-miR-25-3p,KEGG:05215,PMEPA1,1
hsa-miR-29b-3p,KEGG:05222,MEST,1
hsa-miR-29b-3p,KEGG:05205,SLC16A14,1
hsa-miR-25-3p,KEGG:05200,PMEPA1,1
hsa-miR-25-3p,KEGG:05161,PMEPA1,1
hsa-miR-200c-3p,KEGG:04713,ERG,1
hsa-miR-25-3p,KEGG:04722,PMEPA1,1
hsa-miR-25-3p,KEGG:04630,PMEPA1,1
hsa-miR-25-3p,KEGG:04510,PMEPA1,1
hsa-miR-25-3p,KEGG:04310,FNDC3B,1
hsa-miR-25-3p,KEGG:04151,PMEPA1,1
hsa-miR-25-3p,KEGG:04725,PMEPA1,1
hsa-miR-106a-5p,KEGG:04068,RND3,1
hsa-miR-200c-3p,KEGG:04310,ERG,1
hsa-miR-106a-5p,KEGG:04151,TMEM167A,1
hsa-miR-182-5p,KEGG:04550,UBASH3B,1
hsa-miR-148a-3p,KEGG:04144,SPIN1,1
hsa-miR-130b-3p,KEGG:05225,KIAA1217,1
hsa-miR-130b-3p,KEGG:05205,KIAA1217,1
hsa-miR-130b-3p,KEGG:05200,KIAA1217,1
hsa-miR-130b-3p,KEGG:04926,KIAA1217,1
hsa-miR-130b-3p,KEGG:04550,KIAA1217,1
hsa-miR-130b-3p,KEGG:04218,KIAA1217,1
hsa-miR-130b-3p,KEGG:04144,KIAA1217,1
hsa-miR-106b-5p,KEGG:04722,MMP2,1
hsa-miR-106b-5p,KEGG:04520,ATXN1,1
hsa-miR-106b-5p,KEGG:04014,KIRREL1,1
hsa-miR-106b-5p,KEGG:04010,KIRREL1,1
hsa-miR-106b-5p,KEGG:01521,KIRREL1,1
hsa-miR-106a-5p,KEGG:05218,JAK1,1
