accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue,is_interaction_of_interest
MIMAT0000062,hsa-let-7a-5p,PKIA,,-0.1624557260920897,0.0381323754389058,0.2629160550065846,0
MIMAT0000062,hsa-let-7a-5p,GJC1,,0.0961664004444752,0.8519532958815423,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,PBX3,,0.0648378359608305,0.7591495291873085,0.9956184371808872,0
MIMAT0000062,hsa-let-7a-5p,ITSN1,,0.149260365303146,0.9481398904944994,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,SRGAP1,,0.1738245711507743,0.9711982336014896,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,LCOR,,0.2096117785957357,0.9892115949781896,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,DYRK1A,,0.257406764358636,0.9977317448280604,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,NSMCE2,,-0.0194249600666712,0.4166065799217221,0.7887457479327376,0
MIMAT0000062,hsa-let-7a-5p,SAMD12,,-0.0213209250642405,0.4086027653210328,0.7820736061662764,0
MIMAT0000062,hsa-let-7a-5p,PBX1,,0.2442530731300784,0.99641131609559,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ARHGEF7,,0.1919369400652822,0.982141040646678,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,TASOR,,0.2586082366831029,0.9978273468614448,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,CLASP2,,0.2522397388707549,0.99727632345726,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,P4HA2,,-0.0604139176331689,0.2560815092529167,0.6380572326111075,0
MIMAT0000062,hsa-let-7a-5p,TET3,,-0.0282936315021876,0.3795136008747896,0.7579042170465299,0
MIMAT0000062,hsa-let-7a-5p,ARHGAP28,,-0.1278977706785193,0.0819446201586467,0.3777379988031943,0
MIMAT0000062,hsa-let-7a-5p,GNAL,,0.0203000208347801,0.5870919413711557,0.9079057562222164,0
MIMAT0000062,hsa-let-7a-5p,FBXO21,,0.251066046253212,0.9971621535725176,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,MON2,,0.2218626293492603,0.9925618623182032,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ACVR1B,MIRT052392,0.076762275157997,0.7976671721368509,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,RPS6KA3,,0.0333322337180753,0.6411053554077804,0.9390030006286648,0
MIMAT0000062,hsa-let-7a-5p,NAP1L1,MIRT712374,0.14412806444892,0.9418540655613168,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,EMB,,0.086124036391416,0.82518466382037,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ERGIC1,,0.1626154594069032,0.9620138215239332,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,RNF38,,0.1201611223001597,0.904438399826508,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,BNC2,,-0.092763386346274,0.1567967183795519,0.5098011148466396,0
MIMAT0000062,hsa-let-7a-5p,STX17,,0.0851100770886867,0.8223229377623067,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ATP8B4,,0.0869089640062494,0.8273800367995575,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,GAS7,,-0.0153552330022918,0.4338985292175934,0.8020820146988956,0
MIMAT0000062,hsa-let-7a-5p,C19orf47,MIRT559085,-0.0453920411139662,0.3112557090227572,0.6974411519489409,0
MIMAT0000062,hsa-let-7a-5p,AKT2,,0.0164178067921383,0.5706297135410091,0.8988465976725515,0
MIMAT0000062,hsa-let-7a-5p,IKZF2,,-0.076456698381832,0.2032720767048392,0.5753529134315248,0
MIMAT0000062,hsa-let-7a-5p,CCSAP,,-0.0653587054656573,0.2390897646806036,0.6191788716195363,0
MIMAT0000062,hsa-let-7a-5p,CTPS1,MIRT704420,0.0043127994999652,0.5186437847768934,0.8640704939290165,0
MIMAT0000062,hsa-let-7a-5p,BBX,,0.0431557747065768,0.6801140527669047,0.9584970367780604,0
MIMAT0000062,hsa-let-7a-5p,ZNF583,,0.1787276894228765,0.974597740057574,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ARL6IP6,MIRT052420,0.0091395235780262,0.5394596839585442,0.8781390901462696,0
MIMAT0000062,hsa-let-7a-5p,SLC16A14,,-0.0256128897840127,0.3906274916491616,0.7673155280615932,0
MIMAT0000062,hsa-let-7a-5p,SENP5,,-0.1454753802347385,0.0564412763189045,0.3169596105269378,0
MIMAT0000062,hsa-let-7a-5p,SCUBE3,,0.0826585179526355,0.8152841236110153,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,RICTOR,,0.235363566914369,0.99516977832442,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,FAS,,-0.1844225293423154,0.0218773739798943,0.2023067406510036,0
MIMAT0000062,hsa-let-7a-5p,LCORL,,0.2532402480041458,0.9973703959781404,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ATP2A2,MIRT052513,0.1158622126536565,0.8961961555841005,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,LSM11,,0.0813945412875894,0.8115891143385832,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,RNF152,,0.0840266685186471,0.8192331545882191,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,PRR14L,,0.1944023890547954,0.9833158536878992,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,CCDC141,,0.0192832586844051,0.5827938114423277,0.9047332870794328,0
MIMAT0000062,hsa-let-7a-5p,EOGT,,-0.0369053406486561,0.3445110205747274,0.7273049692857264,0
MIMAT0000062,hsa-let-7a-5p,SREK1IP1,,0.0778942982151538,0.8011242647674754,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,LRATD2,,0.035349677060907,0.6492524332819614,0.9430240412709944,0
MIMAT0000062,hsa-let-7a-5p,SOWAHA,,-0.0260851448017223,0.3886629064959195,0.7657765339275784,0
MIMAT0000062,hsa-let-7a-5p,NAT8L,MIRT309842,0.1825751788318632,0.9770268256476284,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,GDPD1,,0.1384540593096742,0.9342337842994914,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,UBE2G2,,0.2060351413292589,0.988016513317119,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,STEAP3,,-0.1477185915688589,0.0536896747897044,0.3089434522363706,0
MIMAT0000062,hsa-let-7a-5p,RNF7,,-0.1904021112577262,0.0186249273122498,0.1876577661571248,0
MIMAT0000062,hsa-let-7a-5p,PXMP4,,0.2163553024515591,0.9911881332515284,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,E2F6,MIRT567716,0.0645322591846656,0.7581133495072291,0.995207248365596,0
MIMAT0000062,hsa-let-7a-5p,ZNF710,,0.0338079033266199,0.6430321398314234,0.93999698789209,0
MIMAT0000062,hsa-let-7a-5p,STIMATE,,-0.1072680520663677,0.1217806498688999,0.4531333466454851,0
MIMAT0000062,hsa-let-7a-5p,DZIP1,,-0.1550315994166261,0.0454424046238618,0.2837152496147661,0
MIMAT0000062,hsa-let-7a-5p,CNNM2,,0.2277866518508229,0.9938278383459492,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,BLOC1S5,,0.2202240090009725,0.9921740585536148,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,GIPC1,,-0.1660879227724147,0.0349180571716473,0.2509674398916814,0
MIMAT0000062,hsa-let-7a-5p,LRRC8B,,0.2225085075352455,0.9927100624877946,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ZBTB37,MIRT574367,0.2789152024446141,0.9989816992648948,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,A1CF,,-0.1510059875631387,0.0498480801796794,0.2977421444607591,0
MIMAT0000062,hsa-let-7a-5p,ZNF24,,0.183991943884992,0.9778711885675484,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,KCNJ11,,0.182512674491284,0.976988965686824,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,SULF2,,0.1065699006875477,0.8766695733032824,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,DUSP4,,0.0080630599347176,0.5348245284789835,0.8751900261933767,0
MIMAT0000062,hsa-let-7a-5p,MGA,,0.2526842141815403,0.9973184791471552,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,PALD1,MIRT052627,0.0340301409820126,0.6439311234951801,0.940227258835962,0
MIMAT0000062,hsa-let-7a-5p,TMOD2,,0.212105007292173,0.9899827703629868,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ZNF516,,0.2097367872768941,0.9892514420006268,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ULK2,,0.2547468574206541,0.9975065918322767,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,CTIF,,0.0720258351274393,0.7828225158221569,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ZBTB39,,-0.0112785610111813,0.4513461064119358,0.8148165163811355,0
MIMAT0000062,hsa-let-7a-5p,SRGAP3,,0.1088686714355163,0.8817213177126547,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,LPGAT1,,0.082491839711091,0.8147994316254241,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ZNF652,,0.1135842766858809,0.8916278716418822,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,FNDC3A,MIRT052386,0.1346899090214598,0.9287715278622182,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,CEP164,,0.1156191402180706,0.8957153652113975,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,FRMD4B,,0.0600876104029143,0.7427757416064469,0.9883483691162808,0
MIMAT0000062,hsa-let-7a-5p,NEMP1,,0.133252309188138,0.9265969886514176,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,PPP1R16B,,0.0610945204528092,0.7462935658483576,0.9899539652987596,0
MIMAT0000062,hsa-let-7a-5p,TMEM251,,-0.1694423223834988,0.0321480326633949,0.2407412458486408,0
MIMAT0000062,hsa-let-7a-5p,WARS2,,0.1026946315716369,0.8678193807661964,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,YBX2,,-0.0937704007222723,0.1541731312809384,0.5062737211218756,0
MIMAT0000062,hsa-let-7a-5p,TMED5,MIRT466192,0.1135703868324189,0.8915995850723768,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,GOLT1B,,0.0041322314049586,0.5178637341380439,0.8635299799726327,0
MIMAT0000062,hsa-let-7a-5p,TOB2,,0.0500243072435585,0.7062949574237622,0.9718076635867406,0
MIMAT0000062,hsa-let-7a-5p,CPA4,MIRT682607,-0.1053512489605882,0.1260682022540967,0.4606871843244193,0
MIMAT0000062,hsa-let-7a-5p,CILK1,,0.1800958399888881,0.9754847719145764,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,LIMK2,,-0.0454753802347385,0.3109360181228544,0.6972181334477012,0
MIMAT0000062,hsa-let-7a-5p,GDAP2,,0.0838808250572956,0.8188146975965088,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,SEMA4C,MIRT501243,0.0794360719494409,0.8057757377947459,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,HIF1AN,,0.0211125772623098,0.5905194694541411,0.9095400515529029,0
MIMAT0000062,hsa-let-7a-5p,RADIL,,0.2920758385999027,0.9993958764077236,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,IPO9,MIRT702711,-0.0274185707340787,0.3831311492452206,0.7612797262760508,0
MIMAT0000062,hsa-let-7a-5p,SLF2,,0.2245503159941662,0.9931617920738546,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,SBNO1,,0.1699284672546704,0.968238137807652,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,ETNK2,,-0.0771164664212792,0.2012473657448857,0.5726431236673389,0
MIMAT0000062,hsa-let-7a-5p,DDX19A,,-0.2504132231404958,0.0029031766017934,0.078477266920048,0
MIMAT0000062,hsa-let-7a-5p,FGD6,,-0.0425307313007847,0.3223157013955947,0.7069103995927354,0
MIMAT0000062,hsa-let-7a-5p,SLC30A6,,0.1191263282172372,0.90249926216272,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,DCX,,0.1542118656790256,0.9536864850738344,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,PLEKHA8,,-0.2538717966525453,0.0025717251675916,0.0742957484330013,0
MIMAT0000062,hsa-let-7a-5p,POU2F1,,0.1759011042433502,0.972680977911569,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,AMMECR1L,,0.1908396416417806,0.9815961881288584,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,CPD,,0.1485450378498506,0.9472972148705662,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,DNAL1,MIRT548561,0.1409125633724564,0.937624453489632,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,MDM4,MIRT112239,0.1019515244114174,0.8660741119265299,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,NOS1,,-0.049003367922546,0.2975341666542532,0.6846777436863939,0
MIMAT0000062,hsa-let-7a-5p,KLF9,,0.0241475102437669,0.603259156179479,0.9173158400680458,0
MIMAT0000062,hsa-let-7a-5p,FBXO32,,-0.0933050906312938,0.1553818259177471,0.5078125260941281,0
MIMAT0000062,hsa-let-7a-5p,NXT2,,0.1174317660948676,0.8992625023100207,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,GLRX,,-0.1920411139662476,0.0178079462309054,0.1838133000964859,0
MIMAT0000062,hsa-let-7a-5p,HDLBP,,0.0452461976526147,0.6881844936847332,0.962242701533222,0
MIMAT0000062,hsa-let-7a-5p,MGLL,,0.1023890547954718,0.8671035833004587,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,NOL4L,,0.2193072770808171,0.9919495322351196,0.9999999999999992,0
MIMAT0000062,hsa-let-7a-5p,DDX19B,,-0.1332245294812139,0.0734455196053551,0.3586198799800868,0
MIMAT0000062,hsa-let-7a-5p,ZNF451,,0.0717341482047364,0.7818884763724196,0.9999999999999992,0
