id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,0.251333307958526,0.25984251968503935,0.08040201005025126,0.004032258064516129
hsa-let-7g-5p,hsa-let-7g-5p,MicroRNA,1.0,0,1,0.04702118104932265,0.1316708229426434,0.02763819095477387,0.0
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA,1.0,0,1,0.025793353790883915,0.1802047781569966,0.017587939698492462,0.0
hsa-miR-151a-3p,hsa-miR-151a-3p,MicroRNA,1.0,0,1,0.012929421450490234,0.1936903888481291,0.007537688442211055,0.0
hsa-miR-27b-3p,hsa-miR-27b-3p,MicroRNA,1.0,0,1,0.1960479866695596,0.24858757062146894,0.08040201005025126,0.018145161290322582
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA,1.0,0,1,0.07098270344142994,0.2406563354603464,0.020100502512562814,0.03571428571428571
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA,1.0,0,1,0.14874613821085725,0.23218997361477572,0.035175879396984924,0.01098901098901099
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,0,1,0.1746409159659617,0.25409047160731474,0.022613065326633167,0.08333333333333333
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA,1.0,3,0,,,,
hsa-miR-330-3p,hsa-miR-330-3p,MicroRNA,1.0,0,1,0.050261103705447154,0.2268041237113402,0.02763819095477387,0.0
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA,1.0,0,1,0.1670835356545637,0.24581005586592178,0.07035175879396985,0.0026455026455026454
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA,1.0,0,1,0.0944306734776209,0.23466666666666666,0.04522613065326633,0.013071895424836602
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA,1.0,0,1,0.03703036920071133,0.19584569732937684,0.02512562814070352,0.022222222222222223
hsa-miR-34a-5p,hsa-miR-34a-5p,MicroRNA,1.0,0,1,0.11389285188827787,0.22,0.05025125628140704,0.005263157894736842
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA,1.0,0,1,0.2346686411994966,0.2773109243697479,0.06030150753768844,0.03985507246376811
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,0.04786137987910418,0.2194513715710723,0.02763819095477387,0.0
hsa-miR-25-3p,hsa-miR-25-3p,MicroRNA,1.0,0,1,0.09164856472898636,0.22916666666666666,0.03768844221105528,0.02857142857142857
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA,1.0,0,1,0.05260900684256779,0.21103117505995203,0.032663316582914576,0.0
hsa-miR-30a-5p,hsa-miR-30a-5p,MicroRNA,1.0,2,0,,,,
