id,label,type
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA
hsa-let-7g-5p,hsa-let-7g-5p,MicroRNA
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA
hsa-miR-151a-3p,hsa-miR-151a-3p,MicroRNA
hsa-miR-27b-3p,hsa-miR-27b-3p,MicroRNA
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA
hsa-miR-330-3p,hsa-miR-330-3p,MicroRNA
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA
hsa-miR-34a-5p,hsa-miR-34a-5p,MicroRNA
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA
hsa-miR-25-3p,hsa-miR-25-3p,MicroRNA
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA
hsa-miR-30a-5p,hsa-miR-30a-5p,MicroRNA
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA
hsa-miR-155-5p,hsa-miR-155-5p,MicroRNA
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA
hsa-miR-144-3p,hsa-miR-144-3p,MicroRNA
hsa-miR-532-5p,hsa-miR-532-5p,MicroRNA
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA
hsa-miR-7-5p,hsa-miR-7-5p,MicroRNA
hsa-miR-181b-5p,hsa-miR-181b-5p,MicroRNA
hsa-miR-501-3p,hsa-miR-501-3p,MicroRNA
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA
hsa-miR-146a-5p,hsa-miR-146a-5p,MicroRNA
hsa-miR-205-5p,hsa-miR-205-5p,MicroRNA
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA
hsa-miR-362-5p,hsa-miR-362-5p,MicroRNA
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA
hsa-miR-32-5p,hsa-miR-32-5p,MicroRNA
hsa-miR-760,hsa-miR-760,MicroRNA
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA
hsa-miR-590-5p,hsa-miR-590-5p,MicroRNA
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA
hsa-miR-26a-5p,hsa-miR-26a-5p,MicroRNA
hsa-miR-379-5p,hsa-miR-379-5p,MicroRNA
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA
hsa-miR-140-5p,hsa-miR-140-5p,MicroRNA
hsa-miR-98-5p,hsa-miR-98-5p,MicroRNA
hsa-let-7d-5p,hsa-let-7d-5p,MicroRNA
hsa-miR-421,hsa-miR-421,MicroRNA
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA
hsa-miR-532-3p,hsa-miR-532-3p,MicroRNA
hsa-let-7i-5p,hsa-let-7i-5p,MicroRNA
hsa-miR-142-5p,hsa-miR-142-5p,MicroRNA
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA
hsa-let-7b-5p,hsa-let-7b-5p,MicroRNA
hsa-miR-185-5p,hsa-miR-185-5p,MicroRNA
hsa-miR-1271-5p,hsa-miR-1271-5p,MicroRNA
hsa-miR-27a-3p,hsa-miR-27a-3p,MicroRNA
hsa-miR-363-3p,hsa-miR-363-3p,MicroRNA
hsa-miR-23b-3p,hsa-miR-23b-3p,MicroRNA
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA
hsa-miR-502-3p,hsa-miR-502-3p,MicroRNA
hsa-miR-374c-5p,hsa-miR-374c-5p,MicroRNA
hsa-miR-212-3p,hsa-miR-212-3p,MicroRNA
hsa-miR-193a-3p,hsa-miR-193a-3p,MicroRNA
hsa-miR-301a-3p,hsa-miR-301a-3p,MicroRNA
hsa-miR-195-5p,hsa-miR-195-5p,MicroRNA
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA
hsa-miR-150-5p,hsa-miR-150-5p,MicroRNA
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA
hsa-miR-378c,hsa-miR-378c,MicroRNA
hsa-miR-320b,hsa-miR-320b,MicroRNA
hsa-miR-452-5p,hsa-miR-452-5p,MicroRNA
hsa-miR-454-3p,hsa-miR-454-3p,MicroRNA
hsa-miR-223-3p,hsa-miR-223-3p,MicroRNA
hsa-miR-339-5p,hsa-miR-339-5p,MicroRNA
hsa-miR-423-5p,hsa-miR-423-5p,MicroRNA
hsa-miR-429,hsa-miR-429,MicroRNA
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA
hsa-miR-19b-3p,hsa-miR-19b-3p,MicroRNA
hsa-miR-125b-5p,hsa-miR-125b-5p,MicroRNA
hsa-miR-92b-3p,hsa-miR-92b-3p,MicroRNA
hsa-miR-134-5p,hsa-miR-134-5p,MicroRNA
hsa-miR-340-5p,hsa-miR-340-5p,MicroRNA
hsa-miR-23a-3p,hsa-miR-23a-3p,MicroRNA
hsa-miR-449a,hsa-miR-449a,MicroRNA
