source,target,qvalue
ZBTB4,KEGG:05200,1.2186862937996495e-06
DZIP1,KEGG:05200,1.2186862937996495e-06
WAC,KEGG:05200,1.2186862937996495e-06
DCP2,KEGG:05200,1.2186862937996495e-06
CBX7,KEGG:05200,1.2186862937996495e-06
SATB2,KEGG:05200,1.2186862937996495e-06
JCAD,KEGG:05200,1.2186862937996495e-06
CALN1,KEGG:05200,1.2186862937996495e-06
NAV1,KEGG:05200,1.2186862937996495e-06
ABI2,KEGG:05200,1.2186862937996495e-06
MOB3B,KEGG:05200,1.2186862937996495e-06
BMF,KEGG:05200,1.2186862937996495e-06
TSPAN2,KEGG:05200,1.2186862937996495e-06
NFIX,KEGG:05200,1.2186862937996495e-06
BBX,KEGG:05200,1.2186862937996495e-06
ACVR1B,KEGG:05200,1.2186862937996495e-06
RUNX1T1,KEGG:05200,1.2186862937996495e-06
TMED8,KEGG:05200,1.2186862937996495e-06
MYEF2,KEGG:05200,1.2186862937996495e-06
BACH2,KEGG:05200,1.2186862937996495e-06
NEK4,KEGG:05200,1.2186862937996495e-06
KIAA1217,KEGG:05200,1.2186862937996495e-06
HIPK2,KEGG:05200,1.2186862937996495e-06
DOK6,KEGG:05200,1.2186862937996495e-06
LRRC8A,KEGG:05200,1.2186862937996495e-06
LIN54,KEGG:05200,1.2186862937996495e-06
ERG,KEGG:05200,1.2186862937996495e-06
CCDC85C,KEGG:05200,1.2186862937996495e-06
JAK1,KEGG:05200,1.2186862937996495e-06
LMOD1,KEGG:05200,1.2186862937996495e-06
ELAVL2,KEGG:05200,1.2186862937996495e-06
INTS2,KEGG:05200,1.2186862937996495e-06
ARIH1,KEGG:05200,1.2186862937996495e-06
KCTD20,KEGG:05200,1.2186862937996495e-06
MEST,KEGG:05200,1.2186862937996495e-06
PMEPA1,KEGG:05200,1.2186862937996495e-06
ESR1,KEGG:01521,3.862058130932505e-06
PPIC,KEGG:01521,3.862058130932505e-06
DZIP1,KEGG:01521,3.862058130932505e-06
SATB2,KEGG:01521,3.862058130932505e-06
NAV1,KEGG:01521,3.862058130932505e-06
NFIX,KEGG:01521,3.862058130932505e-06
RUNX1T1,KEGG:01521,3.862058130932505e-06
ENTPD1,KEGG:01521,3.862058130932505e-06
ERG,KEGG:01521,3.862058130932505e-06
CCDC85C,KEGG:01521,3.862058130932505e-06
NEDD4L,KEGG:01521,3.862058130932505e-06
KIRREL1,KEGG:01521,3.862058130932505e-06
PMEPA1,KEGG:01521,3.862058130932505e-06
CREBL2,KEGG:04010,1.1743030706909345e-05
CBX7,KEGG:04010,1.1743030706909345e-05
UHRF1BP1,KEGG:04010,1.1743030706909345e-05
SATB2,KEGG:04010,1.1743030706909345e-05
GPR157,KEGG:04010,1.1743030706909345e-05
CALN1,KEGG:04010,1.1743030706909345e-05
NAV1,KEGG:04010,1.1743030706909345e-05
NFIX,KEGG:04010,1.1743030706909345e-05
MSI2,KEGG:04010,1.1743030706909345e-05
BBX,KEGG:04010,1.1743030706909345e-05
BMPR2,KEGG:04010,1.1743030706909345e-05
FGF1,KEGG:04010,1.1743030706909345e-05
RUNX1T1,KEGG:04010,1.1743030706909345e-05
TMED8,KEGG:04010,1.1743030706909345e-05
YTHDC1,KEGG:04010,1.1743030706909345e-05
PPP6R3,KEGG:04010,1.1743030706909345e-05
