id,label,type,module_id,connected_component_id,is_in_largest_component,degree,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
ZBTB4,ZBTB4,Messenger RNA,0.0,0,1,4,0.001535354957112269,0.5658198614318707,0.12121212121212122,1.0
DZIP1,DZIP1,Messenger RNA,0.0,0,1,14,0.028623261387715322,0.6712328767123288,0.42424242424242425,1.0
WAC,WAC,Messenger RNA,0.0,0,1,3,0.00195885312784201,0.5632183908045977,0.09090909090909091,1.0
DCP2,DCP2,Messenger RNA,0.0,0,1,1,0.0,0.5432372505543237,0.030303030303030304,
CBX7,CBX7,Messenger RNA,1.0,0,1,5,0.0027462789604613077,0.601965601965602,0.15151515151515152,1.0
SATB2,SATB2,Messenger RNA,0.0,0,1,11,0.03356144719567147,0.6712328767123288,0.33333333333333337,0.9818181818181818
JCAD,JCAD,Messenger RNA,0.0,0,1,8,0.0057205200539642105,0.5875299760191847,0.24242424242424243,1.0
CALN1,CALN1,Messenger RNA,1.0,0,1,11,0.05378154852109251,0.6901408450704225,0.33333333333333337,0.9272727272727272
NAV1,NAV1,Messenger RNA,0.0,0,1,21,0.1737732446932956,0.8249158249158249,0.6363636363636364,0.8904761904761904
ABI2,ABI2,Messenger RNA,1.0,0,1,6,0.009365502922470908,0.5961070559610706,0.18181818181818182,1.0
MOB3B,MOB3B,Messenger RNA,0.0,0,1,4,0.0020142310515895443,0.5764705882352941,0.12121212121212122,1.0
BMF,BMF,Messenger RNA,1.0,0,1,6,0.0057768837866745935,0.5903614457831325,0.18181818181818182,1.0
TSPAN2,TSPAN2,Messenger RNA,0.0,0,1,4,0.0011731107484854837,0.5737704918032787,0.12121212121212122,1.0
NFIX,NFIX,Messenger RNA,0.0,0,1,27,0.16098913687601082,0.8249158249158249,0.8181818181818182,0.9116809116809117
BBX,BBX,Messenger RNA,1.0,0,1,6,0.0036770691673077885,0.6049382716049383,0.18181818181818182,1.0
ACVR1B,ACVR1B,Messenger RNA,1.0,0,1,2,0.001089857064013478,0.5555555555555556,0.06060606060606061,1.0
RUNX1T1,RUNX1T1,Messenger RNA,0.0,0,1,19,0.04802193392062977,0.7101449275362319,0.5757575757575758,1.0
TMED8,TMED8,Messenger RNA,4.0,0,1,8,0.027089382772502193,0.649867374005305,0.24242424242424243,0.9285714285714286
MYEF2,MYEF2,Messenger RNA,0.0,0,1,5,0.0020449413756419193,0.5791962174940898,0.15151515151515152,1.0
BACH2,BACH2,Messenger RNA,1.0,0,1,5,0.0020449413756419193,0.5791962174940898,0.15151515151515152,1.0
NEK4,NEK4,Messenger RNA,0.0,0,1,8,0.035478008684797724,0.639686684073107,0.24242424242424243,0.8214285714285714
KIAA1217,KIAA1217,Messenger RNA,2.0,0,1,7,0.02576650366593054,0.6298200514138818,0.21212121212121213,1.0
HIPK2,HIPK2,Messenger RNA,0.0,0,1,2,0.003980773075993697,0.5658198614318707,0.06060606060606061,1.0
DOK6,DOK6,Messenger RNA,0.0,0,1,2,0.001089857064013478,0.5555555555555556,0.06060606060606061,1.0
LRRC8A,LRRC8A,Messenger RNA,0.0,0,1,3,0.0008221910911659863,0.5530474040632054,0.09090909090909091,1.0
LIN54,LIN54,Messenger RNA,0.0,0,1,3,0.0011237801410389295,0.5819477434679335,0.09090909090909091,1.0
ERG,ERG,Messenger RNA,0.0,0,1,17,0.07839298347763157,0.7060518731988472,0.5151515151515151,0.8970588235294118
CCDC85C,CCDC85C,Messenger RNA,0.0,0,1,7,0.013637710553619502,0.6171284634760705,0.21212121212121213,1.0
JAK1,JAK1,Messenger RNA,0.0,0,1,4,0.003235524220008259,0.5710955710955711,0.12121212121212122,1.0
LMOD1,LMOD1,Messenger RNA,2.0,0,1,6,0.0037301195383852366,0.607940446650124,0.18181818181818182,1.0
ELAVL2,ELAVL2,Messenger RNA,1.0,0,1,7,0.008651810736609426,0.6140350877192983,0.21212121212121213,1.0
INTS2,INTS2,Messenger RNA,0.0,0,1,3,0.0034170828203181056,0.568445475638051,0.09090909090909091,1.0
ARIH1,ARIH1,Messenger RNA,1.0,0,1,4,0.0015054002996529186,0.5658198614318707,0.12121212121212122,1.0
KCTD20,KCTD20,Messenger RNA,0.0,0,1,9,0.02631018100023014,0.6298200514138818,0.2727272727272727,0.9444444444444444
MEST,MEST,Messenger RNA,0.0,0,1,3,0.0006614250630390149,0.5580865603644647,0.09090909090909091,1.0
PMEPA1,PMEPA1,Messenger RNA,3.0,0,1,12,0.02297050156701595,0.6568364611260054,0.36363636363636365,1.0
ESR1,ESR1,Messenger RNA,0.0,0,1,2,0.00011187690948403304,0.4989816700610998,0.06060606060606061,1.0
PPIC,PPIC,Messenger RNA,0.0,0,1,3,0.001042077634068695,0.5432372505543237,0.09090909090909091,1.0
ENTPD1,ENTPD1,Messenger RNA,1.0,0,1,1,0.0,0.49295774647887325,0.030303030303030304,
NEDD4L,NEDD4L,Messenger RNA,0.0,0,1,5,0.002412370587433509,0.5764705882352941,0.15151515151515152,1.0
KIRREL1,KIRREL1,Messenger RNA,0.0,0,1,3,0.0007052036327558185,0.5408388520971302,0.09090909090909091,1.0
CREBL2,CREBL2,Messenger RNA,0.0,0,1,1,0.0,0.5157894736842106,0.030303030303030304,
UHRF1BP1,UHRF1BP1,Messenger RNA,0.0,0,1,4,0.0015064366265468468,0.5710955710955711,0.12121212121212122,1.0
GPR157,GPR157,Messenger RNA,0.0,0,1,1,0.0,0.5157894736842106,0.030303030303030304,
MSI2,MSI2,Messenger RNA,0.0,0,1,4,0.0026401659852105025,0.5408388520971302,0.12121212121212122,1.0
BMPR2,BMPR2,Messenger RNA,1.0,0,1,3,0.000833195938316437,0.5337690631808278,0.09090909090909091,1.0
FGF1,FGF1,Messenger RNA,0.0,0,1,3,0.0009735678245130348,0.5555555555555556,0.09090909090909091,1.0
YTHDC1,YTHDC1,Messenger RNA,0.0,0,1,4,0.002673096966795514,0.5456570155902004,0.12121212121212122,1.0
PPP6R3,PPP6R3,Messenger RNA,0.0,0,1,2,0.0001421216228524389,0.5246252676659529,0.06060606060606061,1.0
CYB561D1,CYB561D1,Messenger RNA,0.0,0,1,4,0.002673096966795514,0.5456570155902004,0.12121212121212122,1.0
CEP41,CEP41,Messenger RNA,0.0,0,1,7,0.029865028148836886,0.607940446650124,0.21212121212121213,0.8095238095238095
DIO2,DIO2,Messenger RNA,0.0,0,1,2,0.0001732604824015716,0.5246252676659529,0.06060606060606061,1.0
ADAMTS2,ADAMTS2,Messenger RNA,1.0,0,1,2,0.00014073510363610966,0.5291576673866091,0.06060606060606061,1.0
TMEM167A,TMEM167A,Messenger RNA,0.0,0,1,8,0.012262480212248553,0.5903614457831325,0.24242424242424243,0.8928571428571429
CYTH3,CYTH3,Messenger RNA,0.0,0,1,1,0.0,0.4989816700610998,0.030303030303030304,
ZC2HC1C,ZC2HC1C,Messenger RNA,0.0,0,1,4,0.004475419005975154,0.5408388520971302,0.12121212121212122,0.8333333333333334
AHCYL2,AHCYL2,Messenger RNA,1.0,0,1,2,0.00025010067053339694,0.5010224948875256,0.06060606060606061,1.0
KCNN3,KCNN3,Messenger RNA,0.0,0,1,2,0.00025010067053339694,0.5010224948875256,0.06060606060606061,1.0
SLC16A14,SLC16A14,Messenger RNA,0.0,0,1,1,0.0,0.4969574036511156,0.030303030303030304,
DAAM1,DAAM1,Messenger RNA,0.0,0,1,2,0.0005282050132666056,0.4989816700610998,0.06060606060606061,1.0
GBA2,GBA2,Messenger RNA,0.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
DKK3,DKK3,Messenger RNA,0.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
ANTXR2,ANTXR2,Messenger RNA,1.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
CDS1,CDS1,Messenger RNA,0.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
AFAP1L2,AFAP1L2,Messenger RNA,1.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
UBASH3B,UBASH3B,Messenger RNA,0.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
CSNK1A1,CSNK1A1,Messenger RNA,0.0,0,1,2,0.0005034025508208474,0.5051546391752577,0.06060606060606061,1.0
AKAP12,AKAP12,Messenger RNA,1.0,0,1,1,0.0,0.4909819639278557,0.030303030303030304,
FBXO28,FBXO28,Messenger RNA,0.0,0,1,1,0.0,0.4909819639278557,0.030303030303030304,
NF1,NF1,Messenger RNA,0.0,0,1,2,0.0006097299704811925,0.5051546391752577,0.06060606060606061,1.0
MTPN,MTPN,Messenger RNA,0.0,0,1,1,0.0,0.4648956356736243,0.030303030303030304,
COL6A3,COL6A3,Messenger RNA,0.0,0,1,3,0.0009378905177055657,0.5136268343815513,0.09090909090909091,1.0
FNDC3B,FNDC3B,Messenger RNA,0.0,0,1,1,0.0,0.45286506469500926,0.030303030303030304,
PDGFRA,PDGFRA,Messenger RNA,0.0,0,1,1,0.0,0.45286506469500926,0.030303030303030304,
TBX18,TBX18,Messenger RNA,0.0,0,1,1,0.0,0.45286506469500926,0.030303030303030304,
PRELID2,PRELID2,Messenger RNA,0.0,0,1,3,0.0030539178252318323,0.5201698513800425,0.09090909090909091,0.6666666666666666
DCUN1D3,DCUN1D3,Messenger RNA,0.0,0,1,1,0.0,0.45286506469500926,0.030303030303030304,
BCORL1,BCORL1,Messenger RNA,1.0,0,1,1,0.0,0.45286506469500926,0.030303030303030304,
GRAP2,GRAP2,Messenger RNA,0.0,0,1,1,0.0,0.45286506469500926,0.030303030303030304,
KLF12,KLF12,Messenger RNA,0.0,0,1,1,0.0,0.4832347140039448,0.030303030303030304,
RAP2B,RAP2B,Messenger RNA,0.0,0,1,1,0.0,0.4832347140039448,0.030303030303030304,
SEMA6D,SEMA6D,Messenger RNA,0.0,0,1,1,0.0,0.4832347140039448,0.030303030303030304,
SRGAP1,SRGAP1,Messenger RNA,0.0,0,1,1,0.0,0.48514851485148514,0.030303030303030304,
PDE12,PDE12,Messenger RNA,0.0,0,1,1,0.0,0.48902195608782434,0.030303030303030304,
FTO,FTO,Messenger RNA,0.0,0,1,1,0.0,0.4648956356736243,0.030303030303030304,
MMP2,MMP2,Messenger RNA,0.0,0,1,1,0.0,0.4720616570327553,0.030303030303030304,
VEZF1,VEZF1,Messenger RNA,0.0,0,1,1,0.0,0.41737649063032367,0.030303030303030304,
FLNC,FLNC,Messenger RNA,1.0,0,1,2,0.0003686223592318038,0.4969574036511156,0.06060606060606061,1.0
BCL3,BCL3,Messenger RNA,1.0,0,1,1,0.0,0.4832347140039448,0.030303030303030304,
PTPN14,PTPN14,Messenger RNA,0.0,0,1,2,0.0019511780933125658,0.5093555093555093,0.06060606060606061,1.0
FRK,FRK,Messenger RNA,0.0,0,1,1,0.0,0.47024952015355087,0.030303030303030304,
SPIN1,SPIN1,Messenger RNA,0.0,0,1,1,0.0,0.47024952015355087,0.030303030303030304,
CAMKK2,CAMKK2,Messenger RNA,1.0,0,1,1,0.0,0.47024952015355087,0.030303030303030304,
ZSWIM4,ZSWIM4,Messenger RNA,0.0,0,1,1,0.0,0.47024952015355087,0.030303030303030304,
CCNJL,CCNJL,Messenger RNA,0.0,0,1,1,0.0,0.47024952015355087,0.030303030303030304,
