metrics,total_metrics,source,target,target_label,mediators,total_mediators
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04510,Focal adhesion,FGF1; RUNX1T1; DZIP1; BACH2,4
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:05202,Transcriptional misregulation in cancer,TMTC3,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:04510,Focal adhesion,TSPAN2,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:04151,PI3K-Akt signaling pathway,TSPAN2,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:01522,Endocrine resistance,FTO,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04310,Wnt signaling pathway,NEK4,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:05222,Small cell lung cancer,TMED8,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:05161,Hepatitis B,TMED8,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04720,Long-term potentiation,YTHDC1,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04380,Osteoclast differentiation,TMED8,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04218,Cellular senescence,WAC,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04150,mTOR signaling pathway,YTHDC1,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04144,Endocytosis,TMED8,1
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04140,Autophagy - animal,TMED8,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:05222,Small cell lung cancer,TMED8,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:05205,Proteoglycans in cancer,NEDD4L,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:05161,Hepatitis B,TMED8,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04722,Neurotrophin signaling pathway,TMED8,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04630,JAK-STAT signaling pathway,NEK4,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,GBA2,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04510,Focal adhesion,NEK4,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:01522,Endocrine resistance,ARIH1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04310,Wnt signaling pathway,HIPK2,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:05218,Melanoma,BBX,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04152,AMPK signaling pathway,NF1,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:05200,Pathways in cancer,TSPAN2,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:05222,Small cell lung cancer,TSPAN2,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04150,mTOR signaling pathway,NF1,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:04218,Cellular senescence,JCAD,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04068,FoxO signaling pathway,NEK4,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04012,ErbB signaling pathway,NEDD4L,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,NEDD4L,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04144,Endocytosis,TMED8,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05218,Melanoma,DZIP1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05161,Hepatitis B,RUNX1T1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04926,Relaxin signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04722,Neurotrophin signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04630,JAK-STAT signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04218,Cellular senescence,DZIP1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04140,Autophagy - animal,DZIP1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04014,Ras signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04012,ErbB signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:01522,Endocrine resistance,RUNX1T1,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04218,Cellular senescence,NEK4,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04380,Osteoclast differentiation,TMED8,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05225,Hepatocellular carcinoma,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05224,Breast cancer,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05222,Small cell lung cancer,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05218,Melanoma,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05214,Glioma,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05200,Pathways in cancer,JCAD,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04150,mTOR signaling pathway,RUNX1T1; AKAP12; DZIP1,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04014,Ras signaling pathway,BBX,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,DKK3,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:05224,Breast cancer,BBX,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:04218,Cellular senescence,RAP2B; KLF12,2
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04140,Autophagy - animal,TMED8; STRADB,2
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04151,PI3K-Akt signaling pathway,NEK4; NEDD4L,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04010,MAPK signaling pathway,UHRF1BP1; BBX,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05215,Prostate cancer,RUNX1T1; DZIP1,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05225,Hepatocellular carcinoma,RUNX1T1; DZIP1,2
