source,target,mediators,total_mediators
hsa-miR-15b-5p,KEGG:04510,FGF1; RUNX1T1; DZIP1; BACH2,4
hsa-miR-15b-5p,KEGG:04150,RUNX1T1; AKAP12; DZIP1,3
hsa-miR-24-3p,KEGG:04010,CREBL2; TMED8; NEDD4L,3
hsa-miR-27b-3p,KEGG:05200,HIPK2; ARIH1; BBX,3
hsa-miR-34a-5p,KEGG:05200,WAC; TMED8; LIN54,3
hsa-miR-24-3p,KEGG:05200,ACVR1B; NEK4; TMED8,3
hsa-miR-15b-5p,KEGG:05200,RUNX1T1; DZIP1; BACH2,3
hsa-miR-15b-5p,KEGG:04151,RUNX1T1; DZIP1; BACH2,3
hsa-miR-15b-5p,KEGG:05205,FGF1; RUNX1T1; BACH2,3
hsa-miR-34a-5p,KEGG:04010,TMED8; YTHDC1; LIN54,3
hsa-miR-15b-5p,KEGG:05214,RUNX1T1; DZIP1,2
hsa-miR-15b-5p,KEGG:04010,FGF1; RUNX1T1,2
hsa-miR-27b-3p,KEGG:04151,UHRF1BP1; BBX,2
hsa-miR-30b-5p,KEGG:04218,RAP2B; KLF12,2
hsa-miR-15b-5p,KEGG:05222,DZIP1; BACH2,2
hsa-miR-181b-5p,KEGG:05224,CBX7; ZBTB4,2
hsa-miR-26a-5p,KEGG:04725,ELAVL2; MTPN,2
hsa-miR-15b-5p,KEGG:01521,RUNX1T1; DZIP1,2
hsa-miR-26a-5p,KEGG:05200,NAV1; ELAVL2,2
hsa-miR-181b-5p,KEGG:05200,CBX7; ZBTB4,2
hsa-miR-330-3p,KEGG:04151,JCAD; ADAMTS2,2
hsa-miR-330-3p,KEGG:04510,CYTH3; ADAMTS2,2
hsa-miR-15b-5p,KEGG:04068,RUNX1T1; DZIP1,2
hsa-miR-193b-3p,KEGG:04520,ATXN1; KCNJ2,2
hsa-miR-29c-3p,KEGG:01521,PPIC; KIRREL1,2
hsa-miR-15b-5p,KEGG:05225,RUNX1T1; DZIP1,2
hsa-miR-15b-5p,KEGG:05215,RUNX1T1; DZIP1,2
hsa-miR-193b-3p,KEGG:01521,RUNX1T1; ENTPD1,2
hsa-miR-27b-3p,KEGG:04010,UHRF1BP1; BBX,2
