source,target,mirtarbase,correlation,qvalue
hsa-miR-200c-3p,ZMAT3,MIRT209182,-0.493,0.0
hsa-let-7g-5p,KLHL13,,-0.467,0.001
hsa-miR-30d-5p,FST,,-0.461,0.001
hsa-miR-200c-3p,FAM126A,,-0.458,0.001
hsa-miR-151a-3p,FRK,MIRT508167,-0.456,0.001
hsa-miR-27b-3p,NEDD4,,-0.448,0.001
hsa-miR-193b-3p,RORA,,-0.437,0.002
hsa-miR-200c-3p,FSTL1,,-0.433,0.002
hsa-miR-30b-5p,SLC41A2,,-0.431,0.002
hsa-miR-18a-5p,ZBTB4,,-0.428,0.002
hsa-miR-381-3p,ESR1,,-0.428,0.002
hsa-miR-200c-3p,NRG1,,-0.428,0.002
hsa-miR-330-3p,SH3PXD2A,,-0.428,0.002
hsa-miR-33a-5p,RORA,,-0.426,0.002
hsa-miR-29c-3p,NREP,,-0.426,0.002
hsa-miR-29c-3p,FKBP14,,-0.426,0.002
hsa-miR-29b-3p,TMTC3,MIRT067385,-0.423,0.002
hsa-miR-200c-3p,MAF,,-0.423,0.002
hsa-miR-34a-5p,CREBRF,,-0.42,0.002
hsa-miR-200c-3p,KCNJ15,,-0.419,0.002
hsa-miR-27b-3p,FNDC3A,MIRT476829,-0.419,0.002
hsa-miR-29c-3p,PPIC,,-0.418,0.002
hsa-miR-106b-5p,FNDC3A,,-0.417,0.002
hsa-miR-29c-3p,EIF4E2,,-0.416,0.002
hsa-miR-141-3p,NRP1,,-0.416,0.002
hsa-miR-25-3p,PTPRD,,-0.414,0.002
hsa-miR-18a-5p,CREBL2,MIRT031360,-0.412,0.002
hsa-miR-30b-5p,MAP4K4,,-0.412,0.002
hsa-miR-25-3p,FNDC3B,MIRT050229,-0.41,0.002
hsa-miR-29a-3p,DAAM1,,-0.409,0.002
hsa-miR-27b-3p,LIFR,MIRT556568,-0.407,0.003
hsa-miR-30a-5p,ONECUT2,,-0.406,0.003
hsa-miR-96-5p,CELF2,,-0.405,0.003
hsa-miR-141-3p,FOXN3,,-0.405,0.003
hsa-miR-155-5p,AHCYL2,,-0.405,0.003
hsa-miR-200c-3p,ZEB1,MIRT002286,-0.401,0.003
hsa-miR-33a-5p,CROT,MIRT007354,-0.401,0.003
hsa-miR-193b-3p,ATXN1,,-0.4,0.003
hsa-miR-106b-5p,HEG1,,-0.398,0.003
hsa-miR-200c-3p,LOX,,-0.398,0.003
hsa-miR-200c-3p,DZIP1,,-0.397,0.004
hsa-miR-106a-5p,PTEN,MIRT026981,-0.396,0.004
hsa-miR-34a-5p,WAC,,-0.395,0.004
hsa-miR-193b-3p,ETS1,MIRT005516,-0.393,0.004
hsa-miR-144-3p,COL11A1,,-0.393,0.004
hsa-miR-532-5p,TTC14,,-0.392,0.004
hsa-miR-151a-3p,KLF12,,-0.391,0.004
hsa-miR-221-3p,HIPK1,,-0.391,0.004
hsa-miR-200c-3p,SGCE,,-0.39,0.004
hsa-miR-29a-3p,DCP2,,-0.389,0.005
hsa-miR-7-5p,GLI3,,-0.389,0.005
hsa-miR-181b-5p,CBX7,MIRT006371,-0.389,0.005
hsa-miR-501-3p,SH3PXD2A,,-0.388,0.005
hsa-miR-193b-3p,KIT,MIRT734593,-0.388,0.005
hsa-miR-200c-3p,BNC2,,-0.388,0.005
hsa-miR-148a-3p,DOCK6,,-0.387,0.005
hsa-miR-106b-5p,TNS1,,-0.386,0.005
hsa-miR-106a-5p,PLSCR4,,-0.386,0.005
hsa-miR-18a-5p,ATXN1,,-0.386,0.005
hsa-miR-141-3p,MEIS2,,-0.385,0.005
hsa-miR-330-3p,GJC1,,-0.385,0.005
hsa-miR-141-3p,PEAK1,,-0.385,0.005
hsa-miR-27b-3p,UHRF1BP1,,-0.385,0.005
hsa-miR-148b-3p,ADAM22,,-0.384,0.005
hsa-miR-106b-5p,PLSCR4,,-0.382,0.005
hsa-miR-146a-5p,ERBB4,MIRT005806,-0.381,0.005
hsa-miR-205-5p,SATB2,MIRT735300,-0.38,0.005
hsa-miR-96-5p,ELMO1,,-0.38,0.005
hsa-miR-342-3p,PDGFRA,,-0.378,0.006
hsa-miR-200c-3p,CLIP2,,-0.378,0.006
hsa-miR-141-3p,SOX17,,-0.378,0.006
hsa-miR-362-5p,ATXN1L,,-0.378,0.006
hsa-miR-33a-5p,STRN,,-0.377,0.006
hsa-miR-24-3p,EIF5,MIRT249228,-0.377,0.006
hsa-miR-30d-5p,KPNA3,,-0.376,0.006
hsa-miR-106b-5p,ARHGAP31,,-0.376,0.006
hsa-miR-148a-3p,SPIN1,,-0.376,0.006
hsa-miR-342-3p,TBX18,,-0.376,0.006
hsa-miR-29c-3p,VTA1,,-0.375,0.006
hsa-miR-15b-5p,CCN4,,-0.375,0.006
hsa-miR-342-3p,TBX15,,-0.375,0.006
hsa-miR-25-3p,ITM2B,MIRT050305,-0.374,0.006
hsa-miR-130b-3p,PTPRM,,-0.373,0.007
hsa-miR-24-3p,RSBN1L,,-0.373,0.007
hsa-miR-29c-3p,CALU,,-0.372,0.007
hsa-miR-200b-3p,NR5A2,,-0.372,0.007
hsa-miR-7-5p,TCF12,,-0.372,0.007
