id,label,type
hsa-miR-199b-3p,hsa-miR-199b-3p,MicroRNA
hsa-miR-365a-3p,hsa-miR-365a-3p,MicroRNA
hsa-miR-330-5p,hsa-miR-330-5p,MicroRNA
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA
hsa-let-7b-5p,hsa-let-7b-5p,MicroRNA
hsa-miR-497-5p,hsa-miR-497-5p,MicroRNA
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA
hsa-miR-181b-5p,hsa-miR-181b-5p,MicroRNA
hsa-miR-132-3p,hsa-miR-132-3p,MicroRNA
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA
hsa-miR-1271-5p,hsa-miR-1271-5p,MicroRNA
hsa-miR-15a-5p,hsa-miR-15a-5p,MicroRNA
hsa-miR-93-5p,hsa-miR-93-5p,MicroRNA
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA
hsa-miR-30e-5p,hsa-miR-30e-5p,MicroRNA
hsa-miR-181c-5p,hsa-miR-181c-5p,MicroRNA
hsa-miR-331-3p,hsa-miR-331-3p,MicroRNA
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA
hsa-miR-30a-5p,hsa-miR-30a-5p,MicroRNA
hsa-miR-181d-5p,hsa-miR-181d-5p,MicroRNA
hsa-miR-34c-5p,hsa-miR-34c-5p,MicroRNA
hsa-miR-205-5p,hsa-miR-205-5p,MicroRNA
hsa-miR-130a-3p,hsa-miR-130a-3p,MicroRNA
hsa-miR-136-5p,hsa-miR-136-5p,MicroRNA
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA
hsa-miR-204-5p,hsa-miR-204-5p,MicroRNA
hsa-miR-195-5p,hsa-miR-195-5p,MicroRNA
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA
hsa-miR-146b-5p,hsa-miR-146b-5p,MicroRNA
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA
hsa-miR-199a-3p,hsa-miR-199a-3p,MicroRNA
hsa-miR-365b-3p,hsa-miR-365b-3p,MicroRNA
hsa-miR-874-3p,hsa-miR-874-3p,MicroRNA
hsa-miR-378c,hsa-miR-378c,MicroRNA
hsa-let-7c-5p,hsa-let-7c-5p,MicroRNA
hsa-miR-299-5p,hsa-miR-299-5p,MicroRNA
hsa-miR-503-5p,hsa-miR-503-5p,MicroRNA
hsa-miR-212-3p,hsa-miR-212-3p,MicroRNA
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA
hsa-miR-26b-5p,hsa-miR-26b-5p,MicroRNA
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA
hsa-miR-429,hsa-miR-429,MicroRNA
hsa-miR-181a-5p,hsa-miR-181a-5p,MicroRNA
hsa-miR-135a-5p,hsa-miR-135a-5p,MicroRNA
hsa-miR-187-3p,hsa-miR-187-3p,MicroRNA
hsa-miR-125a-5p,hsa-miR-125a-5p,MicroRNA
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA
hsa-miR-129-5p,hsa-miR-129-5p,MicroRNA
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA
hsa-miR-493-5p,hsa-miR-493-5p,MicroRNA
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA
hsa-miR-708-5p,hsa-miR-708-5p,MicroRNA
hsa-miR-125b-5p,hsa-miR-125b-5p,MicroRNA
hsa-miR-424-5p,hsa-miR-424-5p,MicroRNA
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA
