id,label,type,module_id,connected_component_id,is_in_largest_component,degree,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA,1.0,0,1,144,0.06653274663674015,0.2840364558864982,0.05292171995589857,0.06623931623931624
hsa-miR-452-5p,hsa-miR-452-5p,MicroRNA,1.0,0,1,66,0.02515998924294192,0.2730557311895944,0.02425578831312018,0.07459207459207459
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,34,0.01515529788375991,0.1602438377948582,0.012495406100698273,0.3761140819964349
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,0,1,28,0.012283165879815077,0.16017591267948922,0.010290334435869167,0.5396825396825397
hsa-miR-224-5p,hsa-miR-224-5p,MicroRNA,1.0,0,1,75,0.033811249988564065,0.27119404324033375,0.02756339581036384,0.043243243243243246
hsa-miR-486-5p,hsa-miR-486-5p,MicroRNA,1.0,0,1,45,0.01601106577246402,0.2637640694529273,0.016538037486218304,0.0898989898989899
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA,1.0,0,1,75,0.026248079268066698,0.28154978113066964,0.02756339581036384,0.38666666666666666
hsa-miR-181c-5p,hsa-miR-181c-5p,MicroRNA,1.0,0,1,21,0.007763848212559472,0.1585960862494098,0.007717750826901875,0.18095238095238095
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,40,0.054496150083151396,0.17671128777693343,0.014700477765527381,0.3
hsa-miR-139-5p,hsa-miR-139-5p,MicroRNA,1.0,0,1,108,0.04956760223557912,0.28613345953620445,0.03969128996692393,0.08324679820006922
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA,1.0,0,1,26,0.009218089262268072,0.1365710413372487,0.009555310547592797,0.12615384615384614
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,32,0.04464453406249042,0.1767319497223034,0.011760382212421904,0.3185483870967742
hsa-miR-145-5p,hsa-miR-145-5p,MicroRNA,1.0,0,1,96,0.045598621818306526,0.27241596827971526,0.03528114663726571,0.032675438596491226
hsa-miR-185-5p,hsa-miR-185-5p,MicroRNA,1.0,0,1,129,0.0632946446499461,0.2851617771908311,0.0474090407938258,0.06540697674418605
hsa-miR-365a-3p,hsa-miR-365a-3p,MicroRNA,1.0,0,1,42,0.00927024997392129,0.25607793307920373,0.01543550165380375,1.0
hsa-miR-365b-3p,hsa-miR-365b-3p,MicroRNA,1.0,0,1,42,0.00927024997392129,0.25607793307920373,0.01543550165380375,1.0
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA,1.0,0,1,393,0.18249393024660251,0.30348358598534286,0.14443219404630653,0.2816378459780859
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,24,0.008974106354979505,0.1597357992073976,0.008820286659316428,0.31521739130434784
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA,1.0,0,1,82,0.0333640846879815,0.2773140078891845,0.03013597941933113,0.1020776874435411
hsa-miR-652-3p,hsa-miR-652-3p,MicroRNA,1.0,0,1,4,0.001432451233717961,0.18866629220495537,0.001470047776552738,0.0
hsa-let-7b-5p,hsa-let-7b-5p,MicroRNA,1.0,0,1,58,0.026170688630428394,0.16111496029419603,0.0213156927600147,0.22262552934059285
