id,label,type
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA
hsa-miR-452-5p,hsa-miR-452-5p,MicroRNA
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA
hsa-miR-224-5p,hsa-miR-224-5p,MicroRNA
hsa-miR-486-5p,hsa-miR-486-5p,MicroRNA
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA
hsa-miR-181c-5p,hsa-miR-181c-5p,MicroRNA
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA
hsa-miR-139-5p,hsa-miR-139-5p,MicroRNA
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA
hsa-miR-145-5p,hsa-miR-145-5p,MicroRNA
hsa-miR-185-5p,hsa-miR-185-5p,MicroRNA
hsa-miR-365a-3p,hsa-miR-365a-3p,MicroRNA
hsa-miR-365b-3p,hsa-miR-365b-3p,MicroRNA
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA
hsa-miR-429,hsa-miR-429,MicroRNA
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA
hsa-miR-652-3p,hsa-miR-652-3p,MicroRNA
hsa-let-7b-5p,hsa-let-7b-5p,MicroRNA
hsa-miR-93-5p,hsa-miR-93-5p,MicroRNA
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA
hsa-miR-21-5p,hsa-miR-21-5p,MicroRNA
hsa-miR-223-3p,hsa-miR-223-3p,MicroRNA
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA
hsa-miR-215-5p,hsa-miR-215-5p,MicroRNA
hsa-miR-15a-5p,hsa-miR-15a-5p,MicroRNA
hsa-miR-193a-5p,hsa-miR-193a-5p,MicroRNA
hsa-miR-326,hsa-miR-326,MicroRNA
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA
hsa-miR-362-5p,hsa-miR-362-5p,MicroRNA
hsa-miR-532-3p,hsa-miR-532-3p,MicroRNA
hsa-miR-30e-5p,hsa-miR-30e-5p,MicroRNA
hsa-miR-30a-5p,hsa-miR-30a-5p,MicroRNA
hsa-miR-31-5p,hsa-miR-31-5p,MicroRNA
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA
hsa-miR-140-5p,hsa-miR-140-5p,MicroRNA
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA
hsa-miR-181b-5p,hsa-miR-181b-5p,MicroRNA
hsa-miR-186-5p,hsa-miR-186-5p,MicroRNA
hsa-miR-181d-5p,hsa-miR-181d-5p,MicroRNA
hsa-miR-195-5p,hsa-miR-195-5p,MicroRNA
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA
hsa-miR-146b-5p,hsa-miR-146b-5p,MicroRNA
hsa-miR-378c,hsa-miR-378c,MicroRNA
hsa-miR-363-3p,hsa-miR-363-3p,MicroRNA
hsa-let-7d-5p,hsa-let-7d-5p,MicroRNA
hsa-miR-7-5p,hsa-miR-7-5p,MicroRNA
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA
hsa-miR-542-3p,hsa-miR-542-3p,MicroRNA
hsa-miR-424-5p,hsa-miR-424-5p,MicroRNA
hsa-miR-181a-5p,hsa-miR-181a-5p,MicroRNA
hsa-miR-132-3p,hsa-miR-132-3p,MicroRNA
hsa-miR-135a-5p,hsa-miR-135a-5p,MicroRNA
hsa-miR-335-5p,hsa-miR-335-5p,MicroRNA
hsa-miR-144-3p,hsa-miR-144-3p,MicroRNA
hsa-miR-184,hsa-miR-184,MicroRNA
hsa-let-7e-5p,hsa-let-7e-5p,MicroRNA
hsa-miR-107,hsa-miR-107,MicroRNA
hsa-miR-501-3p,hsa-miR-501-3p,MicroRNA
hsa-miR-425-5p,hsa-miR-425-5p,MicroRNA
hsa-let-7c-5p,hsa-let-7c-5p,MicroRNA
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA
hsa-miR-1306-5p,hsa-miR-1306-5p,MicroRNA
hsa-miR-451a,hsa-miR-451a,MicroRNA
hsa-miR-205-5p,hsa-miR-205-5p,MicroRNA
hsa-miR-339-5p,hsa-miR-339-5p,MicroRNA
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA
hsa-miR-98-5p,hsa-miR-98-5p,MicroRNA
hsa-miR-454-3p,hsa-miR-454-3p,MicroRNA
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA
hsa-miR-150-5p,hsa-miR-150-5p,MicroRNA
hsa-miR-152-3p,hsa-miR-152-3p,MicroRNA
hsa-miR-370-5p,hsa-miR-370-5p,MicroRNA
hsa-miR-338-3p,hsa-miR-338-3p,MicroRNA
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA
hsa-miR-34c-5p,hsa-miR-34c-5p,MicroRNA
hsa-miR-1-3p,hsa-miR-1-3p,MicroRNA
hsa-miR-320b,hsa-miR-320b,MicroRNA
hsa-miR-136-5p,hsa-miR-136-5p,MicroRNA
hsa-miR-455-5p,hsa-miR-455-5p,MicroRNA
hsa-miR-10a-5p,hsa-miR-10a-5p,MicroRNA
hsa-miR-324-5p,hsa-miR-324-5p,MicroRNA
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA
hsa-miR-143-3p,hsa-miR-143-3p,MicroRNA
hsa-miR-331-3p,hsa-miR-331-3p,MicroRNA
hsa-miR-423-5p,hsa-miR-423-5p,MicroRNA
hsa-miR-410-3p,hsa-miR-410-3p,MicroRNA
hsa-miR-129-5p,hsa-miR-129-5p,MicroRNA
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA
hsa-miR-23b-3p,hsa-miR-23b-3p,MicroRNA
hsa-miR-493-5p,hsa-miR-493-5p,MicroRNA
hsa-let-7g-5p,hsa-let-7g-5p,MicroRNA
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA
hsa-miR-130a-3p,hsa-miR-130a-3p,MicroRNA
hsa-miR-204-5p,hsa-miR-204-5p,MicroRNA
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA
hsa-miR-19b-3p,hsa-miR-19b-3p,MicroRNA
hsa-miR-421,hsa-miR-421,MicroRNA
hsa-miR-301a-3p,hsa-miR-301a-3p,MicroRNA
hsa-miR-100-5p,hsa-miR-100-5p,MicroRNA
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA
hsa-miR-330-3p,hsa-miR-330-3p,MicroRNA
hsa-miR-26a-5p,hsa-miR-26a-5p,MicroRNA
hsa-miR-491-5p,hsa-miR-491-5p,MicroRNA
hsa-miR-196b-5p,hsa-miR-196b-5p,MicroRNA
hsa-miR-125a-5p,hsa-miR-125a-5p,MicroRNA
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA
hsa-miR-142-5p,hsa-miR-142-5p,MicroRNA
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA
hsa-let-7a-5p,hsa-let-7a-5p,MicroRNA
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA
hsa-miR-25-3p,hsa-miR-25-3p,MicroRNA
hsa-miR-1271-5p,hsa-miR-1271-5p,MicroRNA
hsa-miR-708-5p,hsa-miR-708-5p,MicroRNA
hsa-miR-497-5p,hsa-miR-497-5p,MicroRNA
hsa-miR-23a-3p,hsa-miR-23a-3p,MicroRNA
hsa-miR-103a-3p,hsa-miR-103a-3p,MicroRNA
hsa-miR-493-3p,hsa-miR-493-3p,MicroRNA
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA
hsa-miR-187-3p,hsa-miR-187-3p,MicroRNA
hsa-miR-193a-3p,hsa-miR-193a-3p,MicroRNA
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA
hsa-miR-20a-5p,hsa-miR-20a-5p,MicroRNA
hsa-miR-615-3p,hsa-miR-615-3p,MicroRNA
hsa-miR-760,hsa-miR-760,MicroRNA
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA
hsa-miR-190a-5p,hsa-miR-190a-5p,MicroRNA
hsa-miR-551b-3p,hsa-miR-551b-3p,MicroRNA
hsa-miR-328-3p,hsa-miR-328-3p,MicroRNA
hsa-miR-877-5p,hsa-miR-877-5p,MicroRNA
hsa-miR-199b-3p,hsa-miR-199b-3p,MicroRNA
