source,target,qvalue
NRP1,KEGG:04360,1.5593579789522465e-07
GNAI1,KEGG:04360,1.5593579789522465e-07
PAK4,KEGG:04360,1.5593579789522465e-07
PLXNA4,KEGG:04360,1.5593579789522465e-07
CFL2,KEGG:04360,1.5593579789522465e-07
SSBP2,KEGG:04360,1.5593579789522465e-07
STXBP4,KEGG:04360,1.5593579789522465e-07
LDLRAD3,KEGG:04360,1.5593579789522465e-07
WIPF2,KEGG:04360,1.5593579789522465e-07
CHST14,KEGG:04360,1.5593579789522465e-07
RGP1,KEGG:04360,1.5593579789522465e-07
RPP14,KEGG:04360,1.5593579789522465e-07
TIMP3,KEGG:04360,1.5593579789522465e-07
UEVLD,KEGG:04360,1.5593579789522465e-07
CYB561,KEGG:04360,1.5593579789522465e-07
PCDH19,KEGG:04360,1.5593579789522465e-07
DLG3,KEGG:04360,1.5593579789522465e-07
DERL2,KEGG:04360,1.5593579789522465e-07
ATAD2,KEGG:04360,1.5593579789522465e-07
SFMBT2,KEGG:04360,1.5593579789522465e-07
ASB4,KEGG:04360,1.5593579789522465e-07
KDM6B,KEGG:04360,1.5593579789522465e-07
AEBP2,KEGG:04360,1.5593579789522465e-07
KCNK6,KEGG:04360,1.5593579789522465e-07
FBXO39,KEGG:04360,1.5593579789522465e-07
MACROD2,KEGG:04360,1.5593579789522465e-07
PARD6B,KEGG:04360,1.5593579789522465e-07
PSME3,KEGG:04360,1.5593579789522465e-07
LYSMD3,KEGG:04360,1.5593579789522465e-07
CLCN3,KEGG:04360,1.5593579789522465e-07
PAPOLA,KEGG:04360,1.5593579789522465e-07
PCP4L1,KEGG:04360,1.5593579789522465e-07
KIAA0232,KEGG:04360,1.5593579789522465e-07
PLEKHA7,KEGG:04360,1.5593579789522465e-07
ZC3H6,KEGG:04360,1.5593579789522465e-07
RNF152,KEGG:04360,1.5593579789522465e-07
AVL9,KEGG:04360,1.5593579789522465e-07
HSPA8,KEGG:04360,1.5593579789522465e-07
NGFR,KEGG:04360,1.5593579789522465e-07
CCNI2,KEGG:04360,1.5593579789522465e-07
DHRS13,KEGG:04360,1.5593579789522465e-07
EPHB2,KEGG:04360,1.5593579789522465e-07
PTGFR,KEGG:04360,1.5593579789522465e-07
ANKRD28,KEGG:04360,1.5593579789522465e-07
RAP1B,KEGG:04360,1.5593579789522465e-07
TSPOAP1,KEGG:04360,1.5593579789522465e-07
CCPG1,KEGG:04360,1.5593579789522465e-07
SLC31A1,KEGG:04360,1.5593579789522465e-07
PTCH1,KEGG:04360,1.5593579789522465e-07
TRMT10B,KEGG:04360,1.5593579789522465e-07
ICE1,KEGG:04360,1.5593579789522465e-07
COG5,KEGG:04360,1.5593579789522465e-07
LIPH,KEGG:04360,1.5593579789522465e-07
CPEB1,KEGG:04360,1.5593579789522465e-07
KDR,KEGG:04360,1.5593579789522465e-07
BIN3,KEGG:04360,1.5593579789522465e-07
UVRAG,KEGG:04360,1.5593579789522465e-07
CKAP2L,KEGG:04360,1.5593579789522465e-07
FZD4,KEGG:05205,2.665648242071885e-07
TP53,KEGG:05205,2.665648242071885e-07
IGF1R,KEGG:05205,2.665648242071885e-07
ERBB3,KEGG:05205,2.665648242071885e-07
SDC4,KEGG:05205,2.665648242071885e-07
RBM18,KEGG:05205,2.665648242071885e-07
SSBP2,KEGG:05205,2.665648242071885e-07
CCDC25,KEGG:05205,2.665648242071885e-07
LDLRAD3,KEGG:05205,2.665648242071885e-07
MAPK1,KEGG:05205,2.665648242071885e-07
RALGPS1,KEGG:05205,2.665648242071885e-07
GRK3,KEGG:05205,2.665648242071885e-07
CHST14,KEGG:05205,2.665648242071885e-07
FAM126A,KEGG:05205,2.665648242071885e-07
PDXDC1,KEGG:05205,2.665648242071885e-07
WAPL,KEGG:05205,2.665648242071885e-07
UPF1,KEGG:05205,2.665648242071885e-07
TIMP3,KEGG:05205,2.665648242071885e-07
UEVLD,KEGG:05205,2.665648242071885e-07
AKAP12,KEGG:05205,2.665648242071885e-07
ZNF428,KEGG:05205,2.665648242071885e-07
ANK3,KEGG:05205,2.665648242071885e-07
BCL7C,KEGG:05205,2.665648242071885e-07
PLCL2,KEGG:05205,2.665648242071885e-07
ATAD2,KEGG:05205,2.665648242071885e-07
MKRN1,KEGG:05205,2.665648242071885e-07
SFMBT2,KEGG:05205,2.665648242071885e-07
KCNJ2,KEGG:05205,2.665648242071885e-07
DDI2,KEGG:05205,2.665648242071885e-07
ECE1,KEGG:05205,2.665648242071885e-07
AEBP2,KEGG:05205,2.665648242071885e-07
SIM1,KEGG:05205,2.665648242071885e-07
