id,label,type
NRP1,NRP1,Messenger RNA
GNAI1,GNAI1,Messenger RNA
PAK4,PAK4,Messenger RNA
PLXNA4,PLXNA4,Messenger RNA
CFL2,CFL2,Messenger RNA
SSBP2,SSBP2,Messenger RNA
STXBP4,STXBP4,Messenger RNA
LDLRAD3,LDLRAD3,Messenger RNA
WIPF2,WIPF2,Messenger RNA
CHST14,CHST14,Messenger RNA
RGP1,RGP1,Messenger RNA
RPP14,RPP14,Messenger RNA
TIMP3,TIMP3,Messenger RNA
UEVLD,UEVLD,Messenger RNA
CYB561,CYB561,Messenger RNA
PCDH19,PCDH19,Messenger RNA
DLG3,DLG3,Messenger RNA
DERL2,DERL2,Messenger RNA
ATAD2,ATAD2,Messenger RNA
SFMBT2,SFMBT2,Messenger RNA
ASB4,ASB4,Messenger RNA
KDM6B,KDM6B,Messenger RNA
AEBP2,AEBP2,Messenger RNA
KCNK6,KCNK6,Messenger RNA
FBXO39,FBXO39,Messenger RNA
MACROD2,MACROD2,Messenger RNA
PARD6B,PARD6B,Messenger RNA
PSME3,PSME3,Messenger RNA
LYSMD3,LYSMD3,Messenger RNA
CLCN3,CLCN3,Messenger RNA
PAPOLA,PAPOLA,Messenger RNA
PCP4L1,PCP4L1,Messenger RNA
KIAA0232,KIAA0232,Messenger RNA
PLEKHA7,PLEKHA7,Messenger RNA
ZC3H6,ZC3H6,Messenger RNA
RNF152,RNF152,Messenger RNA
AVL9,AVL9,Messenger RNA
HSPA8,HSPA8,Messenger RNA
NGFR,NGFR,Messenger RNA
CCNI2,CCNI2,Messenger RNA
DHRS13,DHRS13,Messenger RNA
EPHB2,EPHB2,Messenger RNA
PTGFR,PTGFR,Messenger RNA
ANKRD28,ANKRD28,Messenger RNA
RAP1B,RAP1B,Messenger RNA
TSPOAP1,TSPOAP1,Messenger RNA
CCPG1,CCPG1,Messenger RNA
SLC31A1,SLC31A1,Messenger RNA
PTCH1,PTCH1,Messenger RNA
TRMT10B,TRMT10B,Messenger RNA
ICE1,ICE1,Messenger RNA
COG5,COG5,Messenger RNA
LIPH,LIPH,Messenger RNA
CPEB1,CPEB1,Messenger RNA
KDR,KDR,Messenger RNA
BIN3,BIN3,Messenger RNA
UVRAG,UVRAG,Messenger RNA
CKAP2L,CKAP2L,Messenger RNA
FZD4,FZD4,Messenger RNA
TP53,TP53,Messenger RNA
IGF1R,IGF1R,Messenger RNA
ERBB3,ERBB3,Messenger RNA
SDC4,SDC4,Messenger RNA
RBM18,RBM18,Messenger RNA
