id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA,1.0,0,1,0.0665327466367401,0.2840364558864982,0.0529217199558985,0.0662393162393162
hsa-miR-452-5p,hsa-miR-452-5p,MicroRNA,1.0,0,1,0.0251599892429419,0.2730557311895944,0.0242557883131201,0.0745920745920745
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,0.0151552978837599,0.1602438377948582,0.0124954061006982,0.3761140819964349
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,0,1,0.012283165879815,0.1601759126794892,0.0102903344358691,0.5396825396825397
hsa-miR-224-5p,hsa-miR-224-5p,MicroRNA,1.0,0,1,0.033811249988564,0.2711940432403337,0.0275633958103638,0.0432432432432432
hsa-miR-486-5p,hsa-miR-486-5p,MicroRNA,1.0,0,1,0.016011065772464,0.2637640694529273,0.0165380374862183,0.0898989898989899
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA,1.0,0,1,0.0262480792680666,0.2815497811306696,0.0275633958103638,0.3866666666666666
hsa-miR-181c-5p,hsa-miR-181c-5p,MicroRNA,1.0,0,1,0.0077638482125594,0.1585960862494098,0.0077177508269018,0.1809523809523809
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,0.0544961500831513,0.1767112877769334,0.0147004777655273,0.3
hsa-miR-139-5p,hsa-miR-139-5p,MicroRNA,1.0,0,1,0.0495676022355791,0.2861334595362044,0.0396912899669239,0.0832467982000692
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA,1.0,0,1,0.009218089262268,0.1365710413372487,0.0095553105475927,0.1261538461538461
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,0.0446445340624904,0.1767319497223034,0.0117603822124219,0.3185483870967742
hsa-miR-145-5p,hsa-miR-145-5p,MicroRNA,1.0,0,1,0.0455986218183065,0.2724159682797152,0.0352811466372657,0.0326754385964912
hsa-miR-185-5p,hsa-miR-185-5p,MicroRNA,1.0,0,1,0.0632946446499461,0.2851617771908311,0.0474090407938258,0.065406976744186
hsa-miR-365a-3p,hsa-miR-365a-3p,MicroRNA,1.0,0,1,0.0092702499739212,0.2560779330792037,0.0154355016538037,1.0
hsa-miR-365b-3p,hsa-miR-365b-3p,MicroRNA,1.0,0,1,0.0092702499739212,0.2560779330792037,0.0154355016538037,1.0
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA,1.0,0,1,0.1824939302466025,0.3034835859853428,0.1444321940463065,0.2816378459780859
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,0.0089741063549795,0.1597357992073976,0.0088202866593164,0.3152173913043478
